Scan:    433    2E0111.0+3851 2015-10-24 +01 59 00.0
         OPTICAL                 Tb    
        km/s-LSR                 I
    -522.5186726680155971      0.0057204
    -521.9169304559162583     -0.0059510
    -521.3151858239624517     -0.0059474
    -520.7134387721209805      0.0011676
    -520.1116893003918449      0.0064684
    -519.5099374087749311     -0.0042836
    -518.9081830972704665     -0.0031776
    -518.3064263658449136     -0.0116002
    -517.7046672144983859     -0.0007881
    -517.1029056431642630      0.0004480
    -516.5011416518759688     -0.0046131
    -515.8993752406000795     -0.0020078
    -515.2976064093365949      0.0070852
    -514.6958351580524322      0.0063058
    -514.0940614867472505      0.0118972
    -513.4922853953214599      0.0011102
    -512.8905068839414980      0.0017308
    -512.2887259524407000     -0.0047844
    -511.6869426008858568     -0.0018853
    -511.0851568292103480      0.0107539
    -510.4833686374474269     -0.0051413
    -509.8815780255305299     -0.0014921
    -509.2797849934930241     -0.0004987
    -508.6779895412681753     -0.0028454
    -508.0761916688893507     -0.0048940
    -507.4743913762900434     -0.0052614
    -506.8725886635034499     -0.0129412
    -506.2707835305296840     -0.0097402
    -505.6689759773020683      0.0070324
    -505.0671660038539130      0.0111009
    -504.4653536101185978      0.0096218
    -503.8635387961295464     -0.0081539
    -503.2617215618200817      0.0067857
    -502.6599019072567671      0.0052847
    -502.0580798323398426      0.0058067
    -501.4562553371024478     -0.0051830
    -500.8544284214448794     -0.0062231
    -500.2525990855002078      0.0037323
    -499.6507673291686160      0.0056566
    -499.0489331524499903     -0.0064329
    -498.4470965553112478     -0.0013690
    -497.8452575377521612      0.0072029
    -497.2434160997729009      0.0087872
    -496.6415722413400431     -0.0048257
    -496.0397259624204480      0.0001681
    -495.4378772630473691     -0.0115866
    -494.8360261431208755      0.0003056
    -494.2341726027408981      0.0121744
    -493.6323166418408164     -0.0037517
    -493.0304582603873200     -0.0043173
    -492.4285974583804659     -0.0129752
    -491.8267342358202541     -0.0041351
    -491.2248685926733742     -0.0066007
    -490.6230005289398832     -0.0071484
    -490.0211300445864140      0.0014154
    -489.4192571396130234      0.0003291
    -488.8173818139864579      0.0002510
    -488.2155040676733506     -0.0050994
    -487.6136239007402651      0.0001633
    -487.0117413131207513      0.0004227
    -486.4098563047813855     -0.0086377
    -485.8079688757555346      0.0079079
    -485.2060790259766350      0.0038439
    -484.6041867554779401     -0.0056924
    -484.0022920642261397     -0.0158592
    -483.4003949521880372     -0.0067448
    -482.7984954193635758     -0.0098038
    -482.1965934656861350      0.0086765
    -481.5946890912556455      0.0105358
    -480.9927822959722334      0.0023082
    -480.3908730798692091     -0.0028909
    -479.7889614429132052     -0.0070703
    -479.1870473850710823      0.0046793
    -478.5851309063426697     -0.0023677
    -477.9832120066948278      0.0113789
    -477.3812906861607530      0.0024366
    -476.7793669446738818     -0.0001971
    -476.1774407822342710      0.0030335
    -475.5755121987753000      0.0039819
    -474.9735811944300963      0.0019127
    -474.3716477690656461      0.0057306
    -473.7697119227150893      0.0032474
    -473.1677736553118621     -0.0120501
    -472.5658329668893316     -0.0197653
    -471.9638898574474979     -0.0097280
    -471.3619443269196836      0.0016677
    -470.7599963753060024     -0.0070391
    -470.1580460026063975     -0.0093161
    -469.5560932087543051     -0.0039325
    -468.9541379938163459      0.0006108
    -468.3521803577591527      0.0025350
    -467.7502203005162187     -0.0001854
    -467.1482578221541075      0.0041715
    -466.5462929225729454      0.0028199
    -465.9443256018059856      0.0135009
    -465.3423558598533418      0.0068100
    -464.7403836966483368     -0.0069108
    -464.1384091122242808     -0.0093519
    -463.5364321065478634     -0.0008686
    -462.9344526795525780      0.0000326
    -462.3324708313050451      0.0071098
    -461.7304865617718406      0.0130841
    -461.1284998709196543      0.0120512
    -460.5265107587487137      0.0060693
    -459.9245192252587913     -0.0077355
    -459.3225252703834371     -0.0096246
    -458.7205288941559047     -0.0013345
    -458.1185300965096872     -0.0079194
    -457.5165288775112344      0.0020964
    -456.9145252369941659      0.0098268
    -456.3125191751582292      0.0036626
    -455.7105106918369302     -0.0050384
    -455.1084997870636926      0.0029874
    -454.5064864608384028      0.0054246
    -453.9044707130944403     -0.0057832
    -453.3024525438652290     -0.0151924
    -452.7004319531174019     -0.0003478
    -452.0984089408510727     -0.0066376
    -451.4963835070327605      0.0030542
    -450.8943556516625790      0.0071141
    -450.2923253746407113      0.0135937
    -449.6902926761002277      0.0172564
    -449.0882575559412544      0.0111068
    -448.4862200141971584     -0.0060552
    -447.8841800508013193      0.0018459
    -447.2821376657204837      0.0053688
    -446.6800928590212152     -0.0060123
    -446.0780456306368933     -0.0020465
    -445.4759959805675749      0.0034296
    -444.8739439087799497     -0.0068785
    -444.2718894152075109      0.0017796
    -443.6698324999832721      0.0020171
    -443.0677731629741629     -0.0025821
    -442.4657114042134936     -0.0014954
    -441.8636472236680106     -0.0005877
    -441.2615806213376572     -0.0130816
    -440.6595115972223766      0.0032785
    -440.0574401512557188     -0.0037746
    -439.4553662834375700     -0.0096948
    -438.8532899938013543      0.0010453
    -438.2512112822803374     -0.0032081
    -437.6491301488080694      0.0068949
    -437.0470465935176207      0.0082362
    -436.4449606163092312     -0.0016212
    -435.8428722171828440      0.0103151
    -435.2407813961051488      0.0128710
    -434.6386881530761457      0.0087365
    -434.0365924880626380     -0.0031186
    -433.4344944010978224     -0.0084122
    -432.8323938921150784     -0.0091502
    -432.2302909611145765      0.0043638
    -431.6281856080296393     -0.0086827
