Scan:    641 2MASSJ00294+2424 2015-10-28 +04 03 08.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -522.5358624004963985      0.0080358
    -521.9341004298250937      0.0028289
    -521.3323360390663765      0.0029139
    -520.7305692283534881     -0.0018353
    -520.1287999975863841      0.0042768
    -519.5270283466986712     -0.0152524
    -518.9252542758233631      0.0034711
    -518.3234777847940222      0.0133018
    -517.7216988737440033      0.0039329
    -517.1199175425731482      0.0100860
    -516.5181337912151776      0.0121887
    -515.9163476197697946      0.0054579
    -515.3145590281370687     -0.0017165
    -514.7127680163171135     -0.0110247
    -514.1109745843432393     -0.0028170
    -513.5091787321488255      0.0044311
    -512.9073804597671824     -0.0070553
    -512.3055797671648861     -0.0097643
    -511.7037766542422901     -0.0068199
    -511.1019711211324648     -0.0099809
    -510.5001631677687897      0.0064295
    -509.8983527940182512     -0.0037733
    -509.2965400000470595     -0.0023186
    -508.6947247857222578      0.0035525
    -508.0929071510770427     -0.0047468
    -507.4910870961114142     -0.0076493
    -506.8892646207256689     -0.0287409
    -506.2874397250194534     -0.0094089
    -505.6856124089263176     -0.0137964
    -505.0837826723796411     -0.0169935
    -504.4819505154460444      0.0041647
    -503.8801159380587933      0.0050208
    -503.2782789402514254      0.0105318
    -502.6764395219905737     -0.0082358
    -502.0745976831763073     -0.0075350
    -501.4727534239418105      0.0086810
    -500.8709067441872094      0.0108597
    -500.2690576438792505     -0.0017744
    -499.6672061230845543     -0.0055581
    -499.0653521817363867      0.0003963
    -498.4634958197350443      0.0019917
    -497.8616370372469078      0.0060007
    -497.2597758341054828     -0.0037662
    -496.6579122104107569     -0.0041598
    -496.0560461660627425      0.0013425
    -495.4541777010616102      0.0080464
    -494.8523068154404996      0.0022415
    -494.2504335091661005      0.0047647
    -493.6485577821387665      0.0210498
    -493.0466796344580871      0.0085298
    -492.4447990660576693     -0.0051399
    -491.8429160769374562      0.0014930
    -491.2410306670975046      0.0095577
    -490.6391428364378271      0.0087342
    -490.0372525850916645      0.0101682
    -489.4353599129259464      0.0016007
    -488.8334648199071921     -0.0090331
    -488.2315673061354460     -0.0119593
    -487.6296673715107204     -0.0022672
    -487.0277650160663825      0.0070861
    -486.4258602397691789      0.0004611
    -485.8239530425523753     -0.0124713
    -485.2220434245159595      0.0093813
    -484.6201313855601143      0.0168188
    -484.0182169256181623     -0.0119557
    -483.4163000448233447      0.0065565
    -482.8143807430756738      0.0200958
    -482.2124590203087564      0.0039421
    -481.6105348766222392     -0.0081481
    -481.0086083119164755     -0.0021189
    -480.4066793262246051      0.0071648
    -479.8047479195466849      0.0013398
    -479.2028140917828409      0.0048453
    -478.6008778429996937     -0.0104869
    -477.9989391731638761     -0.0019564
    -477.3969980822089383      0.0018121
    -476.7950545702013301     -0.0026895
    -476.1931086370412345      0.0066116
    -475.5911602828284686      0.0024501
    -474.9892095074633289     -0.0007851
    -474.3872563108791383     -0.0088824
    -473.7853006932089670     -0.0055139
    -473.1833426543530550     -0.0013244
    -472.5813821942448953      0.0030021
    -471.9794193129841346      0.0032925
    -471.3774540104711832     -0.0020640
    -470.7754862867391239      0.0059278
    -470.1735161417880136      0.0127693
    -469.5715435754847249      0.0045782
    -468.9695685879623852     -0.0074053
    -468.3675911791544877     -0.0004696
    -467.7656113489942982      0.0013848
    -467.1636290975486077      0.0074218
    -466.5616444246841183     -0.0110862
    -465.9596573305673815     -0.0058918
    -465.3576678150318457      0.0156257
    -464.7556758781108215     -0.0007411
    -464.1536815198043655      0.0141863
    -463.5516847401124778     -0.0003999
    -462.9496855389351708     -0.0103402
    -462.3476839163391787      0.0078610
    -461.7456798723245015      0.0106820
    -461.1436734067578982     -0.0025599
    -460.5416645197724961      0.0042705
    -459.9396532112352816      0.0062277
    -459.3376394812460717     -0.0048499
    -458.7356233297049357      0.0073595
    -458.1336047565786203     -0.0047781
    -457.5315837619337458     -0.0014388
    -456.9295603457369452     -0.0018806
    -456.3275345078884584      0.0113867
    -455.7255062484881023     -0.0074312
    -455.1234755674359462     -0.0025655
    -454.5214424647654141      0.0028577
    -453.9194069404764491      0.0042324
    -453.3173689944691205      0.0114756
    -452.7153286268433590      0.0083051
    -452.1132858375326009      0.0007344
    -451.5112406264370293      0.0078605
    -450.9091929936896008      0.0134830
    -450.3071429391906690      0.0155215
    -449.7050904629401771      0.0107645
    -449.1030355649713215     -0.0070094
    -448.5009782451510887     -0.0031594
    -447.8989185035792957      0.0107892
    -447.2968563402225755      0.0010525
    -446.6947917549811677      0.0038284
    -446.0927247479549465     -0.0123040
    -445.4906553190106138     -0.0134452
    -444.8885834682814675     -0.0095780
    -444.2865091956343235     -0.0112505
    -443.6844325010692387      0.0111877
    -443.0823533846526630      0.0041464
    -442.4802718463180895      0.0088512
    -441.8781878859657013     -0.0016671
    -441.2761015037285119     -0.0133144
    -440.6740126995068181      0.0123960
