Scan:     23             3C48 2015-10-21 +02 33 46.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -548.6922183732572194      0.0270480
    -548.0905813291675486     -0.0092813
    -547.4889418658227669      0.0266309
    -546.8872999833556605     -0.0094443
    -546.2856556815333988     -0.0173744
    -545.6840089604892228      0.0041406
    -545.0823598201894811      0.0123622
    -544.4807082605681217      0.0109172
    -543.8790542816581137     -0.0203226
    -543.2773978834594573     -0.0239231
    -542.6757390658723352      0.0244496
    -542.0740778289633681     -0.0017010
    -541.4724141726993594     -0.0108101
    -540.8707480970467714      0.0132572
    -540.2690796019725212     -0.0180462
    -539.6674086875431158     -0.0125365
    -539.0657353536586243     -0.0277637
    -538.4640596003192741      0.0075521
    -537.8623814275913446      0.0146839
    -537.2607008353418223      0.0032068
    -536.6590178236373276      0.0215012
    -536.0573323924445504     -0.0016201
    -535.4556445417302939     -0.0188457
    -534.8539542714610207     -0.0029277
    -534.2522615817368887      0.0098269
    -533.6505664723912332      0.0059358
    -533.0488689435239849      0.0212690
    -532.4471689950353266     -0.0253207
    -531.8454666269585687      0.0259977
    -531.2437618392935974     -0.0030987
    -530.6420546319740197     -0.0113146
    -530.0403450049994944     -0.0240467
    -529.4386329584037867      0.0123657
    -528.8369184921200485     -0.0103953
    -528.2352016061482800      0.0222638
    -527.6334823005217913      0.0288852
    -527.0317605751407655      0.0155285
    -526.4300364300050887      0.0131770
    -525.8283098651816090     -0.0185482
    -525.2265808805700544      0.0117665
    -524.6248494761707661     -0.0047471
    -524.0231156520501372      0.0000842
    -523.4213794080751541     -0.0082422
    -522.8196407442791269     -0.0472506
    -522.2178996606951387     -0.0121313
    -521.6161561572567962      0.0021742
    -521.0144102338973653     -0.0152533
    -520.4126618907502007     -0.0078887
    -519.8109111276820613     -0.0578478
    -519.2091579446595233      0.0091012
    -518.6074023418159413      0.0149141
    -518.0056443189515676     -0.0439337
    -517.4038838761662191     -0.0213579
    -516.8021210134597823      0.0080636
    -516.2003557307326673     -0.0306969
    -515.5985880280178435      0.0166357
    -514.9968179053155382      0.0074227
    -514.3950453625924411      0.0014538
    -513.7932703998151283     -0.0152562
    -513.1914930170171374      0.0173324
    -512.5897132141316206     -0.0273123
    -511.9879309911587484      0.0147725
    -511.3861463481317742     -0.0363871
    -510.7843592849508241      0.0151432
    -510.1825698016492083      0.0214872
    -509.5807778982934337     -0.0105128
    -508.9789835746838662      0.0363615
    -508.3771868309536330     -0.0096339
    -507.7753876670694240      0.0257446
    -507.1735860829313651      0.0385847
    -506.5717820786061338      0.0286179
    -505.9699756540936164     -0.0199235
    -505.3681668092939390      0.0028810
    -504.7663555442072152      0.0216649
    -504.1645418589665155      0.0253529
    -503.5627257533388956     -0.0002326
    -502.9609072274573691     -0.0114027
    -502.3590862812887963      0.0064228
    -501.7572629147333032     -0.0116664
    -501.1554371278573967     -0.0085057
    -500.5536089206611337     -0.0085389
    -499.9517782930445833     -0.0155319
    -499.3499452451076763      0.0370619
    -498.7481097767172855      0.0287653
    -498.1462718879066074     -0.0346193
    -497.5444315787090090     -0.0167744
    -496.9425888490246166     -0.0500645
    -496.3407436988866266     -0.0013753
    -495.7388961283284630      0.0059689
    -495.1370461372169416     -0.0052317
    -494.5351937256185693     -0.0016088
    -493.9333388935667699      0.0247366
    -493.3314816408949355     -0.0154844
    -492.7296219677030535     -0.0388406
    -492.1277598740243775     -0.0163167
    -491.5258953596924698      0.0029511
    -490.9240284247739510     -0.0188310
    -490.3221590693019607     -0.0083462
    -489.7202872931435422     -0.0062412
    -489.1184130963651455      0.0102683
    -488.5165364790001945      0.0074767
    -487.9146574409153345     -0.0009937
    -487.3127759821440463     -0.0061278
    -486.7108921027528368     -0.0081195
    -486.1090058025752114     -0.0074841
    -485.5071170817110442      0.0335620
    -484.9052259401271385      0.0213541
    -484.3033323777568739      0.0078064
    -483.7014363946336175      0.0088664
    -483.0995379907571987     -0.0072321
    -482.4976371660611676      0.0064661
    -481.8957339205454673     -0.0163621
    -481.2938282542434081     -0.0401446
    -480.6919201670884831      0.0079533
    -480.0900096590473822      0.0133862
    -479.4880967302198087     -0.0139248
    -478.8861813804395524      0.0185294
    -478.2842636097396962      0.0189106
    -477.6823434182203414      0.0368884
    -477.0804208057148230     -0.0167846
    -476.4784957722565650      0.0020483
    -475.8765683179121879      0.0098471
    -475.2746384425483370      0.0079360
    -474.6727061461651829      0.0052180
    -474.0707714288625994     -0.0017897
    -473.4688342905072886      0.0227503
    -472.8668947310994781     -0.0072649
    -472.2649527507055041      0.0346359
    -471.6630083492256631     -0.0071397
    -471.0610615266599552     -0.0015570
    -470.4591122830415770     -0.0531065
    -469.8571606183039648      0.0050352
    -469.2552065324472323     -0.0217344
    -468.6532500254712659      0.0029963
    -468.0512910973428689     -0.0145761
    -467.4493297480286742      0.0083295
    -466.8473659775953024     -0.0281964
    -466.2453997859428796      0.0136794
    -465.6434311731379694      0.0237790
    -465.0414601390474445      0.0050024
    -464.4394866837379254     -0.0118628
    -463.8375108072093553     -0.0266535
    -463.2355325093951706     -0.0209436
    -462.6335517902953711      0.0271058
    -462.0315686499432104      0.0090040
    -461.4295830882388714     -0.0111963
    -460.8275951052156643     -0.0027277
    -460.2256047009401527      0.0123606
    -459.6236118752458992      0.0077870
    -459.0216166281661003      0.0448036
    -458.4196189597674902     -0.0069146
    -457.8176188699501381      0.0133078
    -457.2156163586807338      0.0146703
    -456.6136114260924614     -0.0217604
    -456.0116040719855164      0.0381257
    -455.4095942964266328      0.0357202
    -454.8075820994489504      0.0158486
    -454.2055674809526522      0.0037453
    -453.6035504409711052     -0.0009584
    -453.0015309795042526      0.0069595
    -452.3995090964854739     -0.0105557
    -451.7974847919148260     -0.0082285
    -451.1954580658588725      0.0120336
    -450.5934289181511758      0.0243806
    -449.9913973488916099      0.0162714
    -449.3893633580801747      0.0420702
    -448.7873269455836862      0.0006714
    -448.1852881114687648      0.0157359
    -447.5832468557687207     -0.0046359
    -446.9812031783836233     -0.0225867
    -446.3791570793135293     -0.0053427
    -445.7771085585916921     -0.0208763
    -445.1750576161182948      0.0124474
    -444.5730042519599010     -0.0112672
    -443.9709484661164538     -0.0284426
    -443.3688902584548828     -0.0211611
    -442.7668296290416947      0.0015824
    -442.1647665779101999      0.0007450
    -441.5627011049606381      0.0042463
    -440.9606332101928956      0.0182635
    -440.3585628936735361      0.0223780
    -439.7564901552362358      0.0275734
    -439.1544149949807547      0.0051464
    -438.5523374129070362     -0.0088260
    -437.9502574089154336      0.0059518
    -437.3481749830390868      0.0056814
    -436.7460901352779956     -0.0379746
    -436.1440028655989636      0.0039633
    -435.5419131739353134      0.0282789
    -434.9398210603869757      0.0120722
    -434.3377265248540766      0.0196639
    -433.7356295673698696      0.0032306
    -433.1335301878345376      0.0158384
    -432.5314283863145874     -0.0121182
    -431.9293241628101896      0.0060445
    -431.3272175172212997     -0.0118513
    -430.7251084496145381     -0.0192724
    -430.1229969599566516     -0.0192071
    -429.5208830481810764     -0.0126413
    -428.9187667142878126     -0.0029680
    -428.3166479583767341     -0.0180704
    -427.7145267802480362     -0.0144997
    -427.1124031800016496      0.0048349
    -426.5102771576708847     -0.0024459
    -425.9081487130892469      0.0071849
    -425.3060178463566103     -0.0041859
    -424.7038845574397783     -0.0379737
    -424.1017488463053269     -0.0058033
    -423.4996107129200027     -0.0009308
    -422.8974701573505399     -0.0012842
    -422.2953271794635839     -0.0057244
    -421.6931817793258119     -0.0259004
    -421.0910339569372240     -0.0167383
    -420.4888837122311998     -0.0127681
    -419.8867310451744856     -0.0281851
    -419.2845759558669556      0.0037308
    -418.6824184441421721     -0.0260411
    -418.0802585100666420     -0.0304146
    -417.4780961536737891      0.0113135
    -416.8759313748636828      0.0344144
    -416.2737641736362662      0.0168488
    -415.6715945500249063     -0.0200627
    -415.0694225039629828      0.0182700
    -414.4672480354506092     -0.0100831
    -413.8650711445208685     -0.0119256
    -413.2628918310408039      0.0140971
    -412.6607100951101756      0.0128845
    -412.0585259366957303     -0.0108423
    -411.4563393557309041     -0.0052860
    -410.8541503522490075     -0.0104644
    -410.2519589262499267      0.0067760
    -409.6497650776339583     -0.0006107
    -409.0475688064675523      0.0116382
    -408.4453701127508225      0.0393866
    -407.8431689963504709      0.0118161
    -407.2409654573665421      0.0113212
    -406.6387594957656120      0.0319094
    -406.0365511114811738      0.0238486
    -405.4343403045464811     -0.0061843
    -404.8321270749615337     -0.0113080
    -404.2299114226265146      0.0008656
    -403.6276933476080444      0.0018934
    -403.0254728499059524     -0.0288761
    -402.4232499293872252     -0.0175430
    -401.8210245861516796     -0.0279821
    -401.2187968201993726      0.0090181
