Scan:    451             3C59 2015-10-24 +05 07 13.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -522.5216986018996295     -0.0128350
    -521.9199528709863216     -0.0137652
    -521.3182047202186595     -0.0020447
    -520.7164541495300227      0.0162076
    -520.1147011589536078      0.0178303
    -519.5129457484562181     -0.0006680
    -518.9111879180045435      0.0092332
    -518.3094276675986976      0.0037654
    -517.7076649972384530      0.0019649
    -517.1058999068908406      0.0006433
    -516.5041323965223228      0.0057296
    -515.9023624661660961     -0.0004126
    -515.3005901157893049     -0.0053761
    -514.6988153453581845      0.0207646
    -514.0970381548397654      0.0143893
    -513.4952585443005546      0.0001219
    -512.8934765136738179     -0.0085937
    -512.2916920629265860     -0.0129540
    -511.6899051920917714     -0.0064496
    -511.0881159011030945     -0.0051486
    -510.4863241899936952     -0.0038451
    -509.8845300587302631     -0.0057187
    -509.2827335072797155     -0.0026784
    -508.6809345356418248     -0.0087389
    -508.0791331438167049     -0.0068606
    -507.4773293317710454     -0.0060196
    -506.8755230994716499      0.0304979
    -506.2737144469516579      0.0093401
    -505.6719033741778162     -0.0014286
    -505.0700898811169282     -0.0115086
    -504.4682739677688801     -0.0116861
    -503.8664556341337857     -0.0018525
    -503.2646348801117142     -0.0155201
    -502.6628117058025396     -0.0054657
    -502.0609861111730652     -0.0026002
    -501.4591580961565569      0.0102397
    -500.8573276607863249      0.0026030
    -500.2554948049959762      0.0049102
    -499.6536595288185936     -0.0015627
    -499.0518218322209805     -0.0051886
    -498.4499817151698835     -0.0096597
    -497.8481391776985561     -0.0069359
    -497.2462942197404345      0.0038817
    -496.6444468413287723      0.0103794
    -496.0425970423970057     -0.0007972
    -495.4407448229784450      0.0116148
    -494.8388901830065265      0.0032202
    -494.2370331225478708     -0.0049948
    -493.6351736415024334     -0.0206046
    -493.0333117399036951      0.0000358
    -492.4314474177182888      0.0030494
    -491.8295806748796508     -0.0147396
    -491.2277115114876551     -0.0334661
    -490.6258399274757949      0.0005653
    -490.0239659228105893     -0.0029313
    -489.4220894974922658     -0.0038577
    -488.8202106515206538     -0.0029904
    -488.2183293848625567     -0.0104974
    -487.6164456975179746      0.0016310
    -487.0145595894535404      0.0085505
    -486.4126710606361144      0.0150459
