Scan:     26            3C66A 2015-10-21 +03 07 22.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -522.5090776919124664     -0.0055711
    -521.9073466624868161      0.0169830
    -521.3056132132732046     -0.0166562
    -520.7038773442718593     -0.0060956
    -520.1021390555491735     -0.0042222
    -519.5003983469720197     -0.0077305
    -518.8986552185406254     -0.0140868
    -518.2969096703211562     -0.0080408
    -517.6951617022807568      0.0014875
    -517.0934113143192690      0.0115994
    -516.4916585065034269      0.0332933
    -515.8899032787664964     -0.0003548
    -515.2881456311753254      0.0027837
    -514.6863855636297558     -0.0250747
    -514.0846230761632114     -0.0159025
    -513.4828581687091855      0.0070879
    -512.8810908413341849     -0.0048738
    -512.2793210939715891      0.0003897
    -511.6775489265881447      0.0199654
    -511.0757743391838517     -0.0112361
    -510.4739973318253874     -0.0216729
    -509.8722179043794540      0.0014250
    -509.2704360568461652      0.0036403
    -508.6686517892919710     -0.0231138
    -508.0668651016504782     -0.0068958
    -507.4650759939215732      0.0109059
    -506.8632844660386354      0.0064890
    -506.2614905180350320     -0.0021019
    -505.6596941499440732     -0.0002626
    -505.0578953616658282     -0.0130611
    -504.4560941532003540      0.0039740
    -503.8542905245475936     -0.0050236
    -503.2524844757408573      0.0068916
    -502.6506760066803281     -0.0188420
    -502.0488651173993162     -0.0148212
    -501.4470518078644545      0.0007787
    -500.8452360781423067      0.0064624
    -500.2434179280665489      0.0001531
    -499.6415973577036880      0.0087592
    -499.0397743670537238      0.0311724
    -498.4379489561498531     -0.0049408
    -497.8361211248591189     -0.0002384
    -497.2342908732147180     -0.0123109
    -496.6324582011832831     -0.0022983
    -496.0306231088648019      0.0076994
    -495.4287855960928937      0.0066030
    -494.8269456629339516     -0.0039203
    -494.2251033093214687     -0.0205945
    -493.6232585353553191      0.0066134
    -493.0214113408690650     -0.0200730
    -492.4195617259626374     -0.0028921
    -491.8177096905361054     -0.0008146
    -491.2158552346892861     -0.0019091
    -490.6139983582891659     -0.0018334
    -490.0121390613356311     -0.0258999
    -489.4102773438620488      0.0000998
    -488.8084132059016156     -0.0063560
    -488.2065466473213178     -0.0211217
    -487.6046776681876054     -0.0139261
    -487.0028062684339716      0.0023429
    -486.4009324480936698     -0.0082115
    -485.7990562071333898      0.0014847
    -485.1971775455199349      0.0009048
    -484.5952964632199951      0.0091661
    -483.9934129603333872     -0.0001770
    -483.3915270367269841      0.0040896
    -482.7896386924007857      0.0055195
    -482.1877479273881022      0.0089908
    -481.5858547416555666      0.0096672
    -480.9839591351700392      0.0033517
    -480.3820611079314062     -0.0064059
    -479.7801606599064712      0.0003810
    -479.1782577911616272     -0.0207100
    -478.5763525015639743      0.0218337
    -477.9744447911466523      0.0015615
    -477.3725346599096611      0.0159362
    -476.7706221078863678      0.0063967
    -476.1687071349435314     -0.0194741
    -475.5667897411477725     -0.0099404
    -474.9648699264325273      0.0047016
    -474.3629476908976699      0.0108078
    -473.7610230343767626     -0.0132141
    -473.1590959569363690     -0.0247336
    -472.5571664585764324      0.0046942
    -471.9552345392637562      0.0178273
    -471.3533001989650870      0.0038488
    -470.7513634376469440     -0.0115853
    -470.1494242553428080     -0.0000792
    -469.5474826520859324     -0.0133383
    -468.9455386277098228      0.0032788
    -468.3435921823143531     -0.0012142
    -467.7416433158663267      0.0032966
    -467.1396920283656300      0.0124144
    -466.5377383197457561      0.0335475
    -465.9357821900067052      0.0120016
    -465.3338236391484202      0.0030925
    -464.7318626672042114     -0.0184651
    -464.1298992740743188     -0.0155557
    -463.5279334597919387     -0.0222181
    -462.9259652242904508      0.0093204
    -462.3239945676697857      0.0019760
    -461.7220214897968731     -0.0044674
    -461.1200459907048526     -0.0092933
    -460.5180680703605276      0.0055797
    -459.9160877288304050     -0.0074932
    -459.3141049659814712     -0.0031465
    -458.7121197818468090     -0.0212294
    -458.1101321764265890     -0.0046083
    -457.5081421497541214     -0.0100200
    -456.9061497016960516      0.0090994
    -456.3041548322858603      0.0168387
    -455.7021575415235475     -0.0033522
    -455.1001578294755632     -0.0113987
    -454.4981556959755835     -0.0036119
    -453.8961511410568619      0.0104119
    -453.2941441647527085     -0.0034572
    -452.6921347670630098     -0.0035722
    -452.0901229478880623     -0.0059008
    -451.4881087072610626     -0.0067142
    -450.8860920451487573      0.0091311
    -450.2840729616176532     -0.0131374
    -449.6820514565347935     -0.0071986
    -449.0800275299332611      0.0087376
    -448.4780011817798595      0.0026526
    -447.8759724121744057     -0.0282155
    -447.2739412209505190     -0.0119609
    -446.6719076081415096     -0.0062888
    -446.0698715737472639     -0.0088892
    -445.4678331178011490      0.0047464
    -444.8657922402033478     -0.0035579
    -444.2637489409538034      0.0128734
    -443.6617032200858262      0.0026262
    -443.0596550775661058      0.0032587
    -442.4576045133613320     -0.0029934
    -441.8555515274383083      0.0032937
    -441.2534961198302881      0.0261622
    -440.6514382905705247      0.0080802
    -440.0493780394925807      0.0001724
    -439.4473153666963299     -0.0094656
    -438.8452502721152086     -0.0117110
    -438.2431827558158375      0.0089206
    -437.6411128176650323      0.0094985
    -437.0390404577293566      0.0030253
    -436.4369656759422469      0.0118384
    -435.8348884724035770      0.0002691
    -435.2328088469468526     -0.0086038
    -434.6307267996386940      0.0035339
    -434.0286423304125947     -0.0031719
    -433.4265554393683146     -0.0007672
    -432.8244661263727266     -0.0091357
    -432.2223743914591978     -0.0020073
    -431.6202802345943610      0.0049818
    -431.0181836558448367     -0.0070812
    -430.4160846550441306      0.0157345
    -429.8139832322921734      0.0206599
    -429.2118793875223446      0.0213284
    -428.6097731208012078      0.0172956
    -428.0076644320289461      0.0082029
    -427.4055533212056162     -0.0044904
    -426.8034397882977942      0.0147843
    -426.2013238334054677      0.0187610
    -425.5992054563620854      0.0147080
    -424.9970846572010714      0.0120468
    -424.3949614359556222      0.0034550
    -423.7928357926257377      0.0210474
    -423.1907077271116009      0.0199463
    -422.5885772394131550      0.0041302
    -421.9864443295637670      0.0066943
    -421.3843089975966336      0.0173516
    -420.7821712433454309     -0.0012709
    -420.1800310669099190      0.0133842
    -419.5778884682235912      0.0126304
    -418.9757434473197009     -0.0119435
    -418.3735960041317412      0.0089723
    -417.7714461386929088     -0.0222580
    -417.1692938509366400      0.0035105
    -416.5671391409295552      0.0402254
    -415.9649820085717806     -0.0033534
    -415.3628224538633162     -0.0198350
    -414.7606604768042189      0.0215475
    -414.1584960774609954     -0.0073486
    -413.5563292556671513     -0.0132574
    -412.9541600114894209      0.0027080
    -412.3519883448943801     -0.0023187
    -411.7498142559487064     -0.0017872
    -411.1476377445191588     -0.0081249
    -410.5454588106391043     -0.0102643
    -409.9432774542752327      0.0011767
    -409.3410936754940508      0.0049158
    -408.7389074741626018      0.0092905
    -408.1367188503472221     -0.0155523
    -407.5345278039814616     -0.0006133
    -406.9323343351651943     -0.0059546
    -406.3301384436986723     -0.0035894
    -405.7279401297150798      0.0201479
    -405.1257393931144861      0.0029662
    -404.5235362339968219      0.0017952
    -403.9213306521955928      0.0212553
    -403.3191226477774194     -0.0135236
    -402.7169122207090481     -0.0033017
    -402.1146993710569859      0.0093386
    -401.5124840986881054      0.0160300
    -400.9102664036024635      0.0200451
    -400.3080462858664532      0.0073269
    -399.7058237454137384     -0.0039537
    -399.1035987822442053     -0.0056663
    -398.5013713962912902      0.0100551
    -397.8991415875883035     -0.0178955
    -397.2969093561684986     -0.0160365
    -396.6946747019320014     -0.0062555
    -396.0924376248788690     -0.0045135
    -395.4901981250091580     -0.0089618
    -394.8879562023559515      0.0061448
    -394.2857118568195460      0.0346802
    -393.6834650883999416      0.0168963
    -393.0812158971304484      0.0055270
    -392.4789642830108960     -0.0074350
    -391.8767102459749481      0.0159317
    -391.2744537859891238      0.0258010
    -390.6721949030867904      0.0160947
    -390.0699335972680046     -0.0021556
    -389.4676698684328358     -0.0176349
    -388.8654037166479043      0.0107172
    -388.2631351418465329     -0.0069789
    -387.6608641441287659     -0.0086648
    -387.0585907233279386     -0.0056976
    -386.4563148794775316     -0.0127277
    -385.8540366125774881      0.0016557
    -385.2517559226611183     -0.0085310
    -384.6494728096285485      0.0122082
    -384.0471872735129182     -0.0057200
    -383.4448993142812014      0.0087087
    -382.8426089319665380      0.0043544
    -382.2403161265023641      0.0053841
    -381.6380208978554265     -0.0009756
    -381.0357232460256682     -0.0232786
    -380.4334231711130201      0.0046030
    -379.8311206729176774      0.0087210
    -379.2288157515396847      0.0119668
    -378.6265084069122508      0.0080957
    -378.0241986391020532     -0.0010597
    -377.4218864480092179     -0.0021617
    -376.8195718336338018      0.0219799
    -376.2172547959756912      0.0055363
    -375.6149353350683100      0.0108720
    -375.0126134507784172     -0.0237411
    -374.4102891432058300     -0.0299466
    -373.8079624122508449      0.0072613
    -373.2056332580132221     -0.0171659
    -372.6033016803598343     -0.0081978
    -372.0009676793239350     -0.0134618
    -371.3986312548723276     -0.0395551
    -370.7962924070714621     -0.0103014
    -370.1939511357550145     -0.0188754
    -369.5916074410227452      0.0120002
    -368.9892613228415144     -0.0043586
    -368.3869127812445186     -0.0067028
    -367.7845618160985168     -0.0123316
    -367.1822084274369900      0.0166506
    -366.5798526152598242      0.0151203
    -365.9774943796003299     -0.0052921
    -365.3751337203586331      0.0013181
    -364.7727706375681578      0.0189661
    -364.1704051311621129      0.0021796
    -363.5680372012404291      0.0212568
    -362.9656668476700361      0.0132284
    -362.3632940704841872     -0.0115540
    -361.7609188696495721      0.0148547
    -361.1585412452327546      0.0082193
    -360.5561611971006641      0.0095825
    -359.9537787252532439     -0.0008719
    -359.3513938297570576      0.0009552
    -358.7490065105788517     -0.0238591
    -358.1466167676520627     -0.0206288
    -357.5442246009766336      0.0061990
    -356.9418300105526214      0.0091209
    -356.3394329964133362     -0.0229583
    -355.7370335584587906     -0.0021865
    -355.1346316966890981     -0.0135621
    -354.5322274111043157     -0.0028493
    -353.9298207017708933     -0.0144252
    -353.3274115685224501      0.0051797
    -352.7250000114255499     -0.0107334
    -352.1225860304801927     -0.0026363
    -351.5201696256864352      0.0022866
    -350.9177507969776002     -0.0071832
    -350.3153295443204911     -0.0081879
    -349.7129058677483044      0.0165622
    -349.1104797672944642      0.0082550
    -348.5080512428256725     -0.0044860
    -347.9056202943754101      0.0120097
    -347.3031869219435066      0.0062210
    -346.7007511255632721      0.0144163
    -346.0983129051349465      0.0131504
    -345.4958722606583592      0.0001043
    -344.8934291921669910      0.0147893
    -344.2909836996274748     -0.0020468
    -343.6885357830064436      0.0118211
    -343.0860854422708144      0.0194377
    -342.4836326774536133      0.0268617
    -341.8811774885550676      0.0196789
    -341.2787198754751898      0.0153126
    -340.6762598382473470      0.0034792
    -340.0737973768714824      0.0016707
    -339.4713324913808492      0.0076940
    -338.8688651816091806     -0.0071003
    -338.2663954476561798      0.0083281
    -337.6639232894885936      0.0005287
    -337.0614487071396752      0.0044060
    -336.4589717005096645     -0.0182544
    -335.8564922695985047     -0.0070345
    -335.2540104144062525     -0.0091689
    -334.6515261349661046     -0.0278330
    -334.0490394311782438     -0.0081481
    -333.4465503030759805      0.0043696
    -332.8440587506260044     -0.0116793
    -332.2415647738616258      0.0156301
    -331.6390683727162809      0.0328991
    -331.0365695471565459      0.0010722
    -330.4340682972159016     -0.0057093
    -329.8315646229276012     -0.0144341
    -329.2290585241584040     -0.0104197
    -328.6265500009749303     -0.0046301
    -328.0240390533105597      0.0149012
    -327.4215256812320263      0.0226873
    -326.8190098846060323      0.0171781
    -326.2164916634991982      0.0201576
    -325.6139710178782707      0.0088029
    -325.0114479477764462      0.0048094
    -324.4089224530939646     -0.0047346
    -323.8063945338640224     -0.0059602
    -323.2038641900534799     -0.0221858
    -322.6013314217287871      0.0025436
    -321.9987962287235632      0.0169736
    -321.3962586111043152     -0.0082250
    -320.7937185688710997      0.0048605
    -320.1911761020572271     -0.0072576
    -319.5886312104962599     -0.0189585
    -318.9860838942879582     -0.0263313
    -318.3835341533991823     -0.0256471
    -317.7809819878630719      0.0121527
    -317.1784273975466704     -0.0082089
    -316.5758703824830604      0.0048423
    -315.9733109427057229     -0.0010131
    -315.3707490781812339      0.0098617
    -314.7681847888763400     -0.0025328
    -314.1656180747577309     -0.0096296
    -313.5630489358254636      0.0068846
    -312.9604773721461584      0.0225616
    -312.3579033835532641     -0.0148487
    -311.7553269701466547     -0.0157611
    -311.1527481318598802     -0.0061037
    -310.5501668687594474      0.0164598
    -309.9475831807121153      0.0073940
    -309.3449970677513079      0.0128527
    -308.7424085298436580      0.0140169
    -308.1398175670890964      0.0142218
    -307.5372241793210719      0.0003144
    -306.9346283666063187      0.0089663
    -306.3320301288782161      0.0039864
    -305.7294294662365246      0.0044196
    -305.1268263785148633      0.0038856
    -304.5242208657798528     -0.0096955
    -303.9216129279981828     -0.0308146
    -303.3190025652031068     -0.0023392
    -302.7163897772948076      0.0164868
    -302.1137745643399057      0.0170207
    -301.5111569262384705     -0.0037120
    -300.9085368631235724      0.0126566
    -300.3059143747956909      0.0105458
    -299.7032894613545295     -0.0085489
    -299.1006621227335813     -0.0114480
    -298.4980323589994100     -0.0000881
    -297.8954001700188314     -0.0080104
    -297.2927655558585798     -0.0216683
    -296.6901285164851174      0.0150318
    -296.0874890519318683      0.0151339
    -295.4848471620657619     -0.0010696
    -294.8822028469532484      0.0031498
    -294.2795561065943843     -0.0125361
    -293.6769069409558597      0.0137288
    -293.0742553499711107      0.0145775
    -292.4716013337067579      0.0045433
    -291.8689448920628706      0.0110387
    -291.2662860251726329     -0.0066354
    -290.6636247328362401      0.0032774
    -290.0609610151204834      0.0001876
    -289.4582948720584454      0.0018370
    -288.8556263036169298     -0.0115953
    -288.2529553096960058     -0.0001640
    -287.6502818903290972     -0.0104295
    -287.0476060455494007     -0.0163635
    -286.4449277753236061      0.0175837
    -285.8422470795851495      0.0062327
    -285.2395639583673983     -0.0000816
    -284.6368784116369852     -0.0096496
    -284.0341904394272206     -0.0079975
    -283.4315000416382873      0.0063125
    -282.8288072183033819      0.0142357
    -282.2261119693893079     -0.0033401
    -281.6234142949293755      0.0056338
    -281.0207141948568506     -0.0027903
    -280.4180116691719036     -0.0107032
    -279.8153067178411675      0.0103611
    -279.2125993409312059      0.0152052
    -278.6098895383422587      0.0119263
    -278.0071773100409018     -0.0017844
    -277.4044626560938696     -0.0025259
    -276.8017455764677379     -0.0040915
    -276.1990260711292535      0.0008393
    -275.5963041400119096     -0.0105697
    -274.9935797831821560     -0.0028675
    -274.3908530006401065      0.0088080
    -273.7881237922858304     -0.0045376
    -273.1853921581194982     -0.0016623
    -272.5826580981741358      0.0211587
    -271.9799216124832242      0.0051514
    -271.3771827008802120      0.0043414
    -270.7744413634317766     -0.0146901
    -270.1716976001378612     -0.0139436
    -269.5689514110317759     -0.0081812
    -268.9662027959803368      0.0045012
    -268.3634517550168539     -0.0103380
    -267.7606982881413842      0.0081100
    -267.1579423953871242      0.0059312
    -266.5551840766542568      0.0255198
    -265.9524233319428390      0.0139745
    -265.3496601612527002      0.0092429
    -264.7468945646173779     -0.0004695
    -264.1441265419367710     -0.0034379
    -263.5413560932443602      0.0028850
    -262.9385832185067216     -0.0211829
    -262.3358079177572790     -0.0129806
    -261.7330301909292416     -0.0051265
    -261.1302500379895264      0.0078188
    -260.5274674589713868      0.0113833
    -259.9246824539080762      0.0095252
    -259.3218950226664106      0.0028026
    -258.7191051652798137      0.0215765
    -258.1163128817814254     -0.0009927
    -257.5135181720714286      0.0087447
    -256.9107210362163869     -0.0067284
    -256.3079214741164833      0.0018280
    -255.7051194859048735     -0.0104319
    -255.1023150713818382     -0.0034343
    -254.4995082306471659     -0.0001958
    -253.8966989636343499     -0.0070647
    -253.2938872704099538     -0.0323231
    -252.6910731508408219     -0.0078219
    -252.0882566049935463     -0.0057040
    -251.4854376328348167      0.0111893
    -250.8826162343979433     -0.0119123
    -250.2797924095497706     -0.0007308
    -249.6769661583568620      0.0123191
    -249.0741374808192461      0.0044301
    -248.4713063769036125      0.0066123
    -247.8684728465766796      0.0086691
    -247.2656368898051937     -0.0056975
    -246.6627985066224085      0.0010289
    -246.0599576970283238      0.0066418
    -245.4571144609230942      0.0136665
    -244.8542687983732833      0.0081136
    -244.2514207093123275      0.0096471
    -243.6485701938068473      0.0232373
    -243.0457172517236017     -0.0046113
    -242.4428618830959579     -0.0098676
    -241.8400040879571407      0.0034004
    -241.2371438662739251     -0.0258601
    -240.6342812179796908     -0.0308293
    -240.0314161431077764     -0.0239067
    -239.4285486416248716      0.0115480
