Scan:     14          4C25.01 2015-10-21 +00 53 25.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -549.0037089197342084     -0.0008229
    -548.4020614248784113      0.0017492
    -547.8004115107339658      0.0051624
    -547.1987591773009854      0.0086168
    -546.5971044244795394      0.0156091
    -545.9954472523363620      0.0123116
    -545.3937876608378019      0.0047705
    -544.7921256499174660      0.0013927
    -544.1904612196422022      0.0020624
    -543.5887943699451625     -0.0073106
    -542.9871251008595436      0.0000215
    -542.3854534122857558      0.0137704
    -541.7837793042901922     -0.0126091
    -541.1821027768396561      0.0102593
    -540.5804238299341478     -0.0102467
    -539.9787424635070465     -0.0215606
    -539.3770586775582387     -0.0144933
    -538.7753724721212620     -0.0053619
    -538.1736838470960720      0.0176610
    -537.5719928025494028      0.0166956
    -536.9702993384477168     -0.0323819
    -536.3686034547247345      0.0153865
    -535.7669051514468492      0.0116494
    -535.1652044285142438     -0.0127445
    -534.5635012860267352     -0.0121220
    -533.9617957238514236     -0.0006732
    -533.3600877420544748      0.0004765
    -532.7583773405362990     -0.0111180
    -532.1566645193635168     -0.0101191
    -531.5549492784692802      0.0034877
    -530.9532316178871270      0.0019927
    -530.3515115375837468     -0.0001136
    -529.7497890375257157      0.0007290
    -529.1480641177132611      0.0047671
    -528.5463367781794659     -0.0075752
    -527.9446070187912028      0.0029637
    -527.3428748396152059     -0.0067157
    -526.7411402406512480     -0.0079639
    -526.1394032218329357     -0.0119334
    -525.5376637831601556      0.0006116
    -524.9359219246330213     -0.0040594
    -524.3341776462514190     -0.0046613
    -523.7324309479821522     -0.0035304
    -523.1306818297919108      0.0040820
    -522.5289302917472014     -0.0011004
    -521.9271763337150105     -0.0020698
    -521.3254199557285347     -0.0083346
    -520.7236611577877738     -0.0155032
    -520.1218999398927281     -0.0105586
    -519.5201363019768905     -0.0062919
    -518.9183702440735715     -0.0113534
    -518.3166017661493470     -0.0197055
    -517.7148308681710205     -0.0115953
    -517.1130575501719022     -0.0184103
    -516.5112818121518785      0.0033163
    -515.9095036540111323     -0.0005204
    -515.3077230757497773     -0.0058013
    -514.7059400774010101     -0.0114645
    -514.1041546589316340     -0.0089219
    -513.5023668203415355      0.0019408
    -512.9005765615974042     -0.0006211
    -512.2987838826660436      0.0030572
    -511.6969887835807640      0.0048017
    -511.0951912642749448      0.0045521
    -510.4933913248150930     -0.0012775
    -509.8915889651015050      0.0008371
    -509.2897841851341241     -0.0138303
    -508.6879769849128365     -0.0048255
    -508.0861673644377561     -0.0027958
    -507.4843553236423190      0.0010900
    -506.8825408625930322     -0.0065902
    -506.2807239812233320     -0.0131319
    -505.6789046795333320     -0.0086974
    -505.0770829574896652     -0.0082931
    -504.4752588151255850     -0.0047717
    -503.8734322523744709      0.0007097
    -503.2716032692032400      0.0023568
    -502.6697718656782286     -0.0037304
    -502.0679380416997901     -0.0110495
    -501.4661017973343746      0.0059193
    -500.8642631324821650     -0.0088892
    -500.2624220472096681     -0.0027368
    -499.6605785414504339     -0.0085770
    -499.0587326152044056      0.0032427
    -498.4568842685047798      0.0096237
    -497.8550335012185997      0.0006745
    -497.2531803134455686     -0.0096627
    -496.6513247050858695     -0.0012110
    -496.0494666762061229     -0.0013303
    -495.4476062267396514     -0.0034241
    -494.8457433566533155     -0.0007947
    -494.2438780660135649      0.0002843
    -493.6420103547206395     -0.0123674
    -493.0401402228076790     -0.0115660
    -492.4382676702416006     -0.0144813
    -491.8363926970888542     -0.0039383
    -491.2345153031830023     -0.0032630
