Scan:    430            BLANK 2015-10-24 +01 27 58.0
         OPTICAL                 Tb    
        km/s-LSR                 I
    -522.5190573111703998     -0.0038318
    -521.9173146515390727     -0.0025035
    -521.3155695721532084     -0.0041168
    -520.7138220728130591     -0.0125355
    -520.1120721535852454     -0.0132326
    -519.5103198144697672     -0.0100791
    -518.9085650554332005     -0.0169220
    -518.3068078764757729     -0.0047219
    -517.7050482775639466     -0.0016757
    -517.1032862586979491     -0.0132337
    -516.5015218198776665     -0.0229299
    -515.8997549610699025     -0.0056374
    -515.2979856822744296      0.0020820
    -514.6962139834582786     -0.0008270
    -514.0944398645879119      0.0088705
    -513.4926633256634432      0.0060246
    -512.8908843667181827     -0.0064832
    -512.2891029876523135     -0.0100504
    -511.6873191885321717     -0.0036346
    -511.0855329692914211     -0.0045142
    -510.4837443299300617     -0.0179505
    -509.8819532704479229     -0.0020813
    -509.2801597908118083      0.0032642
    -508.6783638910550280      0.0065442
    -508.0765655710777651     -0.0074419
    -507.4747648309465262     -0.0028338
    -506.8729616705614376     -0.0042341
    -506.2711560899558094     -0.0072836
    -505.6693480891629520     -0.0087702
    -505.0675376680829913      0.0094541
    -504.4657248267492378     -0.0076984
    -503.8639095651283242      0.0003090
    -503.2620918832203643     -0.0048300
    -502.6602717809919909      0.0072337
    -502.0584492585097678      0.0071711
    -501.4566243156406813      0.0109797
    -500.8547969524178711     -0.0051990
    -500.2529671688081407      0.0047437
    -499.6511349648447435      0.0005453
    -499.0493003404610590      0.0055609
    -498.4474632956903974     -0.0023894
    -497.8456238304663088     -0.0041770
    -497.2437819448219329     -0.0032299
    -496.6419376387241300     -0.0141922
    -496.0400909121726727     -0.0051226
    -495.4382417651677883      0.0168096
    -494.8363901976427996     -0.0047275
    -494.2345362095643395     -0.0078218
    -493.6326798009992558     -0.0113755
    -493.0308209718473904     -0.0086651
    -492.4289597221754775     -0.0043302
    -491.8270960519168966     -0.0077620
    -491.2252299610717046      0.0092298
    -490.6233614496398445      0.0104409
    -490.0214905175880062     -0.0060617
    -489.4196171649828102     -0.0089625
    -488.8177413916578757     -0.0016353
    -488.2158631976463994     -0.0061133
    -487.6139825830150016     -0.0097523
    -487.0120995476637518     -0.0045461
    -486.4102140916260737     -0.0087744
    -485.8083262148686003      0.0156590
    -485.2064359173580215     -0.0066353
    -484.6045431991276473     -0.0067575
    -484.0026480601109711      0.0077487
    -483.4007505003411893      0.0024920
    -482.7988505198183020     -0.0041063
    -482.1969481184758592     -0.0120289
    -481.5950432962804371     -0.0068067
    -480.9931360532653457     -0.0076930
    -480.3912263893973886      0.0031732
    -479.7893143046765090      0.0022104
    -479.1873997990360863     -0.0004050
    -478.5854828725427978     -0.0006468
    -477.9835635251300232     -0.0062387
    -477.3816417568310158     -0.0024302
    -476.7797175675459584     -0.0007894
    -476.1777909574079786     -0.0073381
    -475.5758619262173852      0.0049608
    -474.9739304740406851      0.0110874
    -474.3719966009112454      0.0034219
    -473.7700603067291922      0.0024920
    -473.1681215915610892      0.0069210
    -472.5661804553403158      0.0086238
    -471.9642368980669289     -0.0058287
    -471.3622909197076751      0.0067700
    -470.7603425202957510      0.0095859
    -470.1583916997647066      0.0000406
    -469.5564384582143020      0.0053074
    -468.9544827954447896     -0.0116542
    -468.3525247115561001     -0.0147110
    -467.7505642064816698      0.0033427
    -467.1486012802880623      0.0047183
    -466.5466359328754038      0.0147807
    -465.9446681642770045      0.0060472
    -465.3426979744594973      0.0096214
    -464.7407253634229960     -0.0011745
    -464.1387503311341902      0.0002546
    -463.5367728776262766     -0.0029978
    -462.9347930027994948      0.0032456
    -462.3328107067204655     -0.0080522
    -461.7308259893224545     -0.0089456
    -461.1288388506055185     -0.0109490
    -460.5268492905364610     -0.0111067
    -459.9248573091485355      0.0078399
    -459.3228629064083748      0.0138115
    -458.7208660822827824      0.0001370
    -458.1188668367717582      0.0025008
    -457.5168651698419922      0.0170823
    -456.9148610815599909     -0.0034854
    -456.3128545717926841     -0.0120507
    -455.7108456405733818     -0.0032546
    -455.1088342879020274     -0.0088734
    -454.5068205137453674     -0.0035639
    -453.9048043181034018     -0.0122724
    -453.3027857009761306      0.0120364
    -452.7007646622969901      0.0022174
    -452.0987412020991769      0.0045745
    -451.4967153203496082      0.0003826
    -450.8946870170147463      0.0051796
    -450.2926562921946925     -0.0076671
    -449.6906231456895284      0.0001334
    -449.0885875775992986     -0.0025302
    -448.4865495878905790      0.0035740
    -447.8845091765300594     -0.0020084
    -447.2824663435178536     -0.0001017
    -446.6804210888539615     -0.0017752
    -446.0783734125050159     -0.0006302
    -445.4763233144378205      0.0072110
    -444.8742707946855148      0.0048222
    -444.2722158532150161     -0.0099819
    -443.6701584900261537      0.0026124
    -443.0680987050524777      0.0063123
    -442.4660364983271847      0.0024293
    -441.8639718697837111      0.0135790
    -441.2619048194886773      0.0003930
    -440.6598353473422662     -0.0069483
    -440.0577634533776177      0.0068028
    -439.4556891375616487     -0.0043838
    -438.8536123999274423     -0.0084928
    -438.2515332403752950      0.0172817
    -437.6494516590049670      0.0111165
    -437.0473676556833311      0.0071574
    -436.4452812304770077      0.0016327
    -435.8431923833193764     -0.0060093
    -435.2411011142104940     -0.0027814
    -434.6390074231503604     -0.0018487
    -434.0369113101056087     -0.0043136
    -433.4348127750762956     -0.0079254
