Scan:     24      FBS0150+396 2015-10-21 +02 44 51.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -522.5131753936412906      0.0077552
    -521.9114395976642982      0.0166426
    -521.3097013818328378     -0.0049706
    -520.7079607461802198      0.0068181
    -520.1062176907730645     -0.0088523
    -519.5044722154448209     -0.0178114
    -518.9027243203288435     -0.0075430
    -518.3009740052585812     -0.0022816
    -517.6992212703671612      0.0164918
    -517.0974661155214562      0.0006722
    -516.4957085408213970     -0.0012259
    -515.8939485461338563     -0.0019076
    -515.2921861315585375     -0.0002592
    -514.6904212969623131     -0.0151688
    -514.0886540423786073     -0.0146122
    -513.4868843678739267     -0.0215910
    -512.8851122733151442     -0.0063900
    -512.2833377587687664     -0.0066431
    -511.6815608241350901     -0.0106937
    -511.0797814695470720      0.0110917
    -510.4779996948051348     -0.0078804
    -509.8762155000422922      0.0007149
    -509.2744288851588408      0.0001551
    -508.6726398501879203     -0.0130832
    -508.0708483950630807      0.0079961
    -507.4690545198175755     -0.0049803
    -506.8672582244513478      0.0038538
    -506.2654595088646374     -0.0050092
    -505.6636583731572046     -0.0023309
    -505.0618548172292321      0.0013128
    -504.4600488411139736      0.0046193
    -503.8582404447449790      0.0117719
    -503.2564296281554448     -0.0096460
    -502.6546163912787506     -0.0092665
    -502.0528007342148271      0.0016704
    -501.4509826567972937      0.0057874
    -500.8491621590592899     -0.0187372
    -500.2473392411007467     -0.0236344
    -499.6455139027220298     -0.0196170
    -499.0436861440895200      0.0023312
    -498.4418559650367229     -0.0136714
    -497.8400233656635123      0.0123546
    -497.2381883458701850     -0.0036652
    -496.6363509057230772      0.0026403
    -496.0345110451225423     -0.0060029
    -495.4326687641349167     -0.0124050
    -494.8308240626273573      0.0008757
    -494.2289769406994537      0.0027700
    -493.6271273983513765     -0.0040836
    -493.0252754354498848     -0.0130217
    -492.4234210520949091     -0.0133041
    -491.8215642481865189     -0.0013412
    -491.2197050237913913     -0.0130051
    -490.6178433788095958     -0.0036255
    -490.0159793133076960     -0.0079465
    -489.4141128271858179     -0.0024483
    -488.8122439205106389     -0.0024069
