Scan:     21      HS0058+4213 2015-10-21 +02 12 01.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -522.5148566676751898     -0.0031195
    -521.9131189242052642      0.0049602
    -521.3113787610139980      0.0150610
    -520.7096361779018707     -0.0065890
    -520.1078911750017824      0.0036384
    -519.5061437522473398     -0.0086696
    -518.9043939095719224      0.0008625
    -518.3026416470420372      0.0129654
    -517.7008869645579807      0.0053991
    -517.0991298622193426     -0.0117589
    -516.4973703399266469     -0.0105136
    -515.8956083976795526     -0.0013095
    -515.2938440355114835      0.0020945
    -514.6920772533226227      0.0019050
    -514.0903080511461667     -0.0096282
    -513.4885364289490326     -0.0013358
    -512.8867623867974999      0.0034033
    -512.2849859245252446      0.0169403
    -511.6832070422655079     -0.0010545
    -511.0814257399516691     -0.0150319
    -510.4796420175171079     -0.0200581
    -509.8778558749951912     -0.0140177
    -509.2760673123525521     -0.0019024
    -508.6742763296558678     -0.0115381
    -508.0724829267385871     -0.0022877
    -507.4706871037338942      0.0134845
    -506.8688888605086618      0.0062578
    -506.2670881971295671      0.0097855
    -505.6652851135963829     -0.0013485
    -505.0634796097761523     -0.0063869
    -504.4616716858019458     -0.0047885
    -503.8598613415073260     -0.0163857
    -503.2580485770588439      0.0038172
    -502.6562333922565813     -0.0183145
    -502.0544157872338360      0.0035880
    -501.4525957618906773      0.0058233
    -500.8507733161939086     -0.0099125
    -500.2489484502432902      0.0028703
    -499.6471211638724412     -0.0098111
    -499.0452914572144891     -0.0085468
    -498.4434593301363066     -0.0132197
    -497.8416247827377106     -0.0079999
    -497.2397878149188841     -0.0118767
    -496.6379484266133204      0.0104557
    -496.0361066179540330      0.0057223
    -495.4342623888079515     -0.0064136
    -494.8324157392416396     -0.0108338
    -494.2305666691884767      0.0075439
    -493.6287151786485765     -0.0125738
    -493.0268612676218822     -0.0196788
    -492.4250049360417734     -0.0155942
    -491.8231461839748704     -0.0030495
    -491.2212850113212994     -0.0023676
    -490.6194214181476809     -0.0138058
    -490.0175554043208308      0.0116630
    -489.4156869700071297     -0.0097030
    -488.8138161150402539     -0.0066150
    -488.2119428394534566     -0.0160392
    -487.6100671432466811     -0.0108518
    -487.0081890263534206     -0.0110282
    -486.4063084888402386      0.0055666
    -485.8044255306072046      0.0207574
    -485.2025401517543628      0.0100362
    -484.6006523521483018      0.0005095
    -483.9987621318225592     -0.0104634
    -483.3968694907769645      0.0011566
    -482.7949744289450678      0.0078229
    -482.1930769463933757     -0.0138073
    -481.5911770429887042     -0.0072320
    -480.9892747188642943     -0.0028185
    -480.3873699739535255     -0.0087770
    -479.7854628081565806     -0.0069799
    -479.1835532215399098     -0.0038648
    -478.5816412140703733     -0.0013282
    -477.9797267857479142      0.0054166
    -477.3778099365059120      0.0026655
    -476.7758906664111009      0.0161175
    -476.1739689753634366      0.0155336
    -475.5720448634295394      0.0011250
    -474.9701183305761560     -0.0116520
    -474.3681893767035262      0.0148472
    -473.7662580019113534      0.0017296
    -473.1643242060997636      0.0076769
    -472.5623879893022377     -0.0173406
    -471.9604493514852948     -0.0102538
    -471.3585082926823020      0.0016815
    -470.7565648128266957      0.0157627
    -470.1546189118519123      0.0082029
    -469.5526705898577688     -0.0098953
    -468.9507198467444482      0.0040924
    -468.3487666825784572      0.0033383
    -467.7468110972600925      0.0017842
    -467.1448530908224370      0.0158912
    -466.5428926632656612     -0.0059277
    -465.9409298145230878     -0.0060034
    -465.3389645446280269      0.0125290
    -464.7369968534807185      0.0054629
    -464.1350267412141193     -0.0015068
    -463.5330542076619622     -0.0034112
    -462.9310792529240075      0.0028396
    -462.3291018769670586     -0.0036184
    -461.7271220796578746      0.0085688
    -461.1251398611630066      0.0074002
    -460.5231552212825932     -0.0199921
    -459.9211681601831856     -0.0085999
    -459.3191786776982894     -0.0008855
    -458.7171867739611457     -0.0093224
    -458.1151924488384566     -0.0134973
    -457.5131957022970255      0.0007001
    -456.9111965344367263      0.0070142
    -456.3091949451576852     -0.0006722
    -455.7071909344932124      0.0032153
    -455.1051845023766305     -0.0068697
    -454.5031756488746737     -0.0040760
    -453.9011643738873545      0.0016450
    -453.2991506774147297     -0.0019999
    -452.6971345595233629     -0.0050243
    -452.0951160200468166     -0.0096111
    -451.4930950591515852     -0.0072748
    -450.8910716766378641      0.0048360
    -450.2890458726720908      0.0102488
    -449.6870176471544482      0.0003775
    -449.0849869999851194      0.0180084
    -448.4829539312971747      0.0174688
    -447.8809184409907971      0.0086428
    -447.2788805290991831      0.0211585
    -446.6768401955226295     -0.0061280
    -446.0747974403608964     -0.0028809
    -445.4727522635141668      0.0049086
    -444.8707046650156940     -0.0051505
    -444.2686546448321678      0.0020405
    -443.6666022029303917      0.0031983
    -443.0645473393435623     -0.0129873
    -442.4624900539718624     -0.0098088
    -441.8604303469152228      0.0042165
    -441.2583682180736560      0.0022494
    -440.6563036674805289      0.0000996
    -440.0542366951025315     -0.0063929
    -439.4521673008731000      0.0027543
    -438.8500954848921083      0.0032999
    -438.2480212470263723      0.0130038
    -437.6459445873425125      0.0015617
    -437.0438655057739084      0.0097671
    -436.4417840023539270      0.0075692
    -435.8397000770824548      0.0038512
    -435.2376137298264211      0.0146776
    -434.6355249607190103      0.0095424
    -434.0334337696269245     -0.0031529
    -433.4313401566169546     -0.0021855
    -432.8292441216223665     -0.0133005
    -432.2271456646765273     -0.0124241
    -431.6250447857460131      0.0045249
    -431.0229414847644875      0.0284117
    -430.4208357617983438      0.0129587
    -429.8187276167477648      0.0139396
    -429.2166170497126814     -0.0103320
    -428.6145040605598524     -0.0041594
    -428.0123886493892087      0.0021839
    -427.4102708161008195     -0.0074638
    -426.8081505606614314      0.0070766
    -426.2060278831376650      0.0077995
    -425.6039027834629564     -0.0034292
    -425.0017752616371922      0.0005393
    -424.3996453176271757     -0.0208575
    -423.7975129514662171      0.0001161
    -423.1953781631208926      0.0092096
    -422.5932409525248090     -0.0124089
    -421.9911013197444163      0.0132225
    -421.3889592646467008      0.0053437
    -420.7868147873646194     -0.0048476
    -420.1846678877651584     -0.0061566
    -419.5825185659481917      0.0143646
    -418.9803668218137886      0.0062132
    -418.3782126553286957     -0.0031914
    -417.7760560665595335     -0.0023004
    -417.1738970553730042     -0.0043416
    -416.5717356219024623      0.0008489
    -415.9695717660146101      0.0142412
    -415.3674054877760682      0.0095302
    -414.7652367870870762      0.0013963
    -414.1630656640472807     -0.0000254
    -413.5608921185902886      0.0018706
    -412.9587161506161692      0.0117141
    -412.3565377602248532      0.0036688
    -411.7543569473163529     -0.0040473
