Scan:    454      HS0137+2329 2015-10-24 +05 38 57.0
         OPTICAL                 Tb    
        km/s-LSR                 I
    -522.5281296257466011      0.0038978
    -521.9263765229377441      0.0192286
    -521.3246210001414056      0.0084894
    -520.7228630574572890     -0.0005065
    -520.1211026947855771      0.0052094
    -519.5193399121263838     -0.0051411
    -518.9175747094797089      0.0041989
    -518.3158070868454388      0.0024722
    -517.7140370441570667      0.0025203
    -517.1122645814144789      0.0063781
    -516.5104896985845926      0.0113706
    -515.9087123957338008     -0.0013249
    -515.3069326727957105     -0.0010272
    -514.7051505297700942      0.0036025
    -514.1033659665906725      0.0020272
    -513.5015789833237250      0.0060058
    -512.8997895799028583      0.0107684
    -512.2979977562947624      0.0083162
    -511.6962035124993236      0.0055204
    -511.0944068485500225      0.0005312
    -510.4926077644133784     -0.0062153
    -509.8908062600562516      0.0027087
    -509.2890023354453319     -0.0133114
    -508.6871959906138159      0.0101695
    -508.0853872255285637      0.0108558
    -507.4835760401562084      0.0008715
    -506.8817624344301294      0.0012238
    -506.2799464084502574     -0.0015400
    -505.6781279621832823      0.0008139
    -505.0763070955626404     -0.0008809
    -504.4744838085882748      0.0011027
    -503.8726581012602992     -0.0009407
    -503.2708299735454034      0.0090461
    -502.6689994254434737     -0.0030324
    -502.0671664568880601     -0.0028952
    -501.4653310679457263     -0.0099419
    -500.8634932585831052     -0.0057263
    -500.2616530287670571     -0.0083578
    -499.6598103784974114      0.0026117
    -499.0579653077409716     -0.0039381
    -498.4561178164977377     -0.0003149
    -497.8542679046678927      0.0001624
    -497.2524155723844501     -0.0098759
    -496.6505608195809600      0.0042370
    -496.0487036461908019     -0.0020124
    -495.4468440522472861     -0.0026321
    -494.8449820377171022      0.0007365
    -494.2431176026003072     -0.0055088
    -493.6412507468635340      0.0056622
    -493.0393814704735860     -0.0040357
    -492.4375097734636597     -0.0001239
    -491.8356356558338121      0.0069173
    -491.2337591175174225      0.0044793
    -490.6318801585146048      0.0088808
    -490.0299987787919349     -0.0030601
    -489.4281149783827800      0.0100643
    -488.8262287572538298      0.0015364
    -488.2243401153052673     -0.0048513
    -487.6224490526702198     -0.0050260
    -487.0205555692487565     -0.0065719
    -486.4186596650409911     -0.0103713
    -485.8167613400468099     -0.0078749
    -485.2148605942330164      0.0033108
    -484.6129574275663003      0.0010119
    -484.0110518400799720     -0.0000531
    -483.4091438317073539      0.0049904
    -482.8072334024818701      0.0063330
    -482.2053205523702104      0.0059271
    -481.6034052813390645      0.0041241
    -481.0014875894216857      0.0105255
    -480.3995674765515105      0.0038329
    -479.7976449427285957      0.0009277
    -479.1957199879528275      0.0024113
    -478.5937926121578130     -0.0061433
    -477.9918628154100020      0.0036178
    -477.3899305976761411      0.0041613
    -476.7879959589229770     -0.0026704
    -476.1860588991170857      0.0089006
    -475.5841194182585809      0.0064518
    -474.9821775163475763      0.0041948
    -474.3802331933838445      0.0085806
    -473.7782864492343720      0.0112399
    -473.1763372840322290      0.0054891
    -472.5743856977442761     -0.0110892
    -471.9724316903037789     -0.0071674
    -471.3704752616775409      0.0011479
    -470.7685164119320689     -0.0006279
    -470.1665551409676027      0.0013104
    -469.5645914488507060      0.0021067
    -468.9626253354481378      0.0056486
    -468.3606568008597719      0.0121296
    -467.7586858450524119     -0.0033869
    -467.1567124679927474      0.0012058
    -466.5547366696474683     -0.0031898
    -465.9527584500165744      0.0004635
    -465.3507778091000091     -0.0080313
    -464.7487947468978859      0.0020558
    -464.1468092632770208     -0.0025354
    -463.5448213583705410     -0.0049444
    -462.9428310321451931     -0.0060422
    -462.3408382845010465     -0.0014366
    -461.7388431155047215      0.0060204
    -461.1368455250897114      0.0013375
    -460.5348455132892127     -0.0133876
    -459.9328430800367187     -0.0023408
    -459.3308382252988054      0.0032556
    -458.7288309491422069      0.0153271
    -458.1268212515003597      0.0055794
    -457.5248091324064035      0.0003595
    -456.9227945917938882     -0.0028487
    -456.3207776296627571      0.0071498
    -455.7187582460130102     -0.0016550
    -455.1167364408114508      0.0035340
    -454.5147122139914018     -0.0154758
    -453.9126855656527937     -0.0080114
    -453.3106564957290061     -0.0067677
    -452.7086250041867288      0.0047322
    -452.1065910910260186      0.0028258
    -451.5045547562469324     -0.0007771
    -450.9025159998159893      0.0031325
    -450.3004748217001065      0.0045675
    -449.6984312218992272      0.0109579
    -449.0963852004133514     -0.0017597
    -448.4943367572423654     -0.0014771
    -447.8922858923532431      0.0060940
    -447.2902326057123901      0.0090229
    -446.6881768973532871      0.0055610
    -446.0861187672093138      0.0056987
    -445.4840582152804700      0.0081748
    -444.8819952415001922      0.0063672
    -444.2799298459683541      0.0090852
    -443.6778620286183923     -0.0083180
    -443.0757917894502498     -0.0012784
    -442.4737191283974198     -0.0013720
    -441.8716440454930989     -0.0126113
    -441.2695665407040906     -0.0044024
    -440.6674866140303948     -0.0046508
    -440.0654042653720808      0.0016320
    -439.4633194948623895      0.0014290
    -438.8612323024013904      0.0112279
    -438.2591426879890832      0.0004724
    -437.6570506515922716     -0.0004795
    -437.0549561932108418      0.0043071
    -436.4528593128448506     -0.0059371
    -435.8507600104610447     -0.0037473
    -435.2486582859927466     -0.0018442
    -434.6465541395399441     -0.0004318
    -434.0444475710360166      0.0061564
    -433.4423385804475970      0.0118786
    -432.8402271678081092     -0.0073912
    -432.2381133330176226     -0.0009855
    -431.6359970761427007     -0.0077554
    -431.0338783971168368      0.0037374
    -430.4317572959066638     -0.0017653
    -429.8296337726120555      0.0047186
    -429.2275078270999984      0.0085858
    -428.6253794594368856      0.0088138
    -428.0232486695229568     -0.0026180
    -427.4211154574246621      0.0051201
    -426.8189798231089185      0.0153281
    -426.2168417665089919      0.0069137
    -425.6147012876249960     -0.0026400
    -425.0125583864901841     -0.0007654
    -424.4104130630711893      0.0100745
    -423.8082653173680683      0.0116729
    -423.2061151493143143      0.0047978
    -422.6039625589431807     -0.0030465
    -422.0018075462213005     -0.0048082
    -421.3996501111487873     -0.0056276
    -420.7974902536256536     -0.0065142
    -420.1953279737851972     -0.0072571
    -419.5931632714941770     -0.0121398
    -418.9909961468191568     -0.0109682
    -418.3888265996936298      0.0037053
    -417.7866546301175390     -0.0153369
    -417.1844802380909414     -0.0028638
    -416.5823034235472164      0.0028733
    -415.9801241864864210     -0.0132260
    -415.3779425269417516     -0.0037858
    -414.7757584448800117     -0.0020891
    -414.1735719403011444      0.0051124
    -413.5713830131386430      0.0024225
    -412.9691916634257041      0.0001877
    -412.3669978911291309     -0.0027905
    -411.7648016962155566     -0.0076485
    -411.1626030786518413     -0.0060558
    -410.5604020385376884     -0.0072060
    -409.9581985757399707     -0.0028201
    -409.3559926903253086     -0.0000473
    -408.7537843821938850      0.0034737
    -408.1515736514121500      0.0030162
    -407.5493604979136535      0.0022825
    -406.9471449216983387      0.0071319
    -406.3449269227329523      0.0047702
    -405.7427065010174374     -0.0063467
    -405.1404836565851610     -0.0002928
    -404.5382583893694459      0.0017529
    -403.9360306993704057      0.0015017
    -403.3338005865547302     -0.0085693
    -402.7315680509556728     -0.0085308
    -402.1293330925066130     -0.0065781
    -401.5270957111411008      0.0033664
    -400.9248559069922067     -0.0055056
    -400.3226136799268033     -0.0056198
    -399.7203690300113976     -0.0136525
    -399.1181219571795395     -0.0105073
    -398.5158724614311723     -0.0015493
    -397.9136205427330424     -0.0038017
    -397.3113662010850931     -0.0046260
    -396.7091094364540709      0.0000615
    -396.1068502488732292      0.0078629
    -395.5045886383093148      0.0121909
    -394.9023246047290741     -0.0015367
    -394.3000581481324502      0.0089997
    -393.6977892684861899     -0.0050291
    -393.0955179657902931     -0.0044331
    -392.4932442400447599      0.0093086
    -391.8909680911497162      0.0031586
    -391.2886895192382894     -0.0059069
    -390.6864085242106626      0.0072934
    -390.0841251060335821      0.0090208
    -389.4818392647402447     -0.0055415
    -388.8795510002641436      0.0028395
    -388.2772603126385320     -0.0024669
    -387.6749672018301567     -0.0079000
    -387.0726716678057642     -0.0071570
    -386.4703737105652408      0.0085574
    -385.8680733301419536     -0.0047556
    -385.2657705264360857     -0.0045946
    -384.6634652995141437     -0.0121925
    -384.0611576493095640      0.0064849
    -383.4588475757890365      0.0105550
    -382.8565350790191246      0.0106623
