Scan:     13   IRAS00040+4325 2015-10-21 +00 41 57.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -522.5165684106596018      0.0088176
    -521.9148286771935545     -0.0022636
    -521.3130865238398428     -0.0041745
    -520.7113419506649734     -0.0149318
    -520.1095949576024395     -0.0036215
    -519.5078455447187480      0.0055469
    -518.9060937118808852     -0.0045816
    -518.3043394591885544     -0.0167537
    -517.7025827865086285     -0.0037997
    -517.1008236939410381      0.0017730
    -516.4990621814523593     -0.0016343
    -515.8972982489430024      0.0046721
    -515.2955318965125571      0.0137465
    -514.6937631240281235      0.0046212
    -514.0919919316226014      0.0073224
    -513.4902183190964706      0.0006683
    -512.8884422866159412      0.0144468
    -512.2866638340148029     -0.0139016
    -511.6848829613929297     -0.0049274
    -511.0830996686835306      0.0041214
    -510.4813139558535227     -0.0096238
    -509.8795258229694127      0.0010276
    -509.2777352699312701      0.0157738
    -508.6759422967725186      0.0185852
    -508.0741469034264242      0.0086329
    -507.4723490899597209     -0.0015938
    -506.8705488562391679      0.0065509
    -506.2687462023646958     -0.0025118
    -505.6669411283028808     -0.0009734
    -505.0651336339540194      0.0000855
    -504.4633237194511821      0.0036978
    -503.8615113846279883     -0.0070396
    -503.2596966295510015     -0.0061639
    -502.6578794541869115      0.0008407
    -502.0560598585356615      0.0113511
    -501.4542378425639981      0.0009980
    -500.8524134062387247     -0.0146734
    -500.2505865496263482     -0.0134144
    -499.6487572725937412      0.0019642
    -499.0469255752407207     -0.0129043
    -498.4450914574675267     -0.0165811
    -497.8432549193406089     -0.0023496
    -497.2414159607268971     -0.0118931
    -496.6395745817595184     -0.0007773
    -496.0377307823053457      0.0048188
    -495.4358845623643788      0.0043205
    -494.8340359220031814      0.0141808
    -494.2321848611218797      0.0008179
    -493.6303313797537839      0.0091132
    -493.0284754778323304     -0.0089450
    -492.4266171554573361     -0.0058331
    -491.8247564124623636     -0.0159803
    -491.2228932489474005     -0.0135498
    -490.6210276648124022     -0.0130440
    -490.0191596600907928      0.0049200
    -489.4172892348158825     -0.0035235
    -488.8154163888543735     -0.0111116
    -488.2135411223395067     -0.0034878
