Scan:     10           KAZ238 2015-10-21 +00 08 17.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -522.5243708359048469     -0.0113184
    -521.9226220870299358     -0.0089742
    -521.3208709182341636      0.0121743
    -520.7191173295173030     -0.0294987
    -520.1173613209127780      0.0027903
    -519.5156028922873475      0.0077920
    -518.9138420437742525     -0.0063615
    -518.3120787752070555     -0.0145658
    -517.7103130867188838     -0.0155925
    -517.1085449781432999     -0.0222437
    -516.5067744496135447     -0.0041583
    -515.9050015009962635     -0.0079989
    -515.3032261323915009      0.0037109
    -514.7014483437326362      0.0076963
    -514.0996681349197388     -0.0094570
    -513.4978855060528531     -0.0091060
    -512.8961004570651312     -0.0053970
    -512.2943129879568005     -0.0032481
    -511.6925230986944939      0.0033722
    -511.0907307893448319     -0.0019547
    -510.4889360597413202     -0.0193266
    -509.8871389100170859     -0.0139204
    -509.2853393401056792     -0.0135339
    -508.6835373499071125      0.0005326
    -508.0817329395546267      0.0062936
    -507.4799261089149240      0.0013813
    -506.8781168580881058      0.0036039
    -506.2763051869075639      0.0063223
    -505.6744910955065393     -0.0039047
    -505.0726745838183547     -0.0085337
    -504.4708556517432498     -0.0131184
    -503.8690342994142952     -0.0195554
    -503.2672105266651101     -0.0017332
    -502.6653843336288787      0.0000638
    -502.0635557201723600     -0.0005109
    -501.4617246863954279     -0.0110594
    -500.8598912321317584     -0.0018668
    -500.2580553575144222      0.0147302
    -499.6562170624767987     -0.0005134
    -499.0543763469523810     -0.0017632
    -498.4525332110077898      0.0142646
    -497.8506876545430373      0.0019483
    -497.2488396776248010     -0.0138440
    -496.6469892801532069     -0.0042764
    -496.0451364622280721     -0.0048172
    -495.4432812237162693      0.0063342
    -494.8414235647176724      0.0073353
    -494.2395634851657746     -0.0172979
    -493.6377009849605884      0.0077241
    -493.0358360642352977      0.0087009
    -492.4339687228568323      0.0039094
    -491.8320989608916989      0.0072717
    -491.2302267782400804      0.0098411
    -490.6283521750017940      0.0053044
    -490.0264751510437122      0.0005769
    -489.4245957064657091     -0.0084931
    -488.8227138412011641      0.0015341
    -488.2208295551503170      0.0065445
    -487.6189428484461814     -0.0048125
    -487.0170537209557438     -0.0243120
    -486.4151621727788211     -0.0140492
    -485.8132682037489189     -0.0124896
    -485.2113718140325318     -0.0000625
    -484.6094730034299687     -0.0015506
    -484.0075717721075534     -0.0114188
    -483.4056681199322725      0.0165619
    -482.8037620468707587      0.0116527
    -482.2018535530228860     -0.0039575
    -481.5999426382555271      0.0086120
    -480.9980293026353024      0.0018549
    -480.3961135460954779      0.0104806
    -479.7941953686695911     -0.0064497
    -479.1922747703241043     -0.0082192
    -478.5903517509925678      0.0115428
    -477.9884263107416018     -0.0019964
    -477.3864984495044723      0.0017131
    -476.7845681673147169     -0.0089832
    -476.1826354640722343     -0.0137788
    -475.5807003398437018      0.0007923
    -474.9787627945625559      0.0073331
    -474.3768228282953601      0.0051434
    -473.7748804409422405      0.0003882
    -473.1729356325032541     -0.0046346
    -472.5709884029782870     -0.0106989
    -471.9690387523341997     -0.0012490
    -471.3670866806374420      0.0109305
    -470.7651321877216901     -0.0103075
    -470.1631752737532111      0.0068449
    -469.5612159385324844      0.0032255
    -468.9592541822258340     -0.0143825
    -468.3572900047001895     -0.0132624
    -467.7553234059554370     -0.0043361
    -467.1533543859916904     -0.0011850
    -466.5513829447755825     -0.0139561
    -465.9494090823737338     -0.0143338
    -465.3474327986529602     -0.0122685
    -464.7454540936798821     -0.0042351
    -464.1434729673879360      0.0065744
    -463.5414894198436286     -0.0062094
    -462.9395034509471998      0.0038989
    -462.3375150606984789      0.0111921
    -461.7355242491310037     -0.0054766
    -461.1335310161779830     -0.0050875
    -460.5315353618727272      0.0028891
    -459.9295372861155897     -0.0144850
    -459.3275367890061602     -0.0003419
    -458.7255338704447354      0.0080836
    -458.1235285304645686     -0.0030573
    -457.5215207690324064     -0.0033468
    -456.9195105861148818     -0.0211590
    -456.3174979817453618     -0.0008216
