Scan:    634    KUV02196+3253 2015-10-28 +02 30 08.0
         OPTICAL                 Tb    
        km/s-LSR                 I
    -522.5208230487207857     -0.0072287
    -521.9190782963135007     -0.0124281
    -521.3173311240517478     -0.0025763
    -520.7155815319356407     -0.0175920
    -520.1138295199317554     -0.0086565
    -519.5120750879736988     -0.0134738
    -518.9103182360613573     -0.0143466
    -518.3085589642280411     -0.0081597
    -517.7067972724736364     -0.0217647
    -517.1050331606985537     -0.0227196
    -516.5032666289690724     -0.0213342
    -515.9014976772189129     -0.0081578
    -515.2997263054145378     -0.0133049
    -514.6979525136226812     -0.0232934
    -514.0961763017766089     -0.0136431
    -513.4943976698764345     -0.0139434
    -512.8926166178889616     -0.0011377
    -512.2908331458139628     -0.0032408
    -511.6890472535850449     -0.0088305
    -511.0872589413020819     -0.0230550
    -510.4854682088650861     -0.0159233
    -509.8836750562741713     -0.0090848
    -509.2818794835292238     -0.0143504
    -508.6800814905637935     -0.0036734
    -508.0782810774443874     -0.0043907
    -507.4764782441376951     -0.0132709
    -506.8746729905772099     -0.0053900
    -506.2728653167962420     -0.0027807
    -505.6710552227614244     -0.0054815
    -505.0692427084061933     -0.0007053
    -504.4674277738304795     -0.0041841
    -503.8656104189676057      0.0039227
    -503.2637906437511219     -0.0016230
    -502.6619684482474781     -0.0058244
    -502.0601438323902244     -0.0086113
    -501.4583167961459935     -0.0091264
    -500.8564873395813493     -0.0133763
    -500.2546554626297848     -0.0030543
    -499.6528211652579898     -0.0011684
    -499.0509844474992178      0.0018708
    -498.4491453092536517     -0.0033965
    -497.8473037506211654      0.0021503
    -497.2454597715351383      0.0033249
    -496.6436133719622603     -0.0012388
    -496.0417645519359553     -0.0008060
    -495.4399133113894891     -0.0016569
    -494.8380596502564117     -0.0030369
    -494.2362035686697936     -0.0046738
    -493.6343450665298178     -0.0054276
    -493.0324841438364842     -0.0079213
    -492.4306208005897929     -0.0072567
    -491.8287550367231233     -0.0018649
    -491.2268868522365324     -0.0126803
    -490.6250162471632734      0.0035688
    -490.0231432214700931      0.0064984
    -489.4212677751236811      0.0009037
    -488.8193899080908409      0.0003195
    -488.2175096203714020     -0.0081757
    -487.6156269119987314     -0.0056098
    -487.0137417829063224     -0.0030950
    -486.4118542331274284      0.0097192
    -485.8099642625953720      0.0023981
    -485.2080718713103806      0.0068080
    -484.6061770592389735      0.0060463
    -484.0042798264144039      0.0017909
    -483.4023801728035892      0.0011732
    -482.8004780984064155      0.0011570
    -482.1985736031562624     -0.0087870
    -481.5966666870864401     -0.0045444
    -480.9947573500972453     -0.0105906
    -480.3928455923215779      0.0083013
    -479.7909314136598482     -0.0015452
    -479.1890148140785186     -0.0146801
    -478.5870957936109562     -0.0002173
    -477.9851743521907110     -0.0003629
    -477.3832504898509228      0.0074179
    -476.7813242065583381      0.0042854
    -476.1793955023130138      0.0052489
    -475.5774643770816397     -0.0039524
    -474.9755308308642157      0.0027781
    -474.3735948635608679      0.0052404
    -473.7716564753047237      0.0107749
    -473.1697156659960228     -0.0016455
    -472.5677724356346516      0.0002864
    -471.9658267842206669     -0.0014698
    -471.3638787116874482     -0.0102331
    -470.7619282180351092     -0.0098654
    -470.1599753032967897     -0.0002350
    -469.5580199674392929     -0.0062918
    -468.9560622104626191     -0.0065665
    -468.3541020323002044     -0.0111240
    -467.7521394329187387     -0.0070417
    -467.1501744124180959     -0.0085766
    -466.5482069706984021      0.0023886
    -465.9462371077929106      0.0103693
    -465.3442648236351147      0.0126573
    -464.7422901182250143      0.0059301
    -464.1403129915292993      0.0010854
    -463.5383334435812230      0.0007482
    -462.9363514743475889      0.0056274
    -462.3343670838283401      0.0026788
    -461.7323802719901664     -0.0028109
    -461.1303910387997576      0.0031386
    -460.5283993842572841     -0.0034526
    -459.9264053083625754     -0.0009607
    -459.3244088110824350      0.0030838
    -458.7224098924500595      0.0018140
    -458.1204085523989420      0.0050346
    -457.5184047908625757      0.0041319
    -456.9163986079407209     -0.0004732
    -456.3143900036001810     -0.0000627
    -455.7123789777742218     -0.0117441
    -455.1103655304630138      0.0043892
    -454.5083496616664434     -0.0028542
    -453.9063313713180037      0.0001382
    -453.3043106594843152      0.0022676
    -452.7022875261320110      0.0022536
    -452.1002619712277806      0.0009359
    -451.4982339947384276     -0.0012423
    -450.8962035966638950     -0.0038346
    -450.2941707769709296      0.0023602
    -449.6921355356927847      0.0073713
    -449.0900978727962638      0.0054080
    -448.4880577882811963      0.0050937
    -447.8860152821144425      0.0111029
    -447.2839703541960716     -0.0036074
    -446.6819230046593248     -0.0125393
