Scan:    442          MRK1158 2015-10-24 +03 33 09.0
         OPTICAL                 Tb    
        km/s-LSR                 I
    -522.5203007091798781     -0.0087661
    -521.9185566129264089     -0.0136925
    -521.3168100967852752     -0.0106177
    -520.7150611608562940     -0.0012075
    -520.1133098049397177     -0.0098391
    -519.5115560291354768     -0.0034323
    -518.9097998334435715     -0.0059966
    -518.3080412177973813     -0.0022931
    -517.7062801821635958     -0.0077492
    -517.1045167266089493     -0.0062781
    -516.5027508510333973     -0.0084742
    -515.9009825554702502     -0.0137101
    -515.2992118399196215     -0.0062064
    -514.6974387043147772     -0.0186958
    -514.0956631486559445     -0.0037707
    -513.4938851729762064     -0.0033194
    -512.8921047771758595      0.0079670
    -512.2903219613212968      0.0003458
    -511.6885367253794357      0.0093170
    -511.0867490693168520      0.0028913
    -510.4849589931002924     -0.0071513
    -509.8831664967630672     -0.0114072
    -509.2813715802718093     -0.0068610
    -508.6795742435600687     -0.0020464
    -508.0777744867276624     -0.0097654
    -507.4759723096414064     -0.0054877
    -506.8741677123346676     -0.0065413
    -506.2723606948738961     -0.0113275
    -505.6705512570928249     -0.0001331
    -505.0687393990578471      0.0094975
    -504.4669251207691332      0.0123293
    -503.8651084221932592     -0.0050733
    -503.2632893032637185      0.0073386
    -502.6614677640803848     -0.0019478
    -502.0596438045101308     -0.0215591
    -501.4578174246194635     -0.0124742
    -500.8559886243750725     -0.0131780
    -500.2541574037437613     -0.0083746
    -499.6523237626922764     -0.0037490
    -499.0504877012870679     -0.0060863
    -498.4486492194283755     -0.0027157
    -497.8468083171160856      0.0002085
    -497.2449649943836221      0.0021122
    -496.6431192511643644      0.0067483
    -496.0412710874583126     -0.0158821
    -495.4394205033319736      0.0033739
    -494.8375674986190234      0.0107230
    -494.2357120733859688     -0.0049534
    -493.6338542276661201     -0.0080067
    -493.0319939613262932      0.0047183
    -492.4301312744331653      0.0052727
    -491.8282661670198763      0.0072477
    -491.2263986389534693      0.0012731
    -490.6245286902670841     -0.0027075
    -490.0226563209939741     -0.0070409
    -489.4207815310676892     -0.0096087
    -488.8189043204549193     -0.0037141
    -488.2170246892222281     -0.0020558
    -487.6151426372696847     -0.0100605
    -487.0132581646306562     -0.0019972
    -486.4113712713051996     -0.0055598
    -485.8094819571932703      0.0200303
    -485.2075902223616026      0.0010480
    -484.6056960668101397     -0.0102140
    -484.0037994904391212     -0.0026108
    -483.4019004932816870     -0.0016255
    -482.7999990753711472     -0.0062235
    -482.1980952366076849      0.0023232
    -481.5961889770579205     -0.0024094
    -480.9942802965886699     -0.0155271
    -480.3923691952997501     -0.0060659
    -479.7904556731578509      0.0085501
    -479.1885397300965224      0.0092225
    -478.5866213661157644      0.0027527
    -477.9847005812487168      0.0063814
    -477.3827773754288728     -0.0043269
    -476.7808517486562891     -0.0070323
    -476.1789237009642761      0.0016708
    -475.5769932322528462     -0.0066483
    -474.9750603425554232     -0.0057297
    -474.3731250319051469      0.0147954
    -473.7711873001690037      0.0094103
    -473.1692471474135573      0.0013952
    -472.5673045736386939      0.0045056
    -471.9653595787779636      0.0053619
    -471.3634121628313665     -0.0088931
    -470.7614623258320421     -0.0029924
    -470.1595100676470338      0.0121606
    -469.5575553883761017      0.0012233
    -468.9555982880192460      0.0112371
    -468.3536387664433391     -0.0014875
    -467.7516768237150018      0.0053399
    -467.1497124598341770      0.0025766
    -466.5477456747343012     -0.0007275
    -465.9457764684153744     -0.0005622
    -465.3438048409107068     -0.0072350
    -464.7418307921204246     -0.0051893
    -464.1398543221110344      0.0084593
    -463.5378754308493967      0.0087319
    -462.9358941182355807     -0.0009419
    -462.3339103843694602     -0.0032908
    -461.7319242292176114      0.0038982
    -461.1299356526803876      0.0098518
    -460.5279446547909856      0.0015761
    -459.9259512356159121      0.0007290
    -459.3239553950221534     -0.0041094
    -458.7219571330429631      0.0051381
    -458.1199564497115944     -0.0047304
    -457.5179533449281735      0.0009711
    -456.9159478186926435     -0.0046770
    -456.3139398710717387     -0.0144915
    -455.7119295019322180     -0.0051071
    -455.1099167113406452     -0.0086841
    -454.5079014992971338      0.0039196
    -453.9058838657016963     -0.0044459
    -453.3038638105876430      0.0067586
    -452.7018413340215375      0.0064592
    -452.0998164358369991     -0.0037482
    -451.4977891160672812     -0.0154499
    -450.8957593748123145      0.0055254
    -450.2937272118722944      0.0107672
    -449.6916926273804052     -0.0040273
    -449.0896556212700830     -0.0103737
    -448.4876161935080177      0.0013279
    -447.8855743440942092      0.0065029
    -447.2835300730619110      0.0044084
    -446.6814833803114198     -0.0084714
    -446.0794342658426217     -0.0042624
    -445.4773827297220237     -0.0082215
    -444.8753287718498655      0.0023844
    -444.2732723922261471      0.0089101
    -443.6712135909173753      0.0093761
    -443.0691523677904797      0.0070834
    -442.4670887228787137      0.0070150
    -441.8650226562153875     -0.0047789
    -441.2629541677006273      0.0072126
    -440.6608832573676864      0.0250181
    -440.0588099252498751      0.0041479
    -439.4567341712141229     -0.0076294
    -438.8546559952936263      0.0016265
    -438.2525753975549492      0.0042133
    -437.6504923778983311     -0.0059364
    -437.0484069362904052     -0.0012191
    -436.4463190728309883     -0.0088808
    -435.8442287873870669      0.0048183
    -435.2421360799585841      0.0051482
    -434.6400409506454139     -0.0065218
    -434.0379433992810618      0.0003648
    -433.4358434258988950     -0.0093408
    -432.8337410305653634     -0.0001954
    -432.2316362131807068      0.0093495
    -431.6295289737117287      0.0108777
    -431.0274193122581323     -0.0045034
    -430.4253072286867905      0.0069017
    -429.8231927229978169      0.0048398
    -429.2210757952909717     -0.0005948
    -428.6189564453998742      0.0008561
    -428.0168346733910312     -0.0033744
    -427.4147104792644996      0.0039574
    -426.8125838629537157      0.0035123
    -426.2104548244586226     -0.0085123
