Scan:     27          MRK1179 2015-10-21 +03 19 01.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -522.5174716303724836     -0.0134421
    -521.9157308334272329     -0.0062978
    -521.3139876166277418     -0.0721415
    -520.7122419799403588     -0.0239196
    -520.1104939233987352     -0.0093955
    -519.5087434470026437      0.0183500
    -518.9069905506521536      0.0228331
    -518.3052352344474230      0.0021976
    -517.7034774983217176     -0.0178042
    -517.1017173421751068     -0.0107360
    -516.4999547661407178      0.0107270
    -515.8981897701521575      0.0043162
    -515.2964223541428055     -0.0148851
    -514.6946525180792378     -0.0021095
    -514.0928802620948090     -0.0099032
    -513.4911055860228544     -0.0231906
    -512.8893284898969114      0.0028829
    -512.2875489737500629      0.0104698
    -511.6857670375491125     -0.0011372
    -511.0839826811941862      0.0074994
    -510.4821959047519044      0.0000708
    -509.8804067082554070     -0.0024856
    -509.2786150915384837     -0.0003634
    -508.6768210547340914     -0.0014375
    -508.0750245977424697     -0.0053993
    -507.4732257205636188     -0.0067466
    -506.8714244232307919     -0.0044379
    -506.2696207056774256     -0.0070904
    -505.6678145678702663     -0.0126827
    -505.0660060098758777      0.0080274
    -504.4641950316275825      0.0149379
    -503.8623816331255512      0.0032041
    -503.2605658143030496      0.0046355
    -502.6587475752268119     -0.0085132
    -502.0569269158301609      0.0008188
    -501.4551038360798429     -0.0093725
    -500.8532783360424219      0.0176351
    -500.2514504156180806      0.0098360
    -499.6496200748067622     -0.0014791
    -499.0477873136750304     -0.0010402
    -498.4459521321564353      0.0016780
    -497.8441145301509323      0.0123212
    -497.2422745077918194      0.0162791
    -496.6404320649791657      0.0022231
    -496.0385872016464077      0.0107046
    -495.4367399179267863      0.0038787
    -494.8348902137202572     -0.0051263
    -494.2330380889603703     -0.0020368
    -493.6311835437470563     -0.0070494
    -493.0293265779803278      0.0126692
    -492.4274671916601847     -0.0098532
    -491.8256053848199940     -0.0074626
    -491.2237411573931354     -0.0013124
    -490.6218745093796088     -0.0019122
    -490.0200054407462176      0.0077367
    -489.4181339515261016      0.0063815
    -488.8162600416860641     -0.0060263
    -488.2143837111595417      0.0109530
    -487.6125049600130410      0.0044838
    -487.0106237882133655     -0.0126154
    -486.4087401956606413     -0.0147276
    -485.8068541824545719     -0.0042090
    -485.2049657485288208     -0.0152847
    -484.6030748938167108     -0.0206725
    -484.0011816184180589     -0.0046894
    -483.3992859222663583     -0.0139406
    -482.7973878052949885     -0.0105068
    -482.1954872675706270      0.0091416
    -481.5935843090598496      0.0086742
    -480.9916789296628394      0.0069051
    -480.3897711294795272     -0.0106280
    -479.7878609084766026     -0.0238695
    -479.1859482665873884     -0.0134723
    -478.5840332037787448      0.0049216
    -477.9821157201171218      0.0103633
    -477.3801958155693228     -0.0063424
    -476.7782734900354171      0.0055338
    -476.1763487436153923     -0.0011637
    -475.5744215762425711     -0.0073683
    -474.9724919878836999     -0.0013635
    -474.3705599785720324     -0.0123392
    -473.7686255482743150      0.0080034
    -473.1666886968906738      0.0064364
    -472.5647494245875464     -0.0006149
    -471.9628077311984953     -0.0025665
    -471.3608636167235773     -0.0102046
    -470.7589170812292991      0.0101168
    -470.1569681246823507      0.0042698
    -469.5550167469497751     -0.0059301
