Scan:     20           MRK352 2015-10-21 +02 00 43.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -522.5223648554452893     -0.0003561
    -521.9206184098987933      0.0038750
    -521.3188695444645191     -0.0063195
    -520.7171182591758907     -0.0190057
    -520.1153645538997807     -0.0190237
    -519.5136084287025824     -0.0209893
    -518.9118498836510298     -0.0121090
    -518.3100889185453752      0.0018944
    -517.7083255334854357     -0.0032803
    -517.1065597284712112     -0.0081275
    -516.5047915034360813     -0.0038802
    -515.9030208583469630      0.0012122
    -515.3012477933035598      0.0067674
    -514.6994723081393204     -0.0038944
    -514.0976944029210927     -0.0092335
    -513.4959140777153834      0.0061432
    -512.8941313323223312     -0.0012943
    -512.2923461668418668      0.0068448
    -511.6905585813074140     -0.0050449
    -511.0887685755523080     -0.0206049
    -510.4869761496765364     -0.0036845
    -509.8851813036800991      0.0051947
    -509.2833840374631791     -0.0089022
    -508.6815843510589161      0.0040510
    -508.0797822444674807     -0.0070116
    -507.4779777176221955     -0.0076449
    -506.8761707705563708      0.0025170
    -506.2743614032700634     -0.0014024
    -505.6725496156632857     -0.0116103
    -505.0707354078027151     -0.0076609
    -504.4689187796883516     -0.0039208
    -503.8670997311870678     -0.0206091
    -503.2652782623986241      0.0042077
    -502.6634543733230771     -0.0126040
    -502.0616280638273565     -0.0240525
    -501.4597993339446020     -0.0149734
    -500.8579681837748012     -0.0112561
    -500.2561346131182063     -0.0026252
    -499.6542986220746343     -0.0164606
    -499.0524602106441421     -0.0216672
    -498.4506193787267989     -0.0081241
    -497.8487761263559719     -0.0071940
    -497.2469304535649144     -0.0043495
    -496.6450823602537525      0.0120961
    -496.0432318464224863     -0.0111880
    -495.4413789121376794     -0.0067101
    -494.8395235572662614     -0.0176175
    -494.2376657818414856     -0.0150066
    -493.6358055859299725      0.0027092
    -493.0339429693984243     -0.0060417
    -492.4320779322802082     -0.0015045
    -491.8302104746086911     -0.0228378
    -491.2283405962506322     -0.0080442
    -490.6264682973059053     -0.0084740
    -490.0245935777413138     -0.0177762
    -489.4227164374568133     -0.0031412
    -488.8208368764858847      0.0064497
    -488.2189548949283449      0.0106329
    -487.6170704925843893     -0.0091629
    -487.0151836695206384     -0.0071741
    -486.4132944257704025      0.0153358
    -485.8114027612338077     -0.0038600
    -485.2095086759441074     -0.0055680
    -484.6076121699014152      0.0052459
