Scan:    463           MRK357 2015-10-24 +07 12 31.0
         OPTICAL                 Tb    
        km/s-LSR                 I
    -522.5302859093069401     -0.0235867
    -521.9285303185785097     -0.0143052
    -521.3267723079292182     -0.0168057
    -520.7250118772258247     -0.0155557
    -520.1232490266346531      0.0017862
    -519.5214837559561829      0.0010319
    -518.9197160653234278     -0.0038982
    -518.3179459546031467      0.0190350
    -517.7161734238954978      0.0106598
    -517.1143984730671264      0.0072839
    -516.5126211022178495     -0.0017105
    -515.9108413112146536      0.0067362
    -515.3090591001572420      0.0077968
    -514.7072744689460251      0.0001123
    -514.1054874176472822     -0.0092171
    -513.5036979461614237     -0.0146959
    -512.9019060545214188     -0.0027000
    -512.3001117426942983     -0.0041854
    -511.6983150107132019     -0.0019093
    -511.0965158584782557      0.0066645
    -510.4947142860560803     -0.0069075
    -509.8929102933468016     -0.0001130
    -509.2911038804502368      0.0037637
    -508.6892950472333723     -0.0110607
    -508.0874837937625443     -0.0017605
    -507.4856701199714166     -0.0062770
    -506.8838540259264960      0.0113272
    -506.2820355114945983      0.0134893
    -505.6802145767755974      0.0141945
    -505.0783912216696763      0.0155711
    -504.4765654462100883      0.0060312
    -503.8747372503302131      0.0009794
    -503.2729066341299813     -0.0186220
    -502.6710735974430122     -0.0172784
    -502.0692381404022626     -0.0041998
    -501.4674002628414655     -0.0075448
    -500.8655599648937482      0.0026503
    -500.2637172464259265     -0.0036181
    -499.6618721075045642     -0.0002235
    -499.0600245480299009     -0.0070922
    -498.4581745681349503      0.0061190
    -497.8563221676200214     -0.0122635
    -497.2544673466183554      0.0086061
    -496.6526101050300213     -0.0001007
    -496.0507504428882726     -0.0122516
    -495.4488883601266593     -0.0030883
    -494.8470238568116315      0.0149206
    -494.2451569328433720      0.0020826
    -493.6432875882885014     -0.0160593
    -493.0414158230138355     -0.0060602
    -492.4395416371525016      0.0043714
    -491.8376650305713156      0.0092627
    -491.2357860033370116     -0.0031995
    -490.6339045553496021     -0.0076843
    -490.0320206867089610     -0.0082637
    -489.4301343972487075      0.0098799
    -488.8282456871352224      0.0053796
    -488.2263545561687579     -0.0130837
    -487.6244610045158652     -0.0181793
    -487.0225650319767396     -0.0115480
    -486.4206666387178188     -0.0038779
    -485.8187658245727221     -0.0036767
    -485.2168625896412664     -0.0130815
    -484.6149569338235210     -0.0064306
    -484.0130488571862202     -0.0003459
    -483.4111383595961229      0.0033520
    -482.8092254411864133      0.0049647
    -482.2073101018239072     -0.0073166
    -481.6053923415751683      0.0110751
    -481.0034721603403796     -0.0046161
    -480.4015495582194148     -0.0051971
    -479.7996245350458366      0.0095743
    -479.1976970909527154     -0.0046490
    -478.5957672258402908     -0.0003228
    -477.9938349397418165      0.0060291
    -477.3919002325906717      0.0002099
    -476.7899631044202238     -0.0078777
    -476.1880235551638521      0.0049346
    -475.5860815848881771      0.0198852
    -474.9841371934600147      0.0172672
    -474.3821903810124923     -0.0020842
    -473.7802411473792290     -0.0035135
    -473.1782894926932954      0.0114386
    -472.5763354167883676      0.0023480
    -471.9743789197974593     -0.0009379
    -471.3724200015543033      0.0068687
    -470.7704586622252236     -0.0036114
    -470.1684949016105293      0.0202369
    -469.5665287198433475      0.0113667
    -468.9645601167906079      0.0284924
    -468.3625890925187036     -0.0015464
    -467.7606156469612984      0.0029677
    -467.1586397801848420     -0.0001554
    -466.5566614920894608     -0.0064135
    -465.9546807827084649      0.0015565
    -465.3526976519753475      0.0054603
    -464.7507120999565018     -0.0088413
    -464.1487241265189709      0.0032657
    -463.5467337317959391      0.0039878
    -462.9447409156540516      0.0100979
    -462.3427456781599858      0.0196791
    -461.7407480192139246     -0.0041655
    -461.1387479388823749      0.0115291
    -460.5367454370987730     -0.0033797
    -459.9347405138964859     -0.0043384
    -459.3327331691755830     -0.0214694
    -458.7307234030359382     -0.0133097
    -458.1287112153444241      0.0050986
    -457.5266966062008009      0.0053513
    -456.9246795754721120     -0.0047613
    -456.3226601232913708     -0.0057835
    -455.7206382494921968     -0.0027463
    -455.1186139541744069      0.0054124
    -454.5165872372048739      0.0109239
    -453.9145580987167818      0.0046282
    -453.3125265385769467      0.0010702
    -452.7104925568518752      0.0060810
    -452.1084561534086106      0.0198727
    -451.5064173284134199      0.0106630
    -450.9043760816666122      0.0034184
    -450.3023324133014285      0.0097924
    -449.7002863231846277      0.0143402
    -449.0982378113827735      0.0104300
    -448.4961868778294161     -0.0054107
    -447.8941335225910052     -0.0016751
    -447.2920777455344705     -0.0113189
    -446.6900195467596291      0.0119950
    -446.0879589261666638     -0.0081257
    -445.4858958837887712      0.0004634
    -444.8838304195927549      0.0149915
    -444.2817625335786147      0.0219846
    -443.6796922256797302     -0.0023450
    -443.0776194959959753     -0.0172213
    -442.4755443443609124     -0.0030224
    -441.8734667709077826      0.0066466
    -441.2713867754700345     -0.0026803
    -440.6693043582142195     -0.0092446
    -440.0672195189404192     -0.0053667
    -439.4651322577819883     -0.0054361
    -438.8630425746056858     -0.0103414
    -438.2609504695113856     -0.0090497
    -437.6588559423992137     -0.0048895
    -437.0567589933025374      0.0073265
    -436.4546596221546793     -0.0082330
    -435.8525578290222597     -0.0026833
    -435.2504536137720947     -0.0014649
    -434.6483469765374252     -0.0008016
    -434.0462379171517568      0.0011603
    -433.4441264357482169      0.0047963
    -432.8420125321604246     -0.0017351
    -432.2398962065215073     -0.0075895
    -431.6377774586983378     -0.0027384
    -431.0356562887574228     -0.0053934
    -430.4335326966322555     -0.0002876
    -429.8314066823560893      0.0177902
    -429.2292782458291072      0.0168695
    -428.6271473871511262      0.0144020
    -428.0250141061890758      0.0092035
    -427.4228784030427164      0.0038628
    -426.8207402776122308      0.0070460
    -426.2185997299642395      0.0047159
    -425.6164567599655015     -0.0034972
    -425.0143113677159477      0.0079321
    -424.4121635531157040     -0.0067726
    -423.8100133162645875      0.0073152
    -423.2078606569963313     -0.0026530
    -422.6057055754105818     -0.0054259
    -422.0035480714408891     -0.0072382
    -421.4013881451204497      0.0050261
    -420.7992257963495604      0.0279524
    -420.1970610251946709      0.0120765
    -419.5948938315892178     -0.0092485
    -418.9927242155998215      0.0020969
    -418.3905521770932978     -0.0066039
    -417.7883777161362673     -0.0059059
    -417.1862008326621094     -0.0101493
    -416.5840215267374447     -0.0026971
    -415.9818397982623424      0.0140717
    -415.3796556473034229     -0.0026202
    -414.7774690737276160     -0.0062243
    -414.1752800776679351      0.0035975
    -413.5730886589579995      0.0070559
    -412.9708948177309367      0.0100270
    -412.3686985538537328      0.0054551
    -411.7664998673927812      0.0111570
    -411.1642987582483215      0.0047441
    -410.5620952265202277      0.0067024
    -409.9598892720752588     -0.0025745
    -409.3576808949800920      0.0038984
    -408.7554700951681070     -0.0109154
    -408.1532568727058674     -0.0028617
    -407.5510412274602459     -0.0174762
    -406.9488231595311731     -0.0101677
    -406.3466026688186616      0.0034213
    -405.7443797553560785     -0.0031182
    -405.1421544191101134     -0.0020816
    -404.5399266600807664      0.0082478
    -403.9376964782014738      0.0002483
    -403.3354638735721096     -0.0105016
    -402.7332288460262362     -0.0050241
    -402.1309913956969808     -0.0115671
    -401.5287515224512163     -0.0090028
    -400.9265092263888164     -0.0140173
    -400.3242645073433437     -0.0076059
    -399.7220173654478685      0.0107423
    -399.1197678006026308     -0.0101223
    -398.5175158128409407      0.0093335
    -397.9152614020961209      0.0007411
    -397.3130045684015386      0.0057005
    -396.7107453116905731      0.0001084
    -396.1084836320630984      0.0077937
    -395.5062195293194236      0.0129965
    -394.9039530036259293      0.0130113
    -394.3016840548495452      0.0053409
    -393.6994126830567780     -0.0128679
    -393.0971388881477537      0.0125532
    -392.4948626701891499     -0.0031008
    -391.8925840290810356     -0.0073018
    -391.2903029649233417     -0.0032966
    -390.6880194775494601     -0.0098406
    -390.0857335671260557     -0.0080700
    -389.4834452334532671     -0.0195123
    -388.8811544766974748     -0.0150671
    -388.2788612966924688      0.0027991
    -387.6765656935045854      0.0101267
    -387.0742676670673745     -0.0000754
    -386.4719672174807101     -0.0063676
    -385.8696643445447876      0.0075296
    -385.2673590484261581      0.0089223
    -384.6650513289915239      0.0068817
    -384.0627411862743088     -0.0089021
    -383.4604286202412595      0.0034160
    -382.8581136309254589      0.0141531
    -382.2557962182272604      0.0109758
    -381.6534763822130571      0.0140686
    -381.0511541228164560     -0.0045590
    -380.4488294400706536      0.0014328
    -379.8465023338757192      0.0000763
    -379.2441728043316971      0.0006590
    -378.6418408513385998     -0.0058365
    -378.0395064749297376      0.0070712
    -377.4371696750384899      0.0097440
    -376.8348304516982807     -0.0103374
    -376.2324888048756861     -0.0071428
    -375.6301447345707629     -0.0086262
    -375.0277982407170043     -0.0181349
    -374.4254493233808034     -0.0159691
    -373.8230979824625138     -0.0045482
    -373.2207442180285852      0.0037793
    -372.6183880300124542      0.0111957
