Scan:     72    MS0108.4+3859 2014-09-26 +03 22 11.5
         OPTICAL                 Tb    
        km/s-LSR                 YY
    -548.3033464736359974      0.0002016
    -543.4903601236119357      0.0031153
    -538.6772189487703599      0.0005322
    -533.8639229415890668     -0.0007099
    -529.0504720947457145     -0.0000040
    -524.2368664006182826     -0.0008048
    -519.4231058517846122     -0.0048953
    -514.6091904408223172     -0.0000451
    -509.7951201601428579      0.0007682
    -504.9808950024237788      0.0021533
    -500.1665149600764266      0.0003321
    -495.3519800256452186     -0.0007516
    -490.5372901917079389     -0.0020984
    -485.7224454507092446     -0.0011620
    -480.9074457952600596      0.0004193
    -476.0922912178383513      0.0039339
    -471.2769817109219730      0.0027587
    -466.4615172671220193     -0.0004587
    -461.6458978789162870      0.0004429
    -456.8301235388160535     -0.0021421
    -452.0141942393656791     -0.0002365
    -447.1981099730431879      0.0016350
    -442.3818707324262505     -0.0004220
    -437.5654765100260306     -0.0004982
    -432.7489272983204387      0.0015744
    -427.9322230898873158     -0.0004762
    -423.1153638771377814     -0.0000236
    -418.2983496527162970      0.0023568
    -413.4811804091007730      0.0008079
    -408.6638561387357527      0.0022688
    -403.8463768342322737      0.0002692
    -399.0287424881016136     -0.0015305
    -394.2109530927550054      0.0003584
    -389.3930086408366833     -0.0027271
    -384.5749091247248543      0.0011407
    -379.7566545370970630      0.0019589
    -374.9382448703312889     -0.0023301
    -370.1196801169720629     -0.0004833
    -365.3009602695971125     -0.0030032
    -360.4820853206178413      0.0020578
    -355.6630552626784265     -0.0032670
    -350.8438700881569616     -0.0006581
    -346.0245297895979206     -0.0041036
    -341.2050343595790309      0.0008492
    -336.3853837905449495     -0.0015353
    -331.5655780750068402      0.0059671
    -326.7456172055091770      0.0000989
    -321.9255011744631929     -0.0016506
    -317.1052299745466030     -0.0014296
    -312.2848035981373869      0.0028362
    -307.4642220377467652     -0.0012439
    -302.6434852859524653      0.0032442
    -297.8225933351658341     -0.0007690
    -293.0015461779978523      0.0028105
    -288.1803438068931200     -0.0028795
    -283.3589862142962943     -0.0007018
    -278.5374733928517799     -0.0025408
    -273.7158053350040063      0.0014569
    -268.8939820331644341      0.0009758
    -264.0720034799439873     -0.0059001
    -259.2498696677873795      0.0004830
    -254.4275805892389997      0.0001151
    -249.6051362368100683     -0.0005569
    -244.7825366029118754     -0.0007561
    -239.9597816801555439      0.0010343
    -235.1368714609855601     -0.0001026
    -230.3138059378466380     -0.0007481
    -225.4905851033497299      0.0003146
    -220.6672089498729292     -0.0011507
    -215.8436774700272736     -0.0012862
    -211.0199906562905880     -0.0000915
    -206.1961485010409945      0.0017651
    -201.3721509969227839      0.0008377
    -196.5479981363472461     -0.0026830
    -191.7236899118589122     -0.0003163
    -186.8992263159356071      0.0011123
    -182.0746073409887060      0.0001365
    -177.2498329796625285     -0.0000709
    -172.4249032243683359     -0.0023440
    -167.5998180675508422     -0.0003560
    -162.7745775017876895      0.0007100
    -157.9491815195235631     -0.0023320
    -153.1236301132695985      0.0010824
    -148.2979232755370447     -0.0000597
    -143.4720609987371063     -0.0019544
    -138.6460432754809347     -0.0030710
    -133.8198700981132276     -0.0034106
    -128.9935414592450229     -0.0030211
    -124.1670573513209348     -0.0061313
    -119.3404177667855919     -0.0011994
    -114.5136226981834398     -0.0122660
    -109.6866721380256564     -0.0163676
    -104.8595660786902926     -0.0100936
    -100.0323045127883717     -0.0090046
     -95.2048874326646626     -0.0067946
     -90.3773148309634706     -0.0120520
     -85.5495867000961283     -0.0025804
     -80.7217030324739540      0.0053363
     -75.8936638207080136      0.0121566
     -71.0654690571763012      0.0549670
     -66.2371187344233192      0.1590572
     -61.4086128449602171      0.2938444
     -56.5799513811317780      0.2756459
     -51.7511343355823143      0.3436553
     -46.9221617007231302      0.5677957
     -42.0930334689655794      0.6801391
     -37.2637496329206783      0.9845386
     -32.4343101849664777      1.0047920
     -27.6047151176141554      1.0418843
     -22.7749644233748860      0.6177565
     -17.9450580946600056     -0.0245442
     -13.1149961240139685     -0.2485111
      -8.2847785038148256     -0.3838218
      -3.4544052266736016     -0.0671909
       1.3761237149650889      2.0561681
       6.2068083287564857      3.5662415
      11.0376486220895593      2.7454371
      15.8686446025529797      0.9692924
      20.6997962776688560      0.3306331
      25.5311036548927177      0.1006963
      30.3625667418798137      0.0329931
      35.1941855460191064      0.0075660
      40.0259600748992739      0.0041186
      44.8578903361089800      0.0041394
      49.6899763371037793      0.0039158
      54.5222180854723177      0.0035419
      59.3546155886035862      0.0034709
      64.1871688542193795      0.0004345
      69.0198778897086811      0.0048204
