Scan:    439           NGC513 2015-10-24 +03 01 44.0
         OPTICAL                 Tb    
        km/s-LSR                 I
    -522.5218620784356744     -0.0143955
    -521.9201161761449157     -0.0077284
    -521.3183678539996890      0.0015983
    -520.7166171119333740     -0.0088808
    -520.1148639500128183      0.0027608
    -519.5131083681046675     -0.0142971
    -518.9113503662422318      0.0003924
    -518.3095899444921315     -0.0081713
    -517.7078271027211258     -0.0133234
    -517.1060618410292591     -0.0033575
    -516.5042941592831767     -0.0046256
    -515.9025240575163025     -0.0068440
    -515.3007515357618331     -0.0087217
    -514.6989765939200652     -0.0097018
    -514.0971992320907020     -0.0082118
    -513.4954194501406164     -0.0036518
    -512.8936372480698083      0.0000755
    -512.2918526259783221      0.0048615
    -511.6900655837327463     -0.0028123
    -511.0882761213998151     -0.0076830
    -510.4864842388463444     -0.0070217
    -509.8846899361722080     -0.0007841
    -509.2828932133440958     -0.0068277
    -508.6810940702954440     -0.0007909
    -508.0792925070928163     -0.0012807
    -507.4774885236031423     -0.0058198
    -506.8756821198928719     -0.0061772
    -506.2738732959953722     -0.0035900
    -505.6720620517774591     -0.0120416
    -505.0702483873390634     -0.0069616
    -504.4684323025802541     -0.0151067
    -503.8666137974677781     -0.0082356
    -503.2647928721347625      0.0024010
    -502.6629695263815165      0.0141888
    -502.0611437603744776      0.0052614
    -501.4593155739138979      0.0027407
    -500.8574849670996514      0.0063931
    -500.2556519399317381     -0.0027135
    -499.6538164922770306      0.0010645
    -499.0519786243019666     -0.0078395
    -498.4501383358067983     -0.0029545
    -497.8482956268913426     -0.0083086
    -497.2464504975224031     -0.0152880
    -496.6446029476666695     -0.0173440
    -496.0427529773241417     -0.0024091
    -495.4409005864615096     -0.0103434
    -494.8390457750455198     -0.0130524
    -494.2371885431426790     -0.0154149
    -493.6353288906532839     -0.0062525
    -493.0334668176437276     -0.0015828
    -492.4316023240142499     -0.0200187
    -491.8297354097648508     -0.0071232
    -491.2278660749620940     -0.0078867
    -490.6259943194727384      0.0037620
    -490.0241201433635183      0.0040026
    -489.4222435466343768      0.0029688
    -488.8203645291853832      0.0052349
    -488.2184830911165250      0.0021098
    -487.6165992322613079     -0.0118045
    -487.0147129527195489     -0.0152806
    -486.4128242525246151     -0.0097467
    -485.8109331315100121      0.0008075
    -485.2090395897756139      0.0021257
    -484.6071436272548567     -0.0057963
    -484.0052452439144872     -0.0094087
    -483.4033444398210122     -0.0076638
    -482.8014412148746146     -0.0106871
    -482.1995355691751683     -0.0090649
    -481.5976275025562359     -0.0085071
    -480.9957170150510706     -0.0001725
    -480.3938041067595464      0.0016387
    -479.7918887775152825     -0.0087877
    -479.1899710274180961     -0.0007806
    -478.5880508563681133      0.0043835
    -477.9861282643653908      0.0047584
    -477.3842032514763787      0.0033898
    -476.7822758175681201     -0.0041637
    -476.1803459627070652     -0.0012801
    -475.5784136868599603      0.0007360
    -474.9764789899601851     -0.0100517
    -474.3745418721076703     -0.0069589
    -473.7726023332024852      0.0062934
    -473.1706603732447434      0.0105759
    -472.5687159922010778     -0.0113015
    -471.9667691900714317     -0.0055758
    -471.3648199669225392     -0.0121196
    -470.7628683225878490     -0.0056445
    -470.1609142572005453      0.0041149
    -469.5589577705941906     -0.0033415
    -468.9569988628686588     -0.0052419
    -468.3550375339905827      0.0043750
    -467.7530737839268227      0.0075129
    -467.1511076126772650      0.0071741
    -466.5491390202086563     -0.0079186
    -465.9471680064878001     -0.0053560
    -465.3451945715810893     -0.0058871
    -464.7432187153555674      0.0051552
    -464.1412404379442478     -0.0034247
    -463.5392597391807499     -0.0032120
    -462.9372766191316373      0.0141564
    -462.3352910777969100      0.0153765
    -461.7333031151100045      0.0012414
    -461.1313127311042308      0.0007806
    -460.5293199257129686      0.0094942
    -459.9273246989695281      0.0073734
    -459.3253270508406558      0.0006236
    -458.7233269812929848      0.0057038
    -458.1213244903932491     -0.0024506
    -457.5193195779747839     -0.0020434
    -456.9173122441376336     -0.0029957
    -456.3153024889150515      0.0015475
    -455.7132903121405434     -0.0069543
    -455.1112757139140399     -0.0008875
    -454.5092586941688637     -0.0008268
    -453.9072392528718751     -0.0083560
    -453.3052173901228912     -0.0024503
    -452.7031931057554175      0.0004111
    -452.1011663999025814      0.0001452
    -451.4991372723981158      0.0066737
    -450.8971057233416673      0.0037527
    -450.2950717527001530      0.0055279
    -449.6930353603736421      0.0050617
    -449.0909965464951483     -0.0033606
    -448.4889553108984046     -0.0040569
    -447.8869116536499178     -0.0010429
    -447.2848655747829980     -0.0068233
    -446.6828170741645181     -0.0028970
    -446.0807661518942950      0.0061400
    -445.4787128078391447     -0.0034204
    -444.8766570420658013      0.0063958
    -444.2745988545740943      0.0049254
    -443.6725382452642634      0.0022715
    -443.0704752142361258      0.0025042
    -442.4684097613565541     -0.0106372
    -441.8663418866921120      0.0032528
    -441.2642715902094892     -0.0013995
    -440.6621988718755460     -0.0069952
    -440.0601237316900551     -0.0042975
    -439.4580461696531870     -0.0007622
    -438.8559661856982643     -0.0072756
    -438.2538837799252747      0.0029387
    -437.6517989521676668      0.0096573
    -437.0497117024588078     -0.0006006
    -436.4476220308985148      0.0054622
    -435.8455299373203502     -0.0063404
    -435.2434354218241879      0.0004237
    -434.6413384842769005      0.0110234
    -434.0392391247449950      0.0077119
    -433.4371373432618384      0.0101371
    -432.8350331396943034      0.0090129
    -432.2329265141088968      0.0081861
    -431.6308174664391117      0.0038346
    -431.0287059966848346      0.0012867
    -430.4265921049127428     -0.0014979
    -429.8244757909896521     -0.0011492
    -429.2223570549821829      0.0046530
    -428.6202358967904047      0.0056915
    -428.0181123164809378      0.0009764
    -427.4159863140204720      0.0021041
    -426.8138578893757540      0.0035054
    -426.2117270425800371     -0.0052354
    -425.6095937735002508      0.0009473
    -425.0074580822360986      0.0047462
    -424.4053199687877509      0.0065966
    -423.8031794330219668      0.0036267
    -423.2010364750719873      0.0084838
