Scan:     28       PG0052+251 2015-10-21 +03 30 48.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -549.0022476682935348      0.0009751
    -548.4006017446257601     -0.0003546
    -547.7989534016027164     -0.0172467
    -547.1973026393243345      0.0023477
    -546.5956494576907971      0.0068438
    -545.9939938567687250      0.0075585
    -545.3923358364581873      0.0062502
    -544.7906753968258045      0.0044938
    -544.1890125377716458     -0.0077191
    -543.5873472593622182      0.0005179
    -542.9856795614980456     -0.0165241
    -542.3840094442452937     -0.0036772
    -541.7823369075374558      0.0023115
    -541.1806619514079557     -0.0066687
    -540.5789845757902867     -0.0081398
    -539.9773047806841078      0.0025439
    -539.3756225661230701      0.0100013
    -538.7739379319738191      0.0009091
    -538.1722508783695957     -0.0048026
    -537.5705614051772727     -0.0058375
    -536.9688695124632432     -0.0045925
    -536.3671752001611139     -0.0117177
    -535.7654784683041953     -0.0026672
    -535.1637793168257531      0.0012579
    -534.5620777457593249     -0.0027153
    -533.9603737550047526     -0.0046424
    -533.3586673446952773     -0.0017676
    -532.7569585146646887      0.0123876
    -532.1552472649792662     -0.0049800
    -531.5535335956391236     -0.0099667
    -530.9518175065778678     -0.0033324
    -530.3500989977951576     -0.0027506
    -529.7483780692579103     -0.0002183
    -529.1466547210327462      0.0014109
    -528.5449289530196211      0.0029940
    -527.9432007652520724     -0.0035279
    -527.3414701576633661      0.0112765
    -526.7397371302866986      0.0069736
    -526.1380016830891009     -0.0070739
    -525.5362638161034283      0.0072446
    -524.9345235291970084      0.0090613
    -524.3327808225025137      0.0009403
    -523.7310356959204682      0.0067775
    -523.1292881493841378     -0.0018716
    -522.5275381830266497     -0.0006673
    -521.9257857966815664     -0.0202028
    -521.3240309904489322     -0.0044810
    -520.7222737642285892      0.0044718
    -520.1205141180873852      0.0038543
    -519.5187520519252757     -0.0027176
    -518.9169875658088813     -0.0062541
    -518.3152206596718088     -0.0072539
    -517.7134513335470274     -0.0079462
    -517.1116795873016372     -0.0044913
    -516.5099054211019620      0.0006694
    -515.9081288348148746      0.0068134
