Scan:    460       PG0117+213 2015-10-24 +06 41 25.0
         OPTICAL                 Tb    
        km/s-LSR                 I
    -549.0064593404256357     -0.0001639
    -548.4048087786479755      0.0087925
    -547.8031557974486532     -0.0141309
    -547.2015003969274858     -0.0026133
    -546.5998425770510494     -0.0116003
    -545.9981823378194576     -0.0023689
    -545.3965196791660901     -0.0109623
    -544.7948546011243707     -0.0095004
    -544.1931871037274959      0.0143478
    -543.5915171868423386      0.0000258
    -542.9898448505022088      0.0012009
    -542.3881700947068794     -0.0035465
    -541.7864929194566912      0.0169372
    -541.1848133246850239      0.0069204
    -540.5831313104248466     -0.0102946
    -539.9814468767098106     -0.0068601
    -539.3797600234064475     -0.0133582
    -538.7780707505484088     -0.0070467
    -538.1763790581021567      0.0108347
    -537.5746849461343118      0.0192342
    -536.9729884145450569     -0.0101069
    -536.3712894633345059      0.0038243
    -535.7695880925689380      0.0060888
    -535.1678843021154535     -0.0039983
    -534.5661780920071351      0.0092191
    -533.9644694622442103      0.0001458
    -533.3627584128265653      0.0013548
    -532.7610449436875797      0.0003878
    -532.1593290548273671     -0.0085490
    -531.5576107463124345      0.0156486
    -530.9558900180096543      0.0014741
    -530.3541668699523370      0.0073482
    -529.7524413021404825      0.0178772
    -529.1507133145073567      0.0192104
    -528.5489829071198074      0.0021673
    -527.9472500799111003     -0.0052116
    -527.3455148329144322     -0.0046459
    -526.7437771660635235      0.0007936
    -526.1420370793248367      0.0063874
    -525.5402945727316819      0.0030474
    -524.9385496462509764      0.0002489
    -524.3368022998824927     -0.0046595
    -523.7350525336263445     -0.0284193
    -523.1333003474157977      0.0152059
    -522.5315457412511932      0.0017347
    -521.9297887151321902      0.0036046
    -521.3280292690589022     -0.0031200
    -520.7262674029648224     -0.0021589
    -520.1245031169165713      0.0009262
    -519.5227364108806114     -0.0044202
    -518.9209672847573529      0.0076663
    -518.3191957385799924     -0.0001131
    -517.7174217723817264     -0.0033763
    -517.1156453860961619     -0.0040492
    -516.5138665796898749     -0.0031399
    -515.9120853532293722     -0.0062733
    -515.3103017066815710      0.0012591
    -514.7085156399465404      0.0043785
    -514.1067271530574772      0.0019380
    -513.5049362460478051      0.0000780
    -512.9031429188174798     -0.0043889
    -512.3013471714332354      0.0092883
    -511.6995490038285652     -0.0083724
    -511.0977484160365520     -0.0130441
    -510.4959454079906891     -0.0099554
    -509.8941399796910900     -0.0097657
    -509.2923321311043878     -0.0026169
    -508.6905218622637790      0.0035660
    -508.0887091731361807      0.0036736
    -507.4868940636881121     -0.0010992
    -506.8850765339529403     -0.0010143
    -506.2832565838641585      0.0048767
    -505.6814342134217100      0.0104306
    -505.0796094225922843     -0.0009634
    -504.4777822114091919     -0.0034219
    -503.8759525798058689      0.0028500
    -503.2741205278156258      0.0058291
    -502.6722860554383487      0.0023321
    -502.0704491625743344      0.0004522
    -501.4686098492567794      0.0031370
    -500.8667681154856837      0.0024145
    -500.2649239611945404      0.0119220
    -499.6630773864498565     -0.0010837
    -499.0612283911851250      0.0013458
    -498.4593769754335426     -0.0071629
    -497.8575231390953491      0.0016307
    -497.2556668822037409     -0.0028078
    -496.6538082047587750     -0.0018535
    -496.0519471066938877      0.0008593
    -495.4500835880423324     -0.0000500
    -494.8482176488374193     -0.0088907
    -494.2463492889792747     -0.0169352
    -493.6444785084346449     -0.0020256
    -493.0426053072367836     -0.0008751
    -492.4407296853856906      0.0102929
    -491.8388516428481125      0.0086221
    -491.2369711796240495     -0.0008529
    -490.6350882957134445     -0.0040770
    -490.0332029910164238     -0.0071698
    -489.4313152655664680      0.0014156
    -488.8294251193966602      0.0056101
    -488.2275325524071832     -0.0085197
    -487.6256375646646575     -0.0008534
    -487.0237401561025194      0.0088196
    -486.4218403267872759     -0.0015462
    -485.8199380765857995      0.0078663
    -485.2180334055315143      0.0077618
    -484.6161263135908825      0.0002237
    -484.0142168007974419      0.0012788
    -483.4123048671177116     -0.0059093
    -482.8103905125518054      0.0035450
    -482.2084737370664129     -0.0035815
    -481.6065545406282808     -0.0038029
    -481.0046329232373523      0.0021112
    -480.4027088848936273     -0.0032144
    -479.8007824255638525     -0.0015208
    -479.1988535452147744      0.0047211
    -478.5969222438795327     -0.0060052
    -477.9949885215916083      0.0049291
    -477.3930523781844499     -0.0031989
    -476.7911138137579883     -0.0097075
    -476.1891728282456029     -0.0029406
    -475.5872294216473506     -0.0007500
    -474.9852835939631177      0.0032408
    -474.3833353451597645     -0.0020611
    -473.7813846752704876     -0.0028961
    -473.1794315842286665     -0.0017622
    -472.5774760720011614     -0.0035216
    -471.9755181386211120      0.0067985
    -471.3735577840553788      0.0022049
    -470.7715950083037910     -0.0033682
    -470.1696298113332659     -0.0009152
    -469.5676621931769432     -0.0013880
    -468.9656921537349490     -0.0087824
    -468.3637196930407072      0.0038204
    -467.7617448110608507      0.0027329
    -467.1597675077953795      0.0046218
    -466.5577877832442937      0.0003476
    -465.9558056374409034      0.0060776
    -465.3538210702519677     -0.0072530
    -464.7518340817109106     -0.0064886
    -464.1498446717843649     -0.0003388
    -463.5478528405390080      0.0071373
    -462.9458585878747954      0.0044351
    -462.3438619137918977      0.0107452
    -461.7418628183901319      0.0125894
    -461.1398613014697503      0.0044050
    -460.5378573631306267     -0.0036601
    -459.9358510033061407     -0.0016886
    -459.3338422219964059      0.0039110
    -458.7318310192346189      0.0022874
    -458.1298173949542161      0.0007188
    -457.5278013491885076      0.0119535
    -456.9257828818709299      0.0065645
    -456.3237619929682296      0.0121244
    -455.7217386825136032      0.0162334
    -455.1197129505070507      0.0151015
    -454.5176847968821789     -0.0010181
    -453.9156542216720140      0.0058090
    -453.3136212248767833      0.0025705
    -452.7115858063964993     -0.0007361
    -452.1095479662644721     -0.0003569
    -451.5075077044474483     -0.0047435
    -450.9054650209786246      0.0053355
    -450.3034199158249180      0.0038056
    -449.7013723889527910     -0.0060104
    -449.0993224403957811     -0.0210509
    -448.4972700700537871     -0.0022912
    -447.8952152779602898     -0.0044634
    -447.2931580640818652     -0.0074008
    -446.6910984284519373      0.0077810
    -446.0890363710037718      0.0082158
    -445.4869718917707928      0.0164968
    -444.8849049907529434      0.0007152
    -444.2828356678170962      0.0017152
    -443.6807639230631253      0.0050852
    -443.0786897564244100     -0.0024172
    -442.4766131679009504      0.0061575
    -441.8745341574928034      0.0046400
    -441.2724527251999120     -0.0019227
    -440.6703688709224593      0.0084068
    -440.0682825947270658     -0.0010578
    -439.4661938965470540     -0.0031563
    -438.8641027764158480     -0.0017301
    -438.2620092342999669     -0.0027567
    -437.6599132701662711      0.0029145
    -437.0578148840813242      0.0116299
    -436.4557140759118852      0.0156371
    -435.8536108457246314     -0.0113466
    -435.2515051934196890     -0.0060446
    -434.6493971190968750      0.0055178
    -434.0472866226563724     -0.0013982
    -433.4451737040982380      0.0023032
    -432.8430583634888649      0.0047558
    -432.2409406007285497      0.0027287
    -431.6388204157839823      0.0046867
    -431.0366978086884160      0.0055939
    -430.4345727794085406     -0.0107362
    -429.8324453279444128     -0.0087173
    -429.2303154542627794      0.0097619
    -428.6281831584300903      0.0096313
    -428.0260484402800785     -0.0014421
    -427.4239112999125041     -0.0106272
    -426.8217717372607467     -0.0056243
    -426.2196297523581734     -0.0031711
    -425.6174853451382205     -0.0059892
    -425.0153385156341415     -0.0072434
    -424.4131892638126828     -0.0176760
    -423.8110375896404776     -0.0042187
    -423.2088834931176393      0.0056864
    -422.6067269742108010     -0.0046872
    -422.0045680329200195      0.0058252
    -421.4024066692452379     -0.0023866
    -420.8002428831865132     -0.0069636
    -420.1980766747104781      0.0010317
    -419.5959080437506827      0.0084338
    -418.9937369903403237      0.0008715
    -418.3915635144794578      0.0051045
    -417.7893876161347748      0.0049774
    -417.1872092952729645      0.0029088
    -416.5850285518940268     -0.0027717
    -415.9828453860645254     -0.0018560
    -415.3806597976181934      0.0032404
    -414.7784717866213100      0.0020736
    -414.1762813530408494     -0.0081175
    -413.5740884969100080     -0.0040730
    -412.9718932181621653     -0.0005396
