Scan:    415       Q0030+3700 2015-10-23 +22 50 50.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -522.5223871998572349     -0.0096965
    -521.9206407091115807      0.0028230
    -521.3188917984780346     -0.0035573
    -520.7171404679236275      0.0105949
    -520.1153867174815559     -0.0075295
    -519.5136305470851994     -0.0092697
    -518.9118719567678681     -0.0142533
    -518.3101109464962519      0.0066226
    -517.7083475162371542      0.0023721
    -517.1065816659904613     -0.0021299
    -516.5048133957228629     -0.0019118
    -515.9030427054678967      0.0012058
    -515.3012695952252216     -0.0151937
    -514.6994940648619377     -0.0069504
    -514.0977161144444381     -0.0197710
    -513.4959357439729501     -0.0189703
    -512.8941529534140500     -0.0197888
    -512.2923677427344273     -0.0124778
    -511.6905801119340254     -0.0096391
    -511.0887900609797612     -0.0020246
    -510.4869975899048882      0.0011225
    -509.8852026986759256     -0.0195134
    -509.2834053872597906     -0.0148335
    -508.6816056556230592      0.0045140
    -508.0798035037991554      0.0018410
    -507.4779989317546551     -0.0015123
    -506.8761919394896154      0.0203425
    -506.2743825269708395     -0.0149491
    -505.6725706941649037     -0.0091136
    -505.0707564410718646     -0.0007498
    -504.4689397677250327     -0.0010231
    -503.8671206740910407     -0.0076110
    -503.2652991600701284     -0.0161084
    -502.6634752257288596     -0.0074705
    -502.0616488710339240     -0.0194402
    -501.4598200959520113      0.0042444
    -500.8579889005164318      0.0043657
    -500.2561552846606219      0.0068349
    -499.6543192484178348     -0.0081580
    -499.0524807917548742      0.0056401
    -498.4506399146050626      0.0057378
    -497.8487966170350774     -0.0020302
    -497.2469508989782412     -0.0128753
    -496.6451027604678643      0.0047295
    -496.0432522014374399      0.0084546
    -495.4413992218868543      0.0030405
    -494.8395438218162781      0.0029003
    -494.2376860011922304     -0.0068116
    -493.6358257600149386     -0.0085116
    -493.0339630983174857     -0.0257149
    -492.4320980159668011     -0.0182533
    -491.8302305130628156      0.0088073
    -491.2283605895055985      0.0126285
    -490.6264882453283462      0.0059376
    -490.0246134804979761     -0.0128567
    -489.4227362950143174     -0.0160450
    -488.8208566888442306     -0.0062775
    -488.2189746619875450      0.0096610
    -487.6170902144444312      0.0219967
    -487.0152033461482119      0.0153596
    -486.4133140571655076     -0.0048061
    -485.8114223473964444     -0.0073920
    -485.2095282168742756     -0.0053780
    -484.6076316655990581      0.0050969
    -484.0057326935041715      0.0089461
    -483.4038313006230396      0.0102080
    -482.8019274869221817      0.0042769
    -482.2000212524349081     -0.0078950
