Scan:      9          RBS2055 2015-10-20 +23 57 20.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -549.0048429835863999      0.0066092
    -548.4031942369990702      0.0011335
    -547.8015430710565852     -0.0003876
    -547.1998894858588756      0.0053055
    -546.5982334812392764      0.0038173
    -545.9965750572979459      0.0014930
    -545.3949142140014601      0.0011769
    -544.7932509512833121      0.0049568
    -544.1915852691764712     -0.0026742
    -543.5899171676481956     -0.0149434
    -542.9882466466648339     -0.0088872
    -542.3865737062928929     -0.0044643
    -541.7848983464326693     -0.0131038
    -541.1832205671175871     -0.0008876
    -540.5815403682807982      0.0069450
    -539.9798577499225303      0.0023419
    -539.3781727121091762     -0.0005876
    -538.7764852547077226     -0.0084459
    -538.1747953778179863      0.0039204
    -537.5731030813068401     -0.0000767
    -536.9714083652407908      0.0016407
    -536.3697112296198384      0.0050920
    -535.7680116743108556     -0.0027441
    -535.1663096994803936      0.0048064
    -534.5646053049287048      0.0113108
    -533.9628984907554923      0.0121053
    -533.3611892569608699      0.0058686
    -532.7594776034118240     -0.0023954
    -532.1577635302411409      0.0178135
    -531.5560470373160342      0.0137488
    -530.9543281246694733     -0.0179017
    -530.3526067923017990     -0.0031098
    -529.7508830401794739      0.0082204
    -529.1491568683026117      0.0203662
    -528.5474282766380156      0.0098962
    -527.9456972651521482      0.0023897
    -527.3439638338785471      0.0018444
    -526.7422279827836746      0.0019355
    -526.1404897118677582     -0.0010544
    -525.5387490210308670      0.0028639
    -524.9370059103728181      0.0053186
    -524.3352603798271048      0.0062996
    -523.7335124293936133      0.0006005
    -523.1317620590392607     -0.0113880
    -522.5300092687306233      0.0078690
    -521.9282540585008974      0.0046961
    -521.3264964283503105     -0.0006452
    -520.7247363781788181      0.0018084
    -520.1229739080530408      0.0007377
    -519.5212090179064717      0.0046442
    -518.9194417077391108     -0.0165227
    -518.3176719775841548     -0.0012777
    -517.7158998273417865      0.0104964
    -517.1141252570786264      0.0073490
    -516.5123482666948576      0.0073002
    -515.9105688562568730      0.0110994
    -515.3087870257314762     -0.0060693
    -514.7070027750521604      0.0016825
    -514.1052161042854323      0.0081048
    -513.5034270133314749      0.0023650
    -512.9016355021901745     -0.0049663
    -512.2998415709615756      0.0025657
    -511.6980452194458735     -0.0018499
    -511.0962464478094489      0.0055683
    -510.4944452559192314     -0.0049183
    -509.8926416437751641     -0.0039480
    -509.2908356114106141     -0.0118895
    -508.6890271587589609     -0.0039664
    -508.0872162858867114     -0.0060457
    -507.4854029926607950      0.0007258
    -506.8835872791478891     -0.0057965
    -506.2817691453144562     -0.0060067
    -505.6799485911274701      0.0014795
    -505.0781256166533240      0.0104858
    -504.4763002217589474      0.0005934
    -503.8744724064775937      0.0000997
    -503.2726421708426301     -0.0080965
    -502.6708095147541826     -0.0101593
    -502.0689744383119546     -0.0087584
    -501.4671369413497359     -0.0073543
    -500.8652970239339197      0.0037738
    -500.2634546861312401      0.0051776
    -499.6616099277750891     -0.0093198
    -499.0597627489987644     -0.0122331
    -498.4579131496357718     -0.0132521
    -497.8560611297526748     -0.0010686
    -497.2542066893827837     -0.0085504
    -496.6523498283929712     -0.0075124
    -496.0504905469163646     -0.0134959
    -495.4486288447865263     -0.0126916
    -494.8467647220367667     -0.0036306
    -494.2448981787669027      0.0113791
    -493.6430292147772434      0.0038139
    -493.0411578302342264      0.0003463
    -492.4392840249381038      0.0059791
    -491.8374077990221167      0.0061088
    -491.2355291524195877     -0.0050503
    -490.6336480850972634     -0.0012133
    -490.0317645971217644     -0.0017013
    -489.4298786883265393      0.0001816
    -488.8279903588115758     -0.0020350
    -488.2260996085768170     -0.0010301
    -487.6242064375556993     -0.0041989
    -487.0223108457482226      0.0060705
    -486.4204128331211336     -0.0012800
    -485.8185123996411221      0.0050131
    -485.2166095454080050      0.0090089
    -484.6147042702554018     -0.0004785
    -484.0127965743164395      0.0004222
    -483.4108864574247377     -0.0017353
    -482.8089739196801133     -0.0028425
    -482.2070589610492561      0.0029500
    -481.6051415814656593     -0.0039375
    -481.0032217809625195     -0.0051918
    -480.4012995595066400     -0.0060153
    -479.7993749170647106     -0.0001376
    -479.1974478536699849     -0.0027264
    -478.5955183692559558     -0.0149275
    -477.9935864638891303     -0.0060017
    -477.3916521374696913     -0.0054574
    -476.7897153899975820     -0.0005818
    -476.1877762215061693      0.0089091
    -475.5858346318955228     -0.0026377
    -474.9838906212655729     -0.0032325
    -474.3819441895165028      0.0007640
    -473.7799953366148316     -0.0057327
    -473.1780440626606037      0.0017938
    -472.5760903675205782      0.0117345
    -471.9741342512614324     -0.0015391
    -471.3721757138164321      0.0011308
    -470.7702147551524945      0.0002390
    -470.1682513753692660     -0.0032366
    -469.5662855743004229      0.0045695
    -468.9643173520792061      0.0069001
    -468.3623467085390075     -0.0042692
    -467.7603736437465614     -0.0007493
    -467.1583981577683176     -0.0026497
    -466.5564202504045852      0.0040359
    -465.9544399218218018      0.0019242
    -465.3524571718868401      0.0017441
    -464.7504720005997569      0.0028145
    -464.1484844080270022     -0.0017045
    -463.5464943940356193      0.0029652
    -462.9445019587251977      0.0000531
    -462.3425071019960910     -0.0025699
    -461.7405098238482424      0.0015836
    -461.1385101243149620     -0.0107576
    -460.5365080033296294     -0.0088757
    -459.9345034609588083     -0.0012509
    -459.3324964970361179      0.0052476
    -458.7304871116614322      0.0039928
    -458.1284753048680045      0.0030744
    -457.5264610764893405      0.0085398
    -456.9244444266587379     -0.0041573
    -456.3224253552428991     -0.0028978
    -455.7204038622752478     -0.0013355
    -455.1183799477889806     -0.0033084
    -454.5163536116842238     -0.0032963
    -453.9143248540276545      0.0001131
    -453.3122936747192853     -0.0047619
    -452.7102600737925400      0.0028312
    -452.1082240512806152     -0.0012120
    -451.5061856070503268     -0.0132882
    -450.9041447412349726     -0.0117579
    -450.3021014536678877     -0.0041461
    -449.7000557444159767      0.0036976
    -449.0980076135122090     -0.0003810
    -448.4959570608236277     -0.0068703
    -447.8939040864499930     -0.0074210
    -447.2918486902582345      0.0067569
    -446.6897908723148589     -0.0090822
    -446.0877306326532903     -0.0006460
    -445.4856679711401739     -0.0011053
    -444.8836028878423008     -0.0043615
    -444.2815353826929368      0.0021949
    -443.6794654556920818      0.0059098
    -443.0773931069064702      0.0082801
    -442.4753183361695505      0.0077922
    -441.8732411436143934      0.0024546
    -441.2711615291080420      0.0013640
    -440.6690794926836361      0.0045084
    -440.0669950344079098      0.0024562
    -439.4649081541141982     -0.0008961
    -438.8628188519025457     -0.0038823
    -438.2607271276730216      0.0010785
    -437.6586329814922465      0.0077478
    -437.0565364133269100      0.0046630
    -436.4544374231103916      0.0055202
    -435.8523360109093687     -0.0027645
    -435.2502321765906004     -0.0030294
    -434.6481259202539604     -0.0022688
    -434.0460172418661955      0.0004121
    -433.4439061413607988     -0.0025651
    -432.8417926187709099     -0.0018179
    -432.2396766740300791     -0.0029705
    -431.6375583071715027      0.0001824
    -431.0354375181952946     -0.0148256
    -430.4333143070014671      0.0033158
    -429.8311886736899510      0.0054312
    -429.2290606181609292      0.0053136
    -428.6269301403810346      0.0076091
    -428.0247972404834513      0.0102082
    -427.4226619182684317      0.0017365
    -426.8205241738358495      0.0064290
    -426.2183840071191980      0.0119872
    -425.6162414181184772      0.0000657
    -425.0140964068668268     -0.0002418
    -424.4119489732645434      0.0070889
    -423.8097991174113872      0.0008679
    -423.2076468391409776      0.0034807
    -422.6054921385198782     -0.0043242
    -422.0033350155813991     -0.0068564
    -421.4011754702256667     -0.0048316
    -420.7990135025192444     -0.0059718
    -420.1968491123289482     -0.0000768
    -419.5946822997547656     -0.0009029
    -418.9925130647632727     -0.0036637
    -418.3903414072879627      0.0023295
    -417.7881673273621459      0.0024090
    -417.1859908249192017      0.0011791
    -416.5838118999924404      0.0021128
    -415.9816305525818620      0.0006323
    -415.3794467826209029      0.0019912
    -414.7772605901428165      0.0071201
    -414.1750719750810390      0.0025205
    -413.5728809374356842      0.0012970
    -412.9706874772398351      0.0132541
    -412.3684915943937881      0.0058308
    -411.7662932889973604     -0.0001666
    -411.1640925609173678      0.0028490
    -410.5618894102204877      0.0059064
    -409.9596838368733529      0.0115880
    -409.3574758408093430      0.0039061
    -408.7552654221284456     -0.0007210
    -408.1530525806974197     -0.0019899
    -407.5508373165163221      0.0071009
    -406.9486196296850267      0.0007389
    -406.3463995200369823     -0.0041538
    -405.7441769876721764      0.0115027
    -405.1419520325239887      0.0023361
    -404.5397246545258554     -0.0050826
    -403.9374948538109038     -0.0082297
    -403.3352626302128101      0.0020337
    -402.7330279838645311      0.0021760
    -402.1307909145665462      0.0091535
    -401.5285514224185590     -0.0045644
    -400.9263095074539365      0.0054156
    -400.3240651695394945      0.0066921
    -399.7218184087751638      0.0050148
    -399.1195692250609000      0.0003568
    -398.5173176183637338     -0.0080485
    -397.9150635887832550     -0.0039125
    -397.3128071361864500      0.0003151
    -396.7105482606731357     -0.0033300
    -396.1082869621101281     -0.0008756
    -395.5060232405307943     -0.0020060
    -394.9037570959683308      0.0125306
    -394.3014885283230342      0.0076772
    -393.6992175376946079      0.0116715
    -393.0969441239167281     -0.0044317
    -392.4946682870891550      0.0095895
    -391.8923900271786920      0.0065490
    -391.2901093441186617      0.0079677
    -390.6878262380091087     -0.0040881
    -390.0855407086834248      0.0096944
    -389.4832527562082305      0.0077298
    -388.8809623805835827      0.0088380
    -388.2786695817761142      0.0090035
    -387.6763743597859389     -0.0062748
    -387.0740767145130690      0.0038646
    -386.4717766460574353      0.0049251
    -385.8694741543857276      0.0067540
    -385.2671692393981289     -0.0007305
    -384.6648619011944561     -0.0025191
    -384.0625521396415820      0.0044938
    -383.4602399548061271      0.0037874
    -382.8579253466879777      0.0039006
    -382.2556083152206838      0.0074449
    -381.6532888604041887      0.0020145
    -381.0509669822051819     -0.0025062
    -380.4486426806569739      0.0105113
    -379.8463159557263111     -0.0011409
    -379.2439868073798834     -0.0102081
    -378.6416552356176339      0.0015966
    -378.0393212404064229      0.0045179
    -377.4369848217461367      0.0005613
    -376.8346459796700856      0.0112939
    -376.2323047140451422      0.0046064
    -375.6299610250044338     -0.0039214
    -375.0276149123815230     -0.0036287
    -374.4252663762430302      0.0020801
    -373.8229154166222088      0.0004194
    -373.2205620334191281     -0.0004294
    -372.6182062266672119      0.0005404
    -372.0158479963330933     -0.0015418
    -371.4134873423502654     -0.0070535
    -370.8111242648517987     -0.0023472
    -370.2087587636380590      0.0027853
    -369.6063908388753134     -0.0005071
    -369.0040204903973518      0.0000939
    -368.4016477182373137     -0.0048206
    -367.7992725224617629     -0.0076249
    -367.1968949029376859      0.0052626
    -366.5945148597315892     -0.0019336
    -365.9921323927768526     -0.0075799
    -365.3897475020402226      0.0088494
    -364.7873601876215730      0.0044490
    -364.1849704493877766     -0.0072690
    -363.5825782874386505      0.0020303
    -362.9801837016077570     -0.0109581
    -362.3777866919617736     -0.0052028
    -361.7753872585670933     -0.0002555
    -361.1729854012574492      0.0013505
    -360.5705811201326583     -0.0044862
    -359.9681744150927898      0.0008834
    -359.3657652861712108     -0.0127225
    -358.7633537334012317     -0.0002764
    -358.1609397566496114      0.0040309
    -357.5585233560495340      0.0143836
    -356.9561045314346188      0.0158314
    -356.3536832828380625     -0.0039650
    -355.7512596103265423      0.0020255
    -355.1488335138001844      0.0078652
    -354.5464049932921853     -0.0020418
    -353.9439740487360382     -0.0002905
    -353.3415406801317431     -0.0043553
    -352.7391048875125534      0.0115769
    -352.1366666708120192      0.0114285
    -351.5342260300632233     -0.0032214
    -350.9317829651997727      0.0006435
    -350.3293374761883001      0.0147751
    -349.7268895631286227      0.0094341
    -349.1244392258877838      0.0010497
    -348.5219864645653729      0.0020622
    -347.9195312789952368     -0.0068162
    -347.3170736692437117      0.0075623
    -346.7146136353774750      0.0097319
    -346.1121511772300892      0.0000242
    -345.5096862949014849      0.0114014
    -344.9072189882916746      0.0121526
    -344.3047492574340822      0.0026408
    -343.7022771023619043      0.0093676
    -343.0998025229419568      0.0111306
    -342.4973255192742272      0.0109250
    -341.8948460912587279      0.0192550
    -341.2923642389288261      0.0110890
    -340.6898799622845218      0.0009992
    -340.0873932612591943      0.0056828
    -339.4849041358862110      0.0070676
    -338.8824125860989511      0.0026604
    -338.2799186118974148     -0.0015458
    -337.6774222133481089      0.0069388
    -337.0749233902847095      0.0130494
    -336.4724221428736541      0.0163087
    -335.8699184709151382      0.0125603
    -335.2674123745090924      0.0133387
    -334.6649038536554599      0.0213124
    -334.0623929082544805      0.0130924
    -333.4598795384058576      0.0114600
    -332.8573637439433242      0.0191033
    -332.2548455249666404      0.0245577
    -331.6523248814425529      0.0145666
    -331.0498018133377514      0.0216559
    -330.4472763206523496      0.0205662
    -329.8447484033195565      0.0170572
    -329.2422180613728528      0.0144297
    -328.6396852948788023      0.0185387
    -328.0371501036375435      0.0157030
    -327.4346124878156843      0.0175027
    -326.8320724472466168      0.0152160
    -326.2295299819970751      0.0123911
    -325.6269850920670024      0.0080741
    -325.0244377773897781      0.0150173
    -324.4218880380319661      0.0115253
    -323.8193358738605525      0.0093535
    -323.2167812849087909      0.0118220
    -322.6142242712430743      0.0110696
    -322.0116648327305029      0.0049264
    -321.4091029694707800      0.0144422
    -320.8065386813307782      0.0092498
    -320.2039719683438648      0.0035890
    -319.6014028305432930      0.0086907
    -318.9988312678624425      0.0102993
    -318.3962572803346802      0.0094039
    -317.7936808678267653      0.0067830
    -317.1911020304386284     -0.0035985
    -316.5885207681702127      0.0021260
    -315.9859370809217012      0.0018279
    -315.3833509687597143      0.0083555
    -314.7807624315843213      0.0080996
    -314.1781714693955792      0.0045037
    -313.5755780822932479      0.0072057
    -312.9729822700777504      0.0063672
    -312.3703840329154104     -0.0021908
    -311.7677833706731576      0.0052456
    -311.1651802833508782      0.0014936
    -310.5625747710152496     -0.0001471
    -309.9599668335664546      0.0030858
    -309.3573564710376900      0.0011627
    -308.7547436833290817      0.0061537
    -308.1521284705072503      0.0054842
    -307.5495108326054492      0.0088154
    -306.9468907694574114      0.0017913
    -306.3442682811960367      0.0064602
    -305.7416433677215650     -0.0008863
