Scan:    409          RBS2061 2015-10-23 +21 48 02.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -549.0075427563162975      0.0081695
    -548.4058910622620715     -0.0055985
    -547.8042369488861141     -0.0004123
    -547.2025804161548876     -0.0037447
    -546.6009214640354230     -0.0008318
    -545.9992600924940689      0.0135231
    -545.3975963016309834      0.0011860
    -544.7959300913460083      0.0081681
    -544.1942614616061746     -0.0017949
    -543.5925904124444514     -0.0046312
    -542.9909169437945593      0.0053215
    -542.3892410557227777     -0.0022429
    -541.7875627481296306     -0.0042919
    -541.1858820210813974      0.0044586
    -540.5841988744450646      0.0011475
    -539.9825133083536457      0.0140233
    -539.3808253227073237     -0.0071404
    -538.7791349175062123      0.0035350
    -538.1774420927168876      0.0029822
    -537.5757468483062667      0.0075452
    -536.9740491843407426      0.0163038
    -536.3723491007871189      0.0105216
    -535.7706465975786614      0.0009862
    -535.1689416746821735      0.0034711
    -534.5672343321643893      0.0115358
    -533.9655245699918851      0.0017343
    -533.3638123881312367     -0.0036203
    -532.7620977865494751      0.0059121
    -532.1603807652131763     -0.0011646
    -531.5586613241888472     -0.0148800
    -530.9569394634098671      0.0182555
    -530.3552151828763499      0.0233855
    -529.7534884825882955     -0.0018394
    -529.1517593624457731      0.0015831
    -528.5500278225487136      0.0048029
    -527.9482938628306101      0.0032633
    -527.3465574832580387     -0.0207287
    -526.7448186838309994      0.0074782
    -526.1430774645497195     -0.0034989
    -525.5413338254138580     -0.0175704
    -524.9395877663903320      0.0017927
    -524.3378392874458314      0.0052960
    -523.7360883885137355      0.0020211
    -523.1343350697272854     -0.0027889
    -522.5325793309865503     -0.0044257
    -521.9308211722583337      0.0020967
    -521.3290605935758322      0.0075069
    -520.7272975948392286     -0.0112673
    -520.1255321761150299     -0.0126083
    -519.5237643374032359     -0.0067660
    -518.9219940786373400     -0.0160965
    -518.3202213997841454     -0.0040951
    -517.7184463009100455     -0.0004535
    -517.1166687819485333      0.0125756
    -516.5148888428664122     -0.0083470
    -515.9131064836968790     -0.0034765
    -515.3113217043733130      0.0043733
    -514.7095345049291382     -0.0055054
    -514.1077448853309306     -0.0038297
    -513.5059528455788040      0.0034992
    -512.9041583856061379     -0.0044541
    -512.3023615054129323     -0.0041753
    -511.7005622050657507      0.0063389
    -511.0987604844647763     -0.0005833
    -510.4969563436432622      0.0077765
    -509.8951497825013348     -0.0051516
    -509.2933408011389247     -0.0130546
    -508.6915293994893545     -0.0044177
    -508.0897155775526812      0.0089158
    -507.4878993352956513     -0.0071839
    -506.8860806726517012     -0.0120435
    -506.2842595897205911      0.0082084
    -505.6824360864025607     -0.0035996
    -505.0806101627308635     -0.0147593
    -504.4787818186721893      0.0022063
    -503.8769510541600880      0.0018880
    -503.2751178692942062      0.0216565
    -502.6732822639748406     -0.0019926
    -502.0714442382019911      0.0045127
    -501.4696037919422906     -0.0077524
    -500.8677609252291063      0.0023232
    -500.2659156380291279      0.0095802
    -499.6640679303422985      0.0046103
    -499.0622178021353648     -0.0024434
    -498.4603652533086233     -0.0114398
    -497.8585102840282275     -0.0023111
    -497.2566528941612205     -0.0007887
    -496.6547930837076024      0.0074779
    -496.0529308526673162      0.0020564
    -495.4510662009737416     -0.0009844
    -494.8491991287269229     -0.0052613
    -494.2473296358267589      0.0058026
    -493.6454577222734201      0.0027594
    -493.0435833880003429     -0.0077124
    -492.4417066330739772     -0.0082161
    -491.8398274574943798      0.0005420
    -491.2379458611950440     -0.0011879
    -490.6360618441426027     -0.0081610
    -490.0341754063371127      0.0026128
    -489.4322865478118274      0.0061722
    -488.8303952685001832      0.0008539
    -488.2285015684354335     -0.0098716
    -487.6266054475178180      0.0058967
    -487.0247069058139004      0.0047228
    -486.4228059433235103     -0.0028554
    -485.8209025599470010     -0.0097916
    -485.2189967557507657     -0.0023341
    -484.6170885306017908      0.0027928
    -484.0151778846332036      0.0012465
    -483.4132648177784404      0.0064802
    -482.8113493300041341     -0.0010987
    -482.2094314212770314     -0.0010389
    -481.6075110915971891     -0.0054541
    -481.0055883409645503      0.0052340
    -480.4036631693791719      0.0027276
    -479.8017355768077437      0.0120469
    -479.1998055631837019     -0.0034881
    -478.5978731286068069     -0.0033642
    -477.9959382729772983     -0.0014524
    -477.3940009962952331     -0.0028855
    -476.7920612985938078     -0.0087766
    -476.1901191797398951     -0.0033231
    -475.5881746398333121     -0.0049789
    -474.9862276788409190     -0.0058817
    -474.3842782967292351     -0.0006867
    -473.7823264934651775      0.0120321
    -473.1803722690152654     -0.0007319
    -472.5784156234462330     -0.0070936
    -471.9764565567246564     -0.0042025
    -471.3744950687840856      0.0050014
    -470.7725311595912103      0.0015098
