Scan:    466   RXJ0044.9+1921 2015-10-24 +07 44 04.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -522.5359026033499958     -0.0044860
    -521.9341406217616850      0.0068935
    -521.3323762200859619     -0.0178194
    -520.7306093984226436     -0.0252469
    -520.1288401567385336     -0.0187800
    -519.5270684950003215     -0.0031144
    -518.9252944131746972     -0.0104690
    -518.3235179112616606      0.0082338
    -517.7217389892945221     -0.0109392
    -517.1199576471401542     -0.0004417
    -516.5181738848983741      0.0008902
    -515.9163877025358715      0.0025332
    -515.3145990999862533     -0.0013777
    -514.7128080772492922      0.0035455
    -514.1110146343582983      0.0016970
    -513.5092187712801888     -0.0078090
    -512.9074204879814260     -0.0004954
    -512.3056197843956170      0.0065373
    -511.7038166606225218     -0.0017043
    -511.1020111165956337     -0.0018795
    -510.5002031522816992     -0.0020517
    -509.8983927676472945      0.0008342
    -509.2965799627257866     -0.0019123
    -508.6947647375172892      0.0043979
    -508.0929470919883215      0.0004819
    -507.4911270260391234     -0.0092058
    -506.8893045397695118     -0.0058473
    -506.2874796331462903      0.0000934
    -505.6856523060695849     -0.0028373
    -505.0838225586391559     -0.0169597
    -504.4819903908217498     -0.0131019
    -503.8801558025176064     -0.0171544
    -503.2783187937598655     -0.0180727
    -502.6764793645486975     -0.0142896
    -502.0746375148839320      0.0002824
    -501.4727932447323724      0.0098275
    -500.8709465539942016     -0.0055107
    -500.2690974428024901     -0.0110376
    -499.6672459110906743     -0.0013583
    -499.0653919588255008     -0.0112137
    -498.4635355859070955     -0.0081768
    -497.8616767925019531      0.0005306
    -497.2598155784768323     -0.0196975
    -496.6579519437984800     -0.0034696
    -496.0560858885335165     -0.0172848
    -495.4542174126485747      0.0090216
    -494.8523465161104014     -0.0088118
    -494.2504731988524327     -0.0013699
    -493.6485974609412892     -0.0169687
    -493.0467193023769141      0.0070259
    -492.4448387230593767      0.0021576
    -491.8429557229888474     -0.0017241
    -491.2410703021985796      0.0067561
    -490.6391824606884597      0.0060156
    -490.0372921983919809     -0.0089171
    -489.4353995152758898     -0.0099209
    -488.8335044113734398      0.0085736
    -488.2316068866846877     -0.0020857
    -487.6297069411095890     -0.0179599
    -487.0278045747482452     -0.0008694
    -486.4258997875339787     -0.0140084
    -485.8239925794334226      0.0075757
    -485.2220829504134372      0.0105497
    -484.6201709005405291      0.0146951
    -484.0182564297481349      0.0061652
    -483.4163395380029442      0.0006989
    -482.8144202252717037     -0.0046348
    -482.2124984916542871     -0.0103730
    -481.6105743370507639     -0.0040607
    -481.0086477614611908     -0.0095084
    -480.4067187647857509      0.0004477
    -479.8047873471907678      0.0126996
    -479.2028535085099179     -0.0103701
    -478.6009172487764545     -0.0174772
    -477.9989785680236309      0.0106385
    -477.3970374661848837      0.0046384
    -476.7950939432602695      0.0014891
    -476.1931479991498577     -0.0118547
    -475.5911996339868324     -0.0006187
    -474.9892488477046300     -0.0042845
    -474.3872956402699401     -0.0014449
    -473.7853400116161993     -0.0092618
    -473.1833819618432244     -0.0059277
    -472.5814214908512554      0.0072950
    -471.9794585986735456     -0.0055330
    -471.3774932852102211     -0.0093714
    -470.7755255505610990      0.0160546
    -470.1735553946596724      0.0045523
    -469.5715828175059414     -0.0071718
    -468.9696078189999753      0.0003246
    -468.3676303992750718     -0.0014513
    -467.7656505581978763     -0.0003219
    -467.1636682957685593     -0.0211370
    -466.5616836120536277      0.0020249
    -465.9596965069865178      0.0131111
    -465.3577069805671726      0.0171242
    -464.7557150326958322     -0.0167274
    -464.1537206634723702     -0.0147931
    -463.5517238728301663     -0.0198141
    -462.9497246607691636     -0.0117932
    -462.3477230272228553      0.0087537
    -461.7457189722578050     -0.0032226
    -461.1437124958074492      0.0060224
    -460.5417035979050411      0.0180918
    -459.9396922784508206     -0.0107571
    -459.3376785375111808     -0.0003338
    -458.7356623750530389      0.0105473
    -458.1336437909764072      0.0039176
    -457.5316227854145268     -0.0024677
    -456.9295993582674669      0.0019453
    -456.3275735095684809      0.0069062
    -455.7255452391844415      0.0033792
    -455.1235145472153363     -0.0062298
    -454.5214814336609948      0.0200494
    -453.9194458984217135      0.0070900
    -453.3174079414973221      0.0005817
    -452.7153675629213012     -0.0074546
    -452.1133247626934804      0.0029154
    -451.5112795407140993     -0.0181708
    -450.9092318969831581     -0.0071535
    -450.3071818316004169     -0.0049473
    -449.7051293444329190     -0.0032344
    -449.1030744354472404     -0.0188798
    -448.5010171047431982     -0.0090184
    -447.8989573522542855     -0.0032088
    -447.2968951779473059      0.0027249
    -446.6948305817888354      0.0156075
    -446.0927635638455513     -0.0102511
    -445.4906941240175229     -0.0057336
    -444.8886222623380604     -0.0081700
    -444.2865479787406002      0.0022118
    -443.6844712732917628     -0.0005848
    -443.0823921459248709      0.0092075
    -442.4803105966399244      0.0109549
    -441.8782266253705302      0.0049552
    -441.2761402322163349      0.0061787
    -440.6740514170443248     -0.0030383
    -440.0719601799210068     -0.0183673
    -439.4698665207465638      0.0051083
    -438.8677704396208128      0.0218318
    -438.2656719364772471      0.0169245
    -437.6635710112159927     -0.0036910
    -437.0614676639701202      0.0007799
    -436.4593618946399260      0.0026519
    -435.8572537032252399     -0.0096582
    -435.2551430896595548     -0.0036412
    -434.6530300540094345      0.0024916
    -434.0509145962749358      0.0112362
    -433.4487967163562416     -0.0119814
    -432.8466764142531815     -0.0103714
    -432.2445536900324328      0.0044904
    -431.6424285436274317     -0.0018710
    -431.0403009750049250     -0.0140196
    -430.4381709840982353      0.0116285
    -429.8360385710405467     -0.0092549
    -429.2339037357320990      0.0052520
    -428.6317664781061580     -0.0100581
    -428.0296267982627114      0.0053645
    -427.4274846961351386     -0.0097281
    -426.8253401716901294      0.0091113
    -426.2231932248945441      0.0068678
    -425.6210438557814086     -0.0017864
    -425.0188920643510073     -0.0034059
    -424.4167378505365491     -0.0121491
    -423.8145812143048943     -0.0060224
    -423.2124221557558030      0.0091681
    -422.6102606747561481     -0.0005508
    -422.0080967713725499     -0.0014765
    -421.4059304454718244     -0.0006205
    -420.8037616971871557      0.0036563
    -420.2015905264519233      0.0191329
    -419.5994169331663102     -0.0099623
    -418.9972409174635004      0.0060167
    -418.3950624792102531     -0.0059586
    -417.7928816184731318      0.0017075
    -417.1906983351191798      0.0130449
    -416.5885126292812970      0.0216008
    -415.9863245008597801      0.0029114
    -415.3841339498545722      0.0168154
    -414.7819409762324767      0.0117640
    -414.1797455800266334     -0.0036886
    -413.5775477612038458     -0.0036234
    -412.9753475197308603     -0.0043879
    -412.3731448555409997      0.0034252
    -411.7709397687675050      0.0053238
    -411.1687322592772489     -0.0003725
    -410.5665223270368074     -0.0099663
    -409.9643099721794783      0.0045869
    -409.3620951945387674     -0.0093398
    -408.7598779941812381     -0.0197463
    -408.1576583710070736     -0.0067799
    -407.5554363251160908      0.0217192
    -406.9532118564416692      0.0004264
    -406.3509849649839225     -0.0025577
    -405.7487556506430337     -0.0002492
    -405.1465239135186494     -0.0036657
    -404.5442897535443763      0.0149825
    -403.9420531707201576      0.0030729
    -403.3398141649794297      0.0114211
    -402.7375727363887563     -0.0020562
    -402.1353288848815737      0.0017547
    -401.5330826104578819      0.0073478
    -400.9308339130844274     -0.0073591
    -400.3285827927944069      0.0027466
    -399.7263292495213136     -0.0079913
    -399.1240732832319509     -0.0044787
    -398.5218148940259653      0.0134655
    -397.9195540818036534     -0.0044403
    -397.3172908465317619      0.0071047
    -396.7150251882101202      0.0089077
    -396.1127571068722091      0.0142847
    -395.5104866024846046      0.0000648
    -394.9082136750141103     -0.0059037
    -394.3059383243941056      0.0109590
    -393.7036605506912110     -0.0014407
    -393.1013803539053129     -0.0006461
    -392.4990977339699043      0.0137040
    -391.8968126908185354      0.0070695
    -391.2945252245841630      0.0005980
    -390.6922353351337733      0.0064353
    -390.0899430224339994     -0.0094450
    -389.4876482865847720      0.0029392
    -388.8853511275194705     -0.0003050
    -388.2830515452048417      0.0084403
    -387.6807495396075751      0.0148353
    -387.0784451107609243     -0.0019947
    -386.4761382586649461     -0.0025481
    -385.8738289832530199     -0.0134084
    -385.2715172844586959     -0.0021981
    -384.6692031624149308      0.0023371
    -384.0668866170220213      0.0274145
    -383.4645676482466570     -0.0013139
    -382.8622462560887811     -0.0012355
    -382.2599224405485074     -0.0114298
    -381.6575962016588619      0.0010516
    -381.0552675392870583     -0.0189895
    -380.4529364534994329     -0.0132799
    -379.8506029442960426     -0.0003828
    -379.2482670116435770      0.0162056
    -378.6459286554754726      0.0035738
    -378.0435878758250965      0.0095387
    -377.4412446727257020      0.0083705
    -376.8388990460773584     -0.0060973
    -376.2365509958468124      0.0015793
    -375.6342005221006843     -0.0138594
    -375.0318476248389175     -0.0060435
    -374.4294923039616947      0.0007413
    -373.8271345594690160     -0.0004937
    -373.2247743913941918      0.0047304
    -372.6224117997370513      0.0224232
    -372.0200467843647516     -0.0020604
    -371.4176793454101926     -0.0085478
    -370.8153094827736709     -0.0171130
    -370.2129371964550160     -0.0019893
    -369.6105624864210881     -0.0056600
    -369.0081853527051408      0.0079398
    -368.4058057952738636     -0.0132384
    -367.8034238141272567      0.0097799
    -367.2010394091655030      0.0031664
    -366.5986525804551661      0.0054220
    -365.9962633279961892      0.0078274
    -365.3938716517553758     -0.0079672
    -364.7914775516327950      0.0040845
    -364.1890810277283208     -0.0015033
    -363.5866820800086998      0.0065766
    -362.9842807084073684      0.0196269
    -362.3818769128909594      0.0036014
    -361.7794706935594036     -0.0141862
    -361.1770620503128271      0.0085616
    -360.5746509831179765     -0.0011250
    -359.9722374920413586      0.0071369
    -359.3698215770164666     -0.0030495
    -358.7674032380432436     -0.0027166
    -358.1649824750551829     -0.0126185
    -357.5625592881187913     -0.0173454
    -356.9601336771675619     -0.0165456
    -356.3577056422346914     -0.0092878
    -355.7552751831871660      0.0013371
    -355.1528423001580563     -0.0098076
    -354.5504069930807418     -0.0102809
    -353.9479692619220259      0.0018480
    -353.3455291066485984     -0.0071108
    -352.7430865272936558     -0.0134647
    -352.1406415238240584     -0.0009441
    -351.5381940961732425     -0.0005706
    -350.9357442444408548     -0.0004930
    -350.3332919685272486     -0.0107446
    -349.7308372684323672     -0.0106595
    -349.1283801441228434     -0.0038298
    -348.5259205956321011      0.0084935
    -347.9234586229600836     -0.0039615
    -347.3209942260068601      0.0058274
    -346.7185274047725443      0.0006445
