Scan:     29   RXJ0053.7+2232 2015-10-21 +03 41 32.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -549.0045374277401606     -0.0203044
    -548.4028890069331510     -0.0107971
    -547.8012381668377202      0.0106968
    -547.1995849073870204      0.0122247
    -546.5979292285811653      0.0067398
    -545.9962711304534650     -0.0036933
    -545.3946106129372993     -0.0147949
    -544.7929476760326679      0.0056638
    -544.1912823197396847     -0.0014808
    -543.5896145440582359      0.0100433
    -542.9879443489217010      0.0074831
    -542.3862717343301938      0.0072092
    -541.7845967002837142      0.0065585
    -541.1829192467489520      0.0023204
    -540.5812393737256798      0.0052508
    -539.9795570812476626      0.0287169
    -539.3778723692479389      0.0190995
    -538.7761852376935394     -0.0040945
    -538.1744956866173197      0.0054399
    -537.5728037159530004      0.0004834
    -536.9711093257340053      0.0072441
    -536.3694125159266832     -0.0068344
    -535.7677132865312615      0.0031389
    -535.1660116374811196     -0.0188036
    -534.5643075688428780      0.0134823
    -533.9626010805166061     -0.0089142
    -533.3608921725023038     -0.0081126
    -532.7591808448667052      0.0172288
    -532.1574670975096524      0.0054134
    -531.5557509304646828     -0.0061563
    -530.9540323436986000     -0.0104822
    -530.3523113372109492      0.0067825
    -529.7505879109688749     -0.0026931
    -529.1488620649389532     -0.0049515
    -528.5471337991544942      0.0192327
    -527.9454031135821879     -0.0037338
    -527.3436700081887238     -0.0220391
    -526.7419344829741021      0.0009580
    -526.1401965379384364     -0.0105930
    -525.5384561729817960     -0.0142064
    -524.9367133882038843      0.0072229
    -524.3349681835716183      0.0016776
    -523.7332205590183776     -0.0033885
    -523.1314705145774724     -0.0071624
    -522.5297180501822822     -0.0177824
    -521.9279631658661174     -0.0018237
    -521.3262058615957812     -0.0023326
    -520.7244461373710465      0.0007921
    -520.1226839931588302      0.0002316
    -519.5209194289257084     -0.0059155
    -518.9191524447051052      0.0104015
    -518.3173830404303999     -0.0158785
    -517.7156112161014789      0.0052490
    -517.1138369717517662     -0.0028341
    -516.5120603073147549     -0.0149220
    -515.9102812228235280     -0.0053236
    -515.3084997182116922     -0.0080510
    -514.7067157934791339     -0.0103761
    -514.1049294486258532     -0.0085591
    -513.5031406836519636     -0.0108729
    -512.9013494984908448      0.0034379
    -512.2995558931756932      0.0022912
    -511.6977598676400021      0.0021319
    -511.0959614219503919     -0.0028357
    -510.4941605560068751     -0.0006101
    -509.8923572698429325      0.0098517
    -509.2905515633918299      0.0099233
    -508.6887434367202445      0.0112528
    -508.0869328897614423      0.0094894
    -507.4851199225489609      0.0129104
    -506.8833045350160091      0.0067910
    -506.2814867271627577      0.0120572
    -505.6796664989557257     -0.0072651
    -505.0778438504283372     -0.0052894
    -504.4760187815473387     -0.0033807
    -503.8741912922793631     -0.0012746
    -503.2723613825911571      0.0111781
    -502.6705290525159739      0.0088626
    -502.0686943020206172      0.0150585
    -501.4668571310716629     -0.0017812
    -500.8650175396692248      0.0103632
    -500.2631755278465562     -0.0047705
    -499.6613310955038401     -0.0039467
    -499.0594842427074695     -0.0000979
    -498.4576349693911652      0.0014951
    -497.8557832755214463     -0.0007932
    -497.2539291611316230      0.0103494
    -496.6520726262216954      0.0061328
    -496.0502136706918463      0.0050398
    -495.4483522946086396     -0.0054343
    -494.8464884979387648      0.0017373
    -494.2446222806489686      0.0112048
    -493.6427536426726874     -0.0015393
    -493.0408825841429916     -0.0023563
    -492.4390091049267539     -0.0031247
    -491.8371332050241449      0.0097049
    -491.2352548844681905      0.0057299
    -490.6333741432258080      0.0124018
    -490.0314909812302631     -0.0048129
    -489.4296053985482899     -0.0051563
    -488.8277173950799579      0.0028494
    -488.2258269708918306      0.0080696
    -487.6239341259174012      0.0027072
    -487.0220388601564991      0.0026693
    -486.4201411736092950     -0.0194997
    -485.8182410661759150     -0.0120505
    -485.2163385379894294      0.0068016
    -484.6144335889167678     -0.0087501
    -484.0125262190244371     -0.0085146
    -483.4106164282459304     -0.0038823
    -482.8087042165811908      0.0000261
    -482.2067895839969651     -0.0021736
    -481.6048725305265634      0.0023925
    -481.0029530561033084     -0.0022642
    -480.4010311607273707     -0.0000625
    -479.7991068443985796      0.0059518
    -479.1971801071171058      0.0121180
    -478.5952509488162718     -0.0042696
    -477.9933193694960210     -0.0113553
    -477.3913853691564668     -0.0015159
    -476.7894489477976094     -0.0023865
    -476.1875101053860817     -0.0118630
    -475.5855688419219405      0.0016328
    -474.9836251573719323     -0.0039973
    -474.3816790517359436     -0.0072634
    -473.7797305250140880     -0.0008239
    -473.1777795771397450     -0.0117049
    -472.5758262081462249     -0.0059964
    -471.9738704180002173      0.0148927
    -471.3719122066684690     -0.0046157
    -470.7699515741842333     -0.0083338
    -470.1679885204809466     -0.0078923
    -469.5660230455253554     -0.0014951
    -468.9640551494172769      0.0036776
    -468.3620848320568371     -0.0027115
    -467.7601120934440928      0.0001017
    -467.1581369335457339      0.0019714
    -466.5561593523951274      0.0043155
    -465.9541793499255391      0.0050041
    -465.3521969261370828      0.0019769
    -464.7502120810297015      0.0204306
    -464.1482248146035090      0.0008840
    -463.5462351267918280      0.0014963
    -462.9442430176279117     -0.0030776
    -462.3422484870785638     -0.0026240
    -461.7402515350771637      0.0000221
    -461.1382521617236421     -0.0050995
    -460.5362503669180683      0.0020674
    -459.9342461506604423      0.0162940
    -459.3322395129841311      0.0027058
    -458.7302304538224575      0.0002781
    -458.1282189731422250      0.0001974
    -457.5262050710098833      0.0093171
    -456.9241887473257293      0.0014153
    -456.3221700021230163      0.0025844
    -455.7201488353683203     -0.0108143
    -455.1181252470618119      0.0007282
    -454.5160992371701241     -0.0029240
    -453.9140708056932567     -0.0018472
    -453.3120399525647031     -0.0013602
    -452.7100066778842802     -0.0069665
    -452.1079709815521142     -0.0116361
    -451.5059328635681482      0.0031896
    -450.9038923239324959     -0.0047995
    -450.3018493626118470      0.0057872
    -449.6998039796062017     -0.0034843
    -449.0977561748822495      0.0051688
    -448.4957059484732440     -0.0032718
    -447.8936533002793681      0.0018749
    -447.2915982303672422      0.0008262
    -446.6895407386701891      0.0089693
    -446.0874808252216326      0.0017181
    -445.4854184899215852      0.0036187
    -444.8833537328367242     -0.0057392
    -444.2812865539669360     -0.0072502
    -443.6792169532457706     -0.0000007
    -443.0771449306398608      0.0001005
    -442.4750704862158273     -0.0012987
    -441.8729936198737960      0.0001317
    -441.2709143316469635      0.0084957
    -440.6688326215022471      0.0003335
    -440.0667484894727863     -0.0036635
    -439.4646619354587074     -0.0004540
    -438.8625729594933773      0.0018676
    -438.2604815615767961      0.0011106
    -437.6583877416090331     -0.0060345
    -437.0562914997232724      0.0074057
    -436.4541928357863867     -0.0074698
    -435.8520917498649965     -0.0072572
    -435.2499882418590573     -0.0057282
    -434.6478823118020500      0.0023342
    -434.0457739596939746      0.0013030
    -433.4436631855014070      0.0111803
    -432.8415499891911509     -0.0042490
    -432.2394343707632061     -0.0025378
    -431.6373163302175158     -0.0002738
    -431.0351958675209403     -0.0053340
    -430.4330729826733091     -0.0034921
    -429.8309476756081153     -0.0011682
    -429.2288199463919796      0.0034338
