Scan:     22 RXSJ011848.2+383 2015-10-21 +02 22 53.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -522.5164220905132879     -0.0091761
    -521.9146825123488043     -0.0069947
    -521.3129405142965425      0.0136380
    -520.7111960964565469      0.0086525
    -520.1094492587620834      0.0006449
    -519.5077000011798418     -0.0013465
    -518.9059483237100494      0.0062935
    -518.3041942263191686      0.0022536
    -517.7024377090406233      0.0011230
    -517.1006787718077931     -0.0066185
    -516.4989174146539881     -0.0028843
    -515.8971536374793914      0.0028973
    -515.2953874403838199     -0.0147134
    -514.6936188232673430     -0.0121462
    -514.0918477861633846      0.0016073
    -513.4900743290052105     -0.0034665
    -512.8882984518595549      0.0203309
    -512.2865201546597973     -0.0040617
    -511.6847394373726843     -0.0004075
    -511.0829562999981022     -0.0150910
    -510.4811707425361647      0.0126941
    -509.8793827650200683     -0.0048975
    -509.2775923673500529      0.0093174
    -508.6757995495260047     -0.0027660
    -508.0740043115147841     -0.0094660
    -507.4722066534161513     -0.0094206
    -506.8704065750969221     -0.0035120
    -506.2686040765905204      0.0047467
    -505.6667991578302690      0.0249837
    -505.0649918189160417      0.0068492
    -504.4631820597479646      0.0006853
    -503.8613698802928411     -0.0095046
    -503.2595552805506145      0.0027790
    -502.6577382605878483      0.0022148
    -502.0559188203046688      0.0107127
    -501.4540969597344429     -0.0138354
    -500.8522726788104933     -0.0192833
    -500.2504459774996235      0.0005393
    -499.6486168559016505      0.0075244
    -499.0467853139167573      0.0026095
    -498.4449513515448871     -0.0084929
    -497.8431149687194761     -0.0117386
    -497.2412761655404552     -0.0000884
    -496.6394349419410901     -0.0044018
    -496.0375912978882980      0.0119376
    -495.4357452333154015      0.0242914
    -494.8338967483222177      0.0096980
    -494.2320458428756069     -0.0090903
    -493.6301925168755815     -0.0174897
    -493.0283367703887620     -0.0086253
    -492.4264786033152745      0.0039699
    -491.8246180157549929      0.0186298
    -491.2227550076413536     -0.0102492
    -490.6208895789409894     -0.0140709
    -490.0190217295874504     -0.0142342
    -489.4171514596805537     -0.0080653
    -488.8152787691870458      0.0137948
    -488.2134036580402494     -0.0055678
    -487.6115261261736578      0.0009327
    -487.0096461737204550      0.0004488
    -486.4077638005807671     -0.0143414
    -485.8058790067545374     -0.0083034
    -485.2039917922418226     -0.0052107
    -484.6021021569094387     -0.0095819
    -484.0002101009238231     -0.0123067
    -483.3983156241852157     -0.0096090
    -482.7964187266935028     -0.0011360
    -482.1945194083488104     -0.0130938
    -481.5926176692843228     -0.0087405
    -480.9907135093670263     -0.0200818
    -480.3888069286632572     -0.0063364
    -479.7868979270733689     -0.0034964
    -479.1849865046637547     -0.0024003
    -478.5830726614012747     -0.0062268
    -477.9811563972526187      0.0176143
    -477.3792377122177299     -0.0002953
    -476.7773166061967345     -0.0097598
    -476.1753930793228733      0.0070210
    -475.5734671314962156     -0.0065641
    -474.9715387627168184      0.0034379
    -474.3696079729180042     -0.0100299
    -473.7676747621997606     -0.0054578
    -473.1657391304621569      0.0130389
    -472.5638010777052500      0.0225158
    -471.9618606038956727      0.0096787
    -471.3599177091000456      0.0121500
    -470.7579723932185516      0.0080226
    -470.1560246562843872     -0.0063010
    -469.5540744981977355      0.0007438
    -468.9521219190917805      0.0060058
    -468.3501669188333381     -0.0068892
    -467.7482094974556617     -0.0140001
    -467.1462496549588650     -0.0036816
    -466.5442873912097070     -0.0005433
    -465.9423227063746253      0.0054185
    -465.3403556003205495     -0.0050698
    -464.7383860730806759      0.0046011
    -464.1364141245884980     -0.0032225
    -463.5344397548772122      0.0092658
    -462.9324629639469890      0.0047956
    -462.3304837517643477     -0.0148055
    -461.7285021182295850     -0.0044905
    -461.1265180634757712      0.0029032
    -460.5245315874030325      0.0009525
    -459.9225426900114257      0.0095862
    -459.3205513712676407     -0.0035016
    -458.7185576311384239      0.0013366
    -458.1165614697235355      0.0052783
    -457.5145628868899621     -0.0071322
    -456.9125618826708433     -0.0127703
    -456.3105584570330961     -0.0001719
    -455.7085526099764934      0.0143027
    -455.1065443415012055      0.0209052
    -454.5045336515738654      0.0069630
    -453.9025205401279663      0.0213049
    -453.3005050072632685      0.0057807
    -452.6984870528800684      0.0103006
    -452.0964666770114491      0.0030981
    -451.4944438796243276      0.0066420
    -450.8924186606186595      0.0014377
    -450.2903910201277426      0.0079708
    -449.6883609580516463      0.0187849
    -449.0863284744236807      0.0217209
    -448.4842935691106618      0.0161780
    -447.8822562422791407      0.0051622
    -447.2802164937958196      0.0040292
    -446.6781743236608122      0.0102304
    -446.0761297318407514     -0.0030533
    -445.4740827183688907      0.0026070
    -444.8720332832454005      0.0141530
    -444.2699814264036036      0.0142426
    -443.6679271478434998      0.0152630
    -443.0658704475318359      0.0150149
    -442.4638113255018084      0.0062436
    -441.8617497817202775      0.0145937
    -441.2596858161871296      0.0074885
    -440.6576194287692374      0.0171700
