Scan:    605 RXSJ225148.5+341 2015-10-27 +21 26 58.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -522.5298045744227693      0.0009696
    -521.9280495257851271     -0.0070026
    -521.3262920571933137     -0.0031304
    -520.7245321685473982      0.0035989
    -520.1227698600138183     -0.0160656
    -519.5210051314593329     -0.0175711
    -518.9192379828840558     -0.0130808
    -518.3174684142214801     -0.0203621
    -517.7156964256045057     -0.0123198
    -517.1139220169001192      0.0035877
    -516.5121451881416306     -0.0083298
    -515.9103659392292229     -0.0012041
    -515.3085842702627133     -0.0029889
    -514.7068001812087914     -0.0013603
    -514.1050136720009505     -0.0244226
    -513.5032247426057666     -0.0073602
    -512.9014333931231704     -0.0082484
    -512.2996396234533449     -0.0064002
    -511.6978434335297834     -0.0055319
    -511.0960448234521891      0.0129301
    -510.4942437931540553      0.0048838
    -509.8924403426354388     -0.0010039
    -509.2906344718296623      0.0054630
    -508.6888261808034031     -0.0237969
    -508.0870154694900407     -0.0161192
    -507.4852023379228285     -0.0106599
    -506.8833867859686961     -0.0174238
    -506.2815688137274606      0.0002838
    -505.6797484211991218     -0.0025453
    -505.0779256082838060     -0.0024749
    -504.4761003749815131     -0.0102591
    -503.8742727213256103     -0.0089901
    -503.2724426472827304      0.0041300
    -502.6706101527863666      0.0063493
    -502.0687752379362792      0.0049842
    -501.4669379026327078      0.0034612
    -500.8650981468755958     -0.0106892
    -500.2632559705984363     -0.0004408
    -499.6614113739009895     -0.0096985
    -499.0595643566834951      0.0084627
    -498.4577149189792067     -0.0096321
    -497.8558630607215605     -0.0080316
    -497.2540087819437531      0.0004200
    -496.6521520826126448     -0.0069429
    -496.0502929626616151      0.0074481
    -495.4484314221903674      0.0123654
    -494.8465674611326222      0.0117268
    -494.2447010794548419     -0.0007521
    -493.6428322770906334      0.0031484
    -493.0409610541397001     -0.0045453
    -492.4390874105355920      0.0027082
    -491.8372113462449420     -0.0101799
    -491.2353328612345535     -0.0162654
    -490.6334519555708766     -0.0022277
    -490.0315686291874613     -0.0092143
    -489.4296828820842507      0.0055623
    -488.8277947141946811      0.0087345
    -488.2259041255853163     -0.0005352
    -487.6240111162229027     -0.0141150
    -487.0221156860075666      0.0022881
    -486.4202178350391250      0.0018092
    -485.8183175632510711      0.0039905
    -485.2164148706433480     -0.0005163
    -484.6145097571161955      0.0050593
    -484.0126022228026272      0.0102707
    -483.4106922676028830     -0.0019506
    -482.8087798915169628     -0.0120587
    -482.2068650944781893     -0.0006569
    -481.6049478765864933     -0.0053567
    -481.0030282377421145      0.0040758
    -480.4011061779116289     -0.0047052
    -479.7991816971616572     -0.0126400
    -479.1972547954256356      0.0028034
    -478.5953254727035642      0.0155976
    -477.9933937289288224      0.0081530
    -477.3914595641680876      0.0092402
    -476.7895229783879358      0.0062693
    -476.1875839715552274     -0.0008245
    -475.5856425436365384      0.0117690
    -474.9836986946319826     -0.0057029
    -474.3817524245748132      0.0125023
    -473.7798037333984666      0.0183067
    -473.1778526210363225     -0.0160775
    -472.5758990876216217      0.0019007
    -471.9739431330210664     -0.0121678
    -471.3719847572015169      0.0045541
    -470.7700239602627903      0.0095142
    -470.1680607421382661      0.0029757
    -469.5660951027946908      0.0092380
    -468.9641270421655577     -0.0017649
    -468.3621565603506269     -0.0003040
    -467.7601836572833918     -0.0001305
    -467.1582083329305988     -0.0049090
    -466.5562305872588240     -0.0073358
    -465.9542504203679982     -0.0017184
    -465.3522678321250510      0.0179427
    -464.7502828225631788     -0.0052179
    -464.1482953916158749     -0.0033132
    -463.5463055393496461      0.0051776
    -462.9443132657312390      0.0119260
    -462.3423185706608365      0.0129780
    -461.7403214542382557      0.0061331
    -461.1383219164301863      0.0002563
    -460.5363199571701216     -0.0051604
    -459.9343155763913842      0.0005191
    -459.3323087742272719      0.0051071
    -458.7302995506111074     -0.0032144
    -458.1282879054763271     -0.0117023
    -457.5262738387896775     -0.0206961
    -456.9242573506510325      0.0070006
    -456.3222384409604615     -0.0013944
    -455.7202171096847110      0.0041828
    -455.1181933568904014     -0.0014925
    -454.5161671825442227      0.0025704
    -453.9141385865796110     -0.0063105
    -453.3121075689631994      0.0067754
    -452.7100741297949753      0.0005298
    -452.1080382689750081     -0.0024211
    -451.5059999865032978     -0.0110567
    -450.9039592823465341     -0.0033312
    -450.3019161565381410     -0.0058114
    -449.6998706090446376     -0.0029326
    -449.0978226398328275     -0.0062387
    -448.4957722488695140      0.0018279
    -447.8937194361878937      0.0222888
    -447.2916642017879667     -0.0007230
    -446.6896065455366056     -0.0027636
    -446.0875464675669377      0.0037769
    -445.4854839678123994     -0.0169514
    -444.8834190462729907     -0.0099057
    -444.2813517028155843      0.0188090
    -443.6792819375733643      0.0078446
    -443.0772097505129068     -0.0051490
    -442.4751351415678187     -0.0061971
    -441.8730581106713657     -0.0061964
    -441.2709786579235356      0.0042489
