Scan:    530 SDSSJ001847.44+3 2015-10-27 +06 05 00.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -522.5283565731027693     -0.0192848
    -521.9266031565290405      0.0056188
    -521.3248473200009130     -0.0250149
    -520.7230890635186142     -0.0145796
    -520.1213283870487203     -0.0017070
    -519.5195652906578516      0.0099906
    -518.9177997741795707      0.0075896
    -518.3160318377470048      0.0037331
    -517.7142614812936472     -0.0036007
    -517.1124887047528773     -0.0064341
    -516.5107135081913157     -0.0087244
    -515.9089358915090315      0.0021801
    -515.3071558548059556     -0.0045658
    -514.7053733979155368     -0.0047331
    -514.1035885210044398     -0.0100732
    -513.5018012238726897      0.0022244
    -512.9000115066535272     -0.0177986
    -512.2982193692139390     -0.0114237
    -511.6964248116868816     -0.0145893
    -511.0946278339392848     -0.0238496
    -510.4928284359378949     -0.0095784
    -509.8910266177824724     -0.0027636
    -509.2892223793067501     -0.0040912
    -508.6874157206769951     -0.0057633
    -508.0856066417269403     -0.0182033
    -507.4837951425230358     -0.0203945
    -506.8819812229987178     -0.0158145
    -506.2801648832205501     -0.0115287
    -505.6783461230555190     -0.0115850
    -505.0765249426033847     -0.0022136
    -504.4747013417974699      0.0074852
    -503.8728753206046918     -0.0198897
    -503.2710468790582468     -0.0037019
    -502.6692160170583179     -0.0024009
    -502.0673827347379188     -0.0263636
    -501.4655470319307824     -0.0011317
    -500.8637089087033587     -0.0056869
    -500.2618683649891977     -0.0188676
    -499.6600254008880029     -0.0077841
    -499.0581800162334503     -0.0057558
    -498.4563322111254138     -0.0090505
    -497.8544819854640195      0.0157732
    -497.2526293393158312     -0.0100989
    -496.6507742726142283      0.0073587
    -496.0489167853592676      0.0099900
    -495.4470568775509491      0.0054445
    -494.8451945490893991     -0.0017852
    -494.2433298001077446     -0.0060407
    -493.6414626304729154     -0.0096363
    -493.0395930402181079      0.0021072
    -492.4377210293101257      0.0036857
    -491.8358465977821652      0.0087866
    -491.2339697455344094      0.0153104
    -490.6320904726334788     -0.0065022
    -490.0302087790460064     -0.0075339
    -489.4283246647054852      0.0068353
    -488.8264381296451688      0.0020872
    -488.2245491738317469     -0.0062603
    -487.6226577972986433     -0.0099992
    -487.0207639999125036      0.0063701
    -486.4188677818399356     -0.0092537
    -485.8169691428810779      0.0024231
    -485.2150680831359182     -0.0131834
    -484.6131646025378359     -0.0044624
    -484.0112587011533947     -0.0084033
    -483.4093503788827206     -0.0084209
    -482.8074396356925604     -0.0044481
    -482.2055264716495344     -0.0102075
    -481.6036108866537120      0.0101873
    -481.0016928808049670      0.0285631
    -480.3997724539701153      0.0228652
    -479.7978496062158342     -0.0071276
    -479.1959243374754465     -0.0002450
    -478.5939966477823191     -0.0029102
    -477.9920665370698316     -0.0405028
    -477.3901340053712943     -0.0205425
    -476.7881990526201434     -0.0051547
    -476.1862616788829428     -0.0128871
    -475.5843218840931286      0.0043454
    -474.9823796681840236     -0.0014487
    -474.3804350312557290     -0.0103553
    -473.7784879731415231     -0.0040359
    -473.1765384940080708      0.0009490
    -472.5745865936888208      0.0128875
    -471.9726322722837040      0.0077905
    -471.3706755296594793      0.0047438
    -470.7687163659161342     -0.0017342
    -470.1667547809537382     -0.0089666
    -469.5647907748387979      0.0028661
    -468.9628243475381737     -0.0012338
    -468.3608554989186246      0.0021756
    -467.7588842291133346     -0.0010244
    -467.1569105380224300     -0.0255159
    -466.5549344257124744     -0.0169916
    -465.9529558920502836      0.0004813
    -465.3509749371359021     -0.0097150
    -464.7489915608692286      0.0037604
    -464.1470057633169972      0.0009617
    -463.5450175443792205     -0.0151805
    -462.9430269041226893     -0.0001955
    -462.3410338425138661      0.0161081
    -461.7390383594531045     -0.0089914
    -461.1370404550400508     -0.0136143
    -460.5350401291417484      0.0160896
    -459.9330373818912676      0.0098288
    -459.3310322131222279     -0.0085288
    -458.7290246229676995      0.0072176
    -458.1270146112612451      0.0024329
    -457.5250021781361625     -0.0024178
    -456.9229873234590400      0.0091745
    -456.3209700472967256     -0.0213254
    -455.7189503496157954     -0.0182479
    -455.1169282303164323      0.0031959
    -454.5149036895317067      0.0170915
    -453.9128767270952949      0.0035301
    -453.3108473431070138     -0.0056245
    -452.7088155375001861     -0.0113630
    -452.1067813103082358     -0.0010631
    -451.5047446613980355     -0.0073764
    -450.9027055909359660     -0.0080235
    -450.3006640987222795      0.0083469
    -449.6986201848901601      0.0123586
    -449.0965738493064237      0.0011563
    -448.4945250920710578      0.0090243
    -447.8924739131173283     -0.0027797
    -447.2904203123786715     -0.0132510
    -446.6883642899218216     -0.0061680
    -446.0863058456800445     -0.0130371
    -445.4842449796867072     -0.0050188
    -444.8821816918419358      0.0060938
    -444.2801159822122941     -0.0022052
    -443.6780478507312182     -0.0001431
    -443.0759772974652719     -0.0050987
    -442.4739043223146382      0.0021476
    -441.8718289253125704      0.0090021
    -441.2697511064257583     -0.0109767
