Scan:    457          UGC1098 2015-10-24 +06 10 11.0
         OPTICAL                 Tb    
        km/s-LSR                 I
    -522.5305738125041444      0.0134916
    -521.9288179022195209      0.0044090
    -521.3270595719473022      0.0096627
    -520.7252988217209122      0.0165329
    -520.1235356514736168     -0.0039056
    -519.5217700612720364     -0.0037269
    -518.9200020510496643     -0.0016287
    -518.3182316207398799     -0.0030930
    -517.7164587704426140      0.0070197
    -517.1146835000245119      0.0126387
    -516.5129058095857317     -0.0149328
    -515.9111256990261154     -0.0193617
    -515.3093431683460039      0.0030428
    -514.7075582175450563      0.0049567
    -514.1057708465901896     -0.0099409
    -513.5039810555479107      0.0119208
    -512.9021888443185162      0.0204939
    -512.3003942128351582     -0.0015154
    -511.6985971612311346      0.0043321
    -511.0967976893733180      0.0282456
    -510.4949957973282153      0.0070460
    -509.8931914850626299      0.0072204
    -509.2913847524766879      0.0199118
    -508.6895755996701496      0.0069933
    -508.0877640265432547     -0.0072580
    -507.4859500331625668      0.0006899
    -506.8841336194614655      0.0014164
    -506.2823147854066406     -0.0038682
    -505.6804935310315159      0.0006924
    -505.0786698562693573     -0.0035955
    -504.4768437611869558      0.0014169
    -503.8750152456842102     -0.0017979
    -503.2731843097612341     -0.0012949
    -502.6713509534845912      0.0024858
    -502.0695151767211541      0.0121398
    -501.4676769795707401     -0.0004310
    -500.8658363619335319     -0.0230419
    -500.2639933238095864     -0.0075974
    -499.6621478652321002     -0.0001450
    -499.0602999861011995      0.0020318
    -498.4584496864835614      0.0142365
    -497.8565969663458191      0.0110931
    -497.2547418256213518     -0.0101272
    -496.6528842644101474     -0.0121258
    -496.0510242825456544     -0.0084552
    -495.4491618801278605     -0.0069490
    -494.8472970571233986      0.0013382
    -494.2454298134657620     -0.0096183
    -493.6435601491880902     -0.0274135
    -493.0416880642572437     -0.0088469
    -492.4398135586732224      0.0088751
    -491.8379366324359125      0.0078027
    -491.2360572854455540      0.0138449
    -490.6341755178019639      0.0224020
    -490.0322913294053251      0.0014579
    -489.4304047202888910     -0.0217991
    -488.8285156904526616     -0.0128580
    -488.2266242397634528      0.0097221
    -487.6247303683878158      0.0166314
    -487.0228340761260029      0.0218010
    -486.4209353631443378     -0.0132333
    -485.8190342293097501     -0.0150677
    -485.2171306746222967      0.0068428
    -484.6152246991151742      0.0065379
    -484.0133163026552552      0.0098604
    -483.4114054854090341      0.0065200
    -482.8094922472432131      0.0012040
    -482.2075765881247094      0.0099616
    -481.6056585081532830     -0.0110056
    -481.0037380071624398     -0.0182739
    -480.4018150852855342     -0.0020554
    -479.7998897423558446      0.0065690
    -479.1979619785067825      0.0170846
    -478.5960317936716137     -0.0080909
    -477.9940991877838314      0.0062142
    -477.3921641609099424      0.0090953
    -476.7902267129169331     -0.0046885
    -476.1882868439378171      0.0021825
    -475.5863445538728342     -0.0035315
    -474.9843998426886174     -0.0159940
    -474.3824527104518438     -0.0125314
    -473.7805031570625260     -0.0056283
    -473.1785511825873414      0.0032670
    -472.5765967869263591      0.0067955
    -471.9746399701129462     -0.0000185
    -471.3726807321469892     -0.0048271
