Scan:      7         UGC12163 2015-10-20 +23 35 16.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -522.5294931147893749     -0.0110934
    -521.9277385099893536     -0.0045356
    -521.3259814852349336     -0.0116151
    -520.7242220404931459     -0.0144613
    -520.1224601757969594     -0.0214798
    -519.5206958911466018     -0.0110504
    -518.9189291864420284     -0.0063971
    -518.3171600617166632     -0.0181685
    -517.7153885169371961     -0.0137729
    -517.1136145521035132      0.0070523
    -516.5118381672158421     -0.0038527
    -515.9100593622407587     -0.0026556
    -515.3082781371782630     -0.0008350
    -514.7064944919950449     -0.0003774
    -514.1047084266912179     -0.0085238
    -513.5029199412333583     -0.0045605
    -512.9011290356215795     -0.0065138
    -512.2993357098557681     -0.0068324
    -511.6975399639360376     -0.0039210
    -511.0957417977624573     -0.0040289
    -510.4939412114016477      0.0062852
    -509.8921382047870452     -0.0122976
    -509.2903327779519032     -0.0131116
    -508.6885249308296579     -0.0101822
    -508.0867146634535629     -0.0106130
    -507.4849019757903648     -0.0059474
    -506.8830868678068668     -0.0092191
    -506.2812693395362089      0.0160394
    -505.6794493909118273     -0.0002506
    -505.0776270219671460     -0.0059214
    -504.4758022326354876     -0.0070068
    -503.8739750229501624      0.0004887
    -503.2721453929111703      0.0022551
    -502.6703133424186376     -0.0018623
    -502.0684788715058744     -0.0244888
    -501.4666419801728807     -0.0325341
    -500.8648026683864032     -0.0003544
    -500.2629609361463849     -0.0003495
    -499.6611167834195726     -0.0205736
    -499.0592702102059093     -0.0151502
    -498.4574212164721985      0.0058071
    -497.8555698022183833      0.0058692
    -497.2537159674445206     -0.0044211
    -496.6518597121173002     -0.0119818
    -496.0500010362033549     -0.0150662
    -495.4481399398026156     -0.0065810
    -494.8462764227154480      0.0106051
    -494.2444104850415556     -0.0208731
    -493.6425421267477986     -0.0156420
    -493.0406713478007532      0.0030332
    -492.4387981482004761     -0.0007936
    -491.8369225279470811      0.0091201
    -491.2350444870070874      0.0183607
    -490.6331640253805517      0.0028141
    -490.0312811430343345      0.0075689
    -489.4293958399682651     -0.0001087
    -488.8275081161490903     -0.0003277
    -488.2256179716102338      0.0028650
    -487.6237254063182718     -0.0003095
    -487.0218304202065838     -0.0034545
    -486.4199330132753971     -0.0166938
    -485.8180331855577379     -0.0181589
    -485.2161309370204663     -0.0180591
    -484.6142262675970187     -0.0029998
    -484.0123191773539020      0.0008344
    -483.4104096662246093      0.0096402
    -482.8084977342091406     -0.0171308
    -482.2065833813073823     -0.0137388
    -481.6046666074861378     -0.0150638
    -481.0027474127122105     -0.0123276
    -480.4008257970186833      0.0027910
    -479.7989017603724733      0.0014402
    -479.1969753027734669     -0.0159091
    -478.5950464241550435     -0.0192758
    -477.9931151245506271     -0.0007185
    -477.3911814038936541     -0.0051382
    -476.7892452622172641      0.0043365
    -476.1873066995215140     -0.0084148
    -475.5853657157398970     -0.0048490
    -474.9834223108723563     -0.0106924
    -474.3814764849188919      0.0171676
    -473.7795282378795036      0.0075604
    -473.1775775697209951     -0.0104158
    -472.5756244804099424     -0.0019132
    -471.9736689699464591      0.0030875
    -471.3717110383970521      0.0043046
    -470.7697506855953407     -0.0042107
    -470.1677879116078316     -0.0242422
    -469.5658227164013283     -0.0051776
    -468.9638551000090274     -0.0017125
    -468.3618850623311118     -0.0031774
    -467.7599126034341452     -0.0137782
    -467.1579377232848742     -0.0019609
    -466.5559604218166783     -0.0060409
    -465.9539806990629245     -0.0047887
    -465.3519985550234992      0.0097903
    -464.7500139896652627     -0.0177215
    -464.1480270029214807      0.0007200
    -463.5460375948588307      0.0090086
    -462.9440457654773695     -0.0013224
    -462.3420515146437424     -0.0081457
    -461.7400548424247404     -0.0085006
    -461.1380557488203067     -0.0016104
    -460.5360542337637639     -0.0030514
    -459.9340502972552258     -0.0049343
    -459.3320439392946923     -0.0070342
    -458.7300351598821067     -0.0119790
    -458.1280239589841585      0.0034571
    -457.5260103365677082      0.0007988
    -456.9239942926658387      0.0022234
    -456.3219758272121567     -0.0087268
    -455.7199549402066054     -0.0029929
    -455.1179316317157486      0.0029649
    -454.5159059016063452     -0.0070715
    -453.9138777498786226      0.0003912
    -453.3118471765656636      0.0018092
    -452.7098141816675820     -0.0110759
    -452.1077787650844471     -0.0112937
    -451.5057409268828792     -0.0015542
    -450.9037006670295682      0.0117648
    -450.3016579854913175     -0.0013992
    -449.6996128822679566      0.0060571
    -449.0975653573263457     -0.0049881
    -448.4955154106996815     -0.0003967
    -447.8934630423215140     -0.0039664
    -447.2914082521917294     -0.0029369
    -446.6893510403436380     -0.0124448
    -446.0872914066774229     -0.0074040
    -445.4852293511930270      0.0065897
    -444.8831648739237608      0.0144512
    -444.2810979748363707      0.0069209
    -443.6790286539307999     -0.0108729
    -443.0769569111405417     -0.0052894
    -442.4748827464988494      0.0186691
    -441.8728061600057231     -0.0047268
    -441.2707271515945990     -0.0063017
    -440.6686457212654773      0.0058299
    -440.0665618690183578      0.0101028
    -439.4644755948532406      0.0162760
    -438.8623868987700689     -0.0020678
    -438.2602957806690824     -0.0054392
    -437.6582022405835346     -0.0041251
    -437.0561062785134254      0.0019160
    -436.4540078944255015      0.0010273
    -435.8519070882863957      0.0037700
    -435.2498038601294184      0.0026925
    -434.6476982099213728     -0.0028526
    -434.0455901376622023      0.0156567
    -433.4434796432852863      0.0229877
    -432.8413667268239351      0.0153424
    -432.2392513882781486     -0.0057586
    -431.6371336275814770     -0.0004305
    -431.0350134447337496      0.0039588
    -430.4328908397682767      0.0013574
    -429.8307658125853550     -0.0049796
    -429.2286383632513775     -0.0056371
    -428.6265084916998944     -0.0111691
    -428.0243761978975385      0.0043799
    -427.4222414819109304      0.0021509
    -426.8201043436734494      0.0032717
    -426.2179647831518423      0.0091873
    -425.6158228003794761     -0.0070607
    -425.0136783952896735      0.0034855
    -424.4115315679157447     -0.0032787
    -423.8093823182244364     -0.0008524
    -423.2072306462156916      0.0067896
    -422.6050765518895105      0.0091507
    -422.0029200351461895      0.0029819
    -421.4007610960520651     -0.0006281
    -420.7985997345407441     -0.0190391
    -420.1964359506454798      0.0086663
    -419.5942697443329052      0.0053459
    -418.9921011155698238      0.0174128
    -418.3899300643561787      0.0105934
    -417.7877565906920267     -0.0026659
    -417.1855806945440008     -0.0025326
    -416.5834023759122147     -0.0117845
    -415.9812216347299909      0.0063364
    -415.3790384710640069      0.0000350
    -414.7768528848475285      0.0053071
    -414.1746648761473466      0.0055100
    -413.5724744448301635     -0.0018029
    -412.9702815908960361      0.0022373
    -412.3680863144114710      0.0094102
    -411.7658886152767082      0.0145017
    -411.1636884935582543      0.0007354
    -410.5614859491896027      0.0253207
    -409.9592809821373862      0.0148341
    -409.3570735924349151      0.0074386
    -408.7548637800489928     -0.0026567
    -408.1526515449795056     -0.0053905
    -407.5504368871932002     -0.0088667
    -406.9482198066567662      0.0230078
    -406.3460003034368242     -0.0028109
    -405.7437783774335571     -0.0041240
    -405.1415540286469081      0.0128327
    -404.5393272570435670      0.0169917
    -403.9370980626901542      0.0009989
    -403.3348664454868526      0.0095249
    -402.7326324054668021      0.0040771
    -402.1303959425968628     -0.0067100
    -401.5281570568769780      0.0000511
    -400.9259157483071476     -0.0127440
    -400.3236720168208080     -0.0032284
    -399.7214258624179024      0.0064389
    -399.1191772851317978      0.0033794
    -398.5169262848959875      0.0004217
    -397.9146728617436111     -0.0007658
    -397.3124170156081618      0.0031391
    -396.7101587464896397      0.0131632
    -396.1078980543879879      0.0009635
    -395.5056349392700099     -0.0109008
    -394.9033694011357056     -0.0022623
    -394.3011014399850183      0.0241439
    -393.6988310557514410      0.0173833
    -393.0965582484681704      0.0084090
    -392.4942830181352065      0.0092346
    -391.8920053646861561      0.0104716
    -391.2897252881207919     -0.0026331
    -390.6874427884392844      0.0033526
    -390.0851578656748302     -0.0016505
    -389.4828705196943019      0.0095856
    -388.8805807505642633     -0.0095340
    -388.2782885582515178     -0.0084610
    -387.6759939427558948      0.0011394
    -387.0736969040443114     -0.0008508
    -386.4713974421165972     -0.0021450
    -385.8690955569395555      0.0069651
    -385.2667912484798762     -0.0118297
    -384.6644845168041797      0.0102316
    -384.0621753618125354      0.0093941
    -383.4598637835382533      0.0089856
    -382.8575497819480233      0.0118592
    -382.2552333570086489      0.0075914
    -381.6529145088199471      0.0081152
    -381.0505932371821700     -0.0094582
    -380.4482695421951917      0.0189901
    -379.8459434238257018      0.0092781
    -379.2436148820738140      0.0194847
    -378.6412839168727942      0.0070530
    -378.0389505282560663     -0.0112560
    -377.4366147162236302     -0.0116630
    -376.8342764807087519     -0.0015105
    -376.2319358217116019     -0.0051165
    -375.6295927392321232     -0.0011897
    -375.0272472332369489      0.0069662
    -374.4248993037595596     -0.0060163
    -373.8225489507665316      0.0071691
    -373.2201961742245544      0.0078220
    -372.6178409740671214      0.0072936
    -372.0154833503607392      0.0051591
    -371.4131233030722683      0.0012405
    -370.8107608321683415     -0.0202187
    -370.2083959376489020     -0.0063619
    -369.6060286194807532     -0.0016215
    -369.0036588776970916      0.0087180
    -368.4012867122314105     -0.0004487
    -367.7989121230836531      0.0021723
    -367.1965351102538762     -0.0013848
    -366.5941556737088831     -0.0114862
    -365.9917738134485035      0.0051895
    -365.3893895295061043      0.0059975
    -364.7870028217485014      0.0046126
    -364.1846136902090620     -0.0025804
    -363.5822221349209826     -0.0019536
    -362.9798281558510666     -0.0078267
    -362.3774317529326936     -0.0155163
    -361.7750329261990601     -0.0025452
    -361.1726316756503934      0.0056692
    -360.5702280012198457     -0.0084844
    -359.9678219029409547     -0.0076479
    -359.3654133807802964      0.0042936
    -358.7630024347379276     -0.0157478
    -358.1605890647472279     -0.0002743
    -357.5581732709081280     -0.0145728
    -356.9557550530540766     -0.0044750
    -356.3533344112517511      0.0132214
    -355.7509113455012084      0.0068483
    -355.1484858557356574     -0.0074799
    -354.5460579419886358      0.0070541
    -353.9436276042267195      0.0097506
    -353.3411948424165985     -0.0052478
    -352.7387596565916397      0.0121165
    -352.1363220466852795      0.0100795
    -351.5338820127307145      0.0003240
    -350.9314395546614378     -0.0124106
    -350.3289946725107029      0.0094069
    -349.7265473663118769      0.0047324
    -349.1240976358984653     -0.0009326
    -348.5216454813370319     -0.0137222
    -347.9191909026275766      0.0250988
    -347.3167338997368461      0.0065677
    -346.7142744726648402     -0.0039385
    -346.1118126213783057      0.0039950
    -345.5093483459103822     -0.0110434
    -344.9068816461613665     -0.0131049
    -344.3044125221978220     -0.0033632
    -343.7019409739531284     -0.0057620
    -343.0994670014272288     -0.0002199
    -342.4969906046202368     -0.0028556
    -341.8945117834987855     -0.0093994
    -341.2920305380962418     -0.0043880
    -340.6895468683127319      0.0006006
    -340.0870607742147627     -0.0108069
    -339.4845722557025169      0.0059665
    -338.8820813128426153      0.0061191
    -338.2795879455683803      0.0068693
    -337.6770921539131791      0.0072876
    -337.0745939378103913     -0.0005818
    -336.4720932972600735      0.0146329
    -335.8695902322622260     -0.0109314
    -335.2670847428167349     -0.0050504
    -334.6645768288572071     -0.0086021
    -334.0620664904500927     -0.0125631
    -333.4595537275288279      0.0014120
    -332.8570385400602163      0.0116140
    -332.2545209280441441      0.0069970
    -331.6520008914807249     -0.0074758
    -331.0494784303365350     -0.0003626
    -330.4469535446116879      0.0079485
    -329.8444262342728734      0.0093941
    -329.2418964993533450      0.0047912
    -328.6393643397865958     -0.0092571
    -328.0368297555725690      0.0024790
    -327.4342927467112645     -0.0118141
    -326.8317533131694859      0.0070219
    -326.2292114549137523      0.0186102
    -325.6266671720108548     -0.0028121
    -325.0241204643941728     -0.0276830
    -324.4215713320302825     -0.0183033
    -323.8190197748861010      0.0094587
    -323.2164657930280214      0.0032770
    -322.6139093863562266      0.0095825
    -322.0113505549041406      0.0054103
    -321.4087892986715929      0.0115623
    -320.8062256175921334      0.0072226
