Scan:     16        ZW535.012 2015-10-21 +01 15 56.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -522.5139099473648230     -0.0180179
    -521.9121733053839307     -0.0081262
    -521.3104342435153740      0.0067190
    -520.7086927618922800      0.0006600
    -520.1069488604147182     -0.0014907
    -519.5052025391161123     -0.0058806
    -518.9034537979297284     -0.0151165
    -518.3017026368889901     -0.0051925
    -517.6999490559271635     -0.0060094
    -517.0981930550111656      0.0031215
    -516.4964346342406998      0.0024293
    -515.8946737935160627      0.0013687
    -515.2929105328371406     -0.0156806
    -514.6911448522038199     -0.0124594
    -514.0893767515498212     -0.0065895
    -513.4876062308749169     -0.0010361
    -512.8858332902457278     -0.0050812
    -512.2840579295957468     -0.0046041
    -511.6822801488916639     -0.0100860
    -511.0804999481334789     -0.0078906
    -510.4787173273211351     -0.0114826
    -509.8769322864214359     -0.0049869
    -509.2751448253677040     -0.0052828
    -508.6733549442599269      0.0024593
    -508.0715626429981171      0.0016088
    -507.4697679216156985      0.0264043
    -506.8679707800459369     -0.0028705
    -506.2661712183555665     -0.0050625
    -505.6643692364447134     -0.0033406
    -505.0625648342799536     -0.0127730
    -504.4607580119612180     -0.0172056
    -503.8589487694219997     -0.0043353
    -503.2571371066289885     -0.0126226
    -502.6553230235488172     -0.0075932
    -502.0535065202481064     -0.0074073
    -501.4516875965604754      0.0092946
    -500.8498662526523049     -0.0036508
    -500.2480424884237777      0.0038727
    -499.6462163038415270     -0.0068398
    -499.0443876989056093      0.0032383
    -498.4425566736493352     -0.0019119
    -497.8407232279728873      0.0042228
    -497.2388873618760954     -0.0094014
    -496.6370490754256366     -0.0071348
    -496.0352083685550042     -0.0004639
    -495.4333652412641413     -0.0039638
    -494.8315196935197378      0.0039665
    -494.2296717252885401      0.0035504
    -493.6278213365372380     -0.0144841
    -493.0259685273657055     -0.0057087
    -492.4241132976741255      0.0026685
    -491.8222556474291309     -0.0139496
    -491.2203955766972854      0.0017350
    -490.6185330853788855     -0.0018058
    -490.0166681735070711      0.0118497
    -489.4148008410153352     -0.0109283
    -488.8129310879701848      0.0027281
    -488.2110589143051698      0.0037014
    -487.6091843200201765      0.0000975
    -487.0073073050820085      0.0072698
    -486.4054278695238054     -0.0095169
    -485.8035460132126104     -0.0188369
    -485.2016617363147475     -0.0078157
    -484.5997750386638359     -0.0052036
    -483.9978859203263255      0.0054677
    -483.3959943812690767     -0.0030375
    -482.7941004214920895     -0.0080388
    -482.1922040409286865     -0.0188137
    -481.5903052395457280      0.0002410
    -480.9884040174429174     -0.0160325
    -480.3865003745204376     -0.0074233
    -479.7845943107783455     -0.0062587
    -479.1826858262166411     -0.0028832
    -478.5807749208352675     -0.0058407
    -477.9788615945344077     -0.0124936
    -477.3769458473806822     -0.0004417
    -476.7750276793739772     -0.0002048
    -476.1731070904477292      0.0002931
    -475.5711840806353621     -0.0126979
    -474.9692586498702553     -0.0058836
    -474.3673307981522385      0.0010145
    -473.7654005254149752     -0.0065525
    -473.1634678317582257     -0.0042477
    -472.5615327171486797     -0.0088633
    -471.9595951814865202     -0.0004279
    -471.3576552248383109     -0.0030178
    -470.7557128471374313     -0.0080908
    -470.1537680483506279     -0.0156170
    -469.5518208285445780      0.0003467
    -468.9498711876526045      0.0055362
    -468.3479191257079606      0.0043861
    -467.7459646426108293      0.0142554
    -467.1440077384277743      0.0098084
    -466.5420484130923455     -0.0074585
    -465.9400866665378089      0.0045555
    -465.3381224988972917     -0.0154889
    -464.7361559100711474     -0.0008778
    -464.1341869000591487     -0.0050182
    -463.5322154688281557     -0.0016295
    -462.9302416163781118      0.0057582
